Mpipi     YLM       dYLM      
0.405     -0.286    0.029     
0.415     -0.304    0.029     
0.425     -0.323    0.029     
0.435     -0.342    0.029     
0.445     -0.363    0.029     
0.455     -0.384    0.029     
0.465     -0.408    0.030     
0.475     -0.432    0.031     
0.485     -0.458    0.032     
0.495     -0.486    0.033     
0.505     -0.514    0.035     
0.515     -0.543    0.037     
0.525     -0.574    0.039     
0.535     -0.608    0.041     
0.545     -0.646    0.044     
0.555     -0.688    0.047     
0.565     -0.737    0.051     
0.575     -0.790    0.055     
0.585     -0.849    0.059     
0.595     -0.914    0.063     
0.605     -0.985    0.067     
0.615     -1.063    0.072     
0.625     -1.145    0.077     
0.635     -1.233    0.082     
0.645     -1.323    0.088     
0.655     -1.418    0.094     
0.665     -1.515    0.102     
0.675     -1.613    0.110     
0.685     -1.709    0.120     
0.695     -1.798    0.131     
0.705     -1.876    0.144     
0.715     -1.934    0.158     
0.725     -1.962    0.174     
0.735     -1.949    0.191     
0.745     -1.882    0.207     
0.755     -1.760    0.220     
0.765     -1.591    0.229     
0.775     -1.393    0.231     
0.785     -1.187    0.227     
0.795     -0.996    0.217     
0.805     -0.827    0.204     
0.815     -0.692    0.189     
0.825     -0.580    0.173     
0.835     -0.493    0.157     
0.845     -0.424    0.143     
0.855     -0.371    0.129     
0.865     -0.324    0.118     
0.875     -0.283    0.107     
0.885     -0.248    0.099     
0.895     -0.215    0.093     
0.905     -0.181    0.090     
0.915     -0.146    0.090     
0.925     -0.108    0.093     
0.935     -0.068    0.101     
0.945     -0.020    0.112     
0.955     0.032     0.128     
0.965     0.085     0.149     
0.975     0.114     0.175     
0.985     0.071     0.199     
0.995     -0.054    0.206     
1.005     -0.177    0.190     
1.015     -0.239    0.161     
1.025     -0.253    0.133     
1.035     -0.245    0.112     
1.045     -0.226    0.097     
1.055     -0.203    0.087     
1.065     -0.180    0.081     
1.075     -0.158    0.077     
1.085     -0.135    0.075     
1.095     -0.113    0.074     
1.105     -0.092    0.074     
1.115     -0.070    0.074     
1.125     -0.049    0.075     
1.135     -0.028    0.075     
1.145     -0.005    0.075     
1.155     0.017     0.074     
1.165     0.038     0.073     
1.175     0.062     0.072     
1.185     0.085     0.070     
1.195     0.108     0.068     
1.205     0.132     0.067     
1.215     0.153     0.066     
1.225     0.174     0.066     
1.235     0.190     0.069     
1.245     0.202     0.072     
1.255     0.207     0.077     
1.265     0.204     0.082     
1.275     0.192     0.086     
1.285     0.169     0.088     
1.295     0.137     0.087     
1.305     0.099     0.085     
1.315     0.053     0.081     
1.325     0.005     0.078     
1.335     -0.047    0.078     
1.345     -0.101    0.080     
1.355     -0.154    0.084     
1.365     -0.209    0.091     
1.375     -0.265    0.100     
1.385     -0.318    0.109     
1.395     -0.371    0.118     
