#: table_doi: 10.17182/hepdata.74824.v1/t103
#: name: Table 103
#: description: Pm wave cross section for -T.

#: data_file: Table103.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0745,0.0337,-0.0337
0.415,0.41,0.42,0.0793,0.0392,-0.0392
0.425,0.42,0.43,0.0843,0.0454,-0.0454
0.435,0.43,0.44,0.0898,0.0525,-0.0525
0.445,0.44,0.45,0.096,0.0604,-0.0604
0.455,0.45,0.46,0.1031,0.0694,-0.0694
0.46499999999999997,0.46,0.47,0.1113,0.0795,-0.0795
0.475,0.47,0.48,0.1211,0.091,-0.091
0.485,0.48,0.49,0.1327,0.104,-0.104
0.495,0.49,0.5,0.1466,0.1187,-0.1187
0.505,0.5,0.51,0.1633,0.1355,-0.1355
0.515,0.51,0.52,0.1833,0.1546,-0.1546
0.525,0.52,0.53,0.2074,0.1766,-0.1766
0.535,0.53,0.54,0.2363,0.2018,-0.2018
0.545,0.54,0.55,0.2709,0.231,-0.231
0.555,0.55,0.56,0.3125,0.2648,-0.2648
0.565,0.56,0.57,0.3623,0.3042,-0.3042
0.575,0.57,0.58,0.4219,0.3502,-0.3502
0.585,0.58,0.59,0.4933,0.4041,-0.4041
0.595,0.59,0.6,0.5789,0.4676,-0.4676
0.605,0.6,0.61,0.6815,0.5425,-0.5425
0.615,0.61,0.62,0.8045,0.6312,-0.6312
0.625,0.62,0.63,0.952,0.7365,-0.7365
0.635,0.63,0.64,1.1292,0.8617,-0.8617
0.645,0.64,0.65,1.3418,1.0107,-1.0107
0.655,0.65,0.66,1.5968,1.188,-1.188
0.665,0.66,0.67,1.9016,1.3987,-1.3987
0.675,0.67,0.68,2.2642,1.6476,-1.6476
0.685,0.68,0.69,2.6914,1.9389,-1.9389
0.695,0.69,0.7,3.1866,2.2746,-2.2746
0.705,0.7,0.71,3.7466,2.6514,-2.6514
0.715,0.71,0.72,4.3558,3.058,-3.058
0.725,0.72,0.73,4.9806,3.4706,-3.4706
0.735,0.73,0.74,5.5664,3.8515,-3.8515
0.745,0.74,0.75,6.0424,4.153,-4.153
0.755,0.75,0.76,6.3378,4.3281,-4.3281
0.765,0.76,0.77,6.4062,4.3475,-4.3475
0.775,0.77,0.78,6.2438,4.211,-4.211
0.785,0.78,0.79,5.8898,3.9474,-3.9474
0.795,0.79,0.8,5.408,3.6011,-3.6011
0.805,0.8,0.81,4.8647,3.2174,-3.2174
0.815,0.81,0.82,4.3129,2.8318,-2.8318
0.825,0.82,0.83,3.7876,2.4673,-2.4673
