#: table_doi: 10.17182/hepdata.74824.v1/t114
#: name: Table 114
#: description: P0 wave cross section for -T.

#: data_file: Table114.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0486,0.0326,-0.0326
0.415,0.41,0.42,0.0529,0.0341,-0.0341
0.425,0.42,0.43,0.0575,0.0356,-0.0356
0.435,0.43,0.44,0.0623,0.0369,-0.0369
0.445,0.44,0.45,0.0674,0.0381,-0.0381
0.455,0.45,0.46,0.073,0.0393,-0.0393
0.46499999999999997,0.46,0.47,0.079,0.0404,-0.0404
0.475,0.47,0.48,0.0856,0.0415,-0.0415
0.485,0.48,0.49,0.0929,0.0425,-0.0425
0.495,0.49,0.5,0.1009,0.0436,-0.0436
0.505,0.5,0.51,0.1098,0.0447,-0.0447
0.515,0.51,0.52,0.1197,0.0458,-0.0458
0.525,0.52,0.53,0.1308,0.0471,-0.0471
0.535,0.53,0.54,0.1434,0.0486,-0.0486
0.545,0.54,0.55,0.1575,0.0502,-0.0502
0.555,0.55,0.56,0.1735,0.0521,-0.0521
0.565,0.56,0.57,0.1917,0.0543,-0.0543
0.575,0.57,0.58,0.2125,0.0569,-0.0569
0.585,0.58,0.59,0.2363,0.0601,-0.0601
0.595,0.59,0.6,0.2636,0.0638,-0.0638
0.605,0.6,0.61,0.2951,0.0682,-0.0682
0.615,0.61,0.62,0.3314,0.0734,-0.0734
0.625,0.62,0.63,0.3734,0.0796,-0.0796
0.635,0.63,0.64,0.422,0.087,-0.087
0.645,0.64,0.65,0.4784,0.0958,-0.0958
0.655,0.65,0.66,0.5438,0.1062,-0.1062
0.665,0.66,0.67,0.6193,0.1183,-0.1183
0.675,0.67,0.68,0.706,0.1324,-0.1324
0.685,0.68,0.69,0.8043,0.1486,-0.1486
0.695,0.69,0.7,0.9138,0.1668,-0.1668
