#: table_doi: 10.17182/hepdata.74824.v1/t116
#: name: Table 116
#: description: Pp wave cross section for -T.

#: data_file: Table116.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1122,0.0822,-0.0822
0.415,0.41,0.42,0.1244,0.0894,-0.0894
0.425,0.42,0.43,0.1381,0.097,-0.097
0.435,0.43,0.44,0.1533,0.1048,-0.1048
0.445,0.44,0.45,0.1705,0.1129,-0.1129
0.455,0.45,0.46,0.1898,0.1213,-0.1213
0.46499999999999997,0.46,0.47,0.2118,0.13,-0.13
0.475,0.47,0.48,0.2369,0.1391,-0.1391
0.485,0.48,0.49,0.2655,0.1487,-0.1487
0.495,0.49,0.5,0.2983,0.1586,-0.1586
0.505,0.5,0.51,0.3361,0.1691,-0.1691
0.515,0.51,0.52,0.3797,0.1802,-0.1802
0.525,0.52,0.53,0.4302,0.192,-0.192
0.535,0.53,0.54,0.4886,0.2046,-0.2046
0.545,0.54,0.55,0.5566,0.2181,-0.2181
0.555,0.55,0.56,0.6358,0.2327,-0.2327
0.565,0.56,0.57,0.7283,0.2487,-0.2487
0.575,0.57,0.58,0.8366,0.2663,-0.2663
0.585,0.58,0.59,0.9639,0.2858,-0.2858
0.595,0.59,0.6,1.1139,0.3077,-0.3077
0.605,0.6,0.61,1.291,0.3323,-0.3323
0.615,0.61,0.62,1.501,0.3604,-0.3604
0.625,0.62,0.63,1.7504,0.3926,-0.3926
0.635,0.63,0.64,2.0474,0.4298,-0.4298
0.645,0.64,0.65,2.4017,0.4729,-0.4729
0.655,0.65,0.66,2.8246,0.5231,-0.5231
0.665,0.66,0.67,3.3287,0.5817,-0.5817
0.675,0.67,0.68,3.9272,0.6498,-0.6498
0.685,0.68,0.69,4.6318,0.7283,-0.7283
0.695,0.69,0.7,5.4496,0.8177,-0.8177
0.705,0.7,0.71,6.3763,0.917,-0.917
0.715,0.71,0.72,7.3882,1.0232,-1.0232
0.725,0.72,0.73,8.4322,1.1303,-1.1303
0.735,0.73,0.74,9.4206,1.229,-1.229
0.745,0.74,0.75,10.2377,1.3076,-1.3076
0.755,0.75,0.76,10.7666,1.3549,-1.3549
0.765,0.76,0.77,10.9278,1.3642,-1.3642
0.775,0.77,0.78,10.7107,1.336,-1.336
0.785,0.78,0.79,10.1749,1.2776,-1.2776
0.795,0.79,0.8,9.4224,1.2,-1.2
0.805,0.8,0.81,8.5604,1.1138,-1.1138
0.815,0.81,0.82,7.6759,1.0274,-1.0274
0.825,0.82,0.83,6.827,0.9459,-0.9459
0.835,0.83,0.84,6.0459,0.8719,-0.8719
0.845,0.84,0.85,5.3457,0.8061,-0.8061
