#: table_doi: 10.17182/hepdata.74824.v1/t126
#: name: Table 126
#: description: D wave cross section for -T.

#: data_file: Table126.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1895,0.0764,-0.0764
0.415,0.41,0.42,0.187,0.0791,-0.0791
0.425,0.42,0.43,0.1858,0.0825,-0.0825
0.435,0.43,0.44,0.1855,0.0863,-0.0863
0.445,0.44,0.45,0.1863,0.0903,-0.0903
0.455,0.45,0.46,0.1879,0.0945,-0.0945
0.46499999999999997,0.46,0.47,0.1903,0.0987,-0.0987
0.475,0.47,0.48,0.1934,0.103,-0.103
0.485,0.48,0.49,0.1971,0.1073,-0.1073
0.495,0.49,0.5,0.2014,0.1116,-0.1116
0.505,0.5,0.51,0.2061,0.1159,-0.1159
0.515,0.51,0.52,0.2112,0.1202,-0.1202
0.525,0.52,0.53,0.2166,0.1245,-0.1245
0.535,0.53,0.54,0.2224,0.1287,-0.1287
0.545,0.54,0.55,0.2283,0.133,-0.133
0.555,0.55,0.56,0.2345,0.1372,-0.1372
0.565,0.56,0.57,0.2408,0.1413,-0.1413
0.575,0.57,0.58,0.2472,0.1454,-0.1454
0.585,0.58,0.59,0.2537,0.1495,-0.1495
0.595,0.59,0.6,0.2602,0.1535,-0.1535
0.605,0.6,0.61,0.2667,0.1574,-0.1574
0.615,0.61,0.62,0.2732,0.1613,-0.1613
0.625,0.62,0.63,0.2797,0.165,-0.165
0.635,0.63,0.64,0.2862,0.1687,-0.1687
0.645,0.64,0.65,0.2926,0.1722,-0.1722
0.655,0.65,0.66,0.2989,0.1756,-0.1756
0.665,0.66,0.67,0.3052,0.1789,-0.1789
0.675,0.67,0.68,0.3114,0.1819,-0.1819
0.685,0.68,0.69,0.3174,0.1849,-0.1849
0.695,0.69,0.7,0.3235,0.1876,-0.1876
0.705,0.7,0.71,0.3294,0.1902,-0.1902
0.715,0.71,0.72,0.3353,0.1926,-0.1926
0.725,0.72,0.73,0.341,0.1949,-0.1949
0.735,0.73,0.74,0.3468,0.1969,-0.1969
0.745,0.74,0.75,0.3525,0.1987,-0.1987
0.755,0.75,0.76,0.3581,0.2004,-0.2004
0.765,0.76,0.77,0.3637,0.2018,-0.2018
0.775,0.77,0.78,0.3694,0.2031,-0.2031
0.785,0.78,0.79,0.375,0.2041,-0.2041
0.795,0.79,0.8,0.3806,0.205,-0.205
0.805,0.8,0.81,0.3863,0.2058,-0.2058
0.815,0.81,0.82,0.392,0.2063,-0.2063
0.825,0.82,0.83,0.3977,0.2067,-0.2067
0.835,0.83,0.84,0.4036,0.207,-0.207
0.845,0.84,0.85,0.4095,0.2071,-0.2071
0.855,0.85,0.86,0.4155,0.2072,-0.2072
0.865,0.86,0.87,0.4215,0.2071,-0.2071
0.875,0.87,0.88,0.4277,0.2069,-0.2069
0.885,0.88,0.89,0.4341,0.2067,-0.2067
0.895,0.89,0.9,0.4405,0.2065,-0.2065
0.905,0.9,0.91,0.4471,0.2062,-0.2062
0.915,0.91,0.92,0.4538,0.2059,-0.2059
0.925,0.92,0.93,0.4606,0.2056,-0.2056
0.935,0.93,0.94,0.4676,0.2053,-0.2053
0.945,0.94,0.95,0.4747,0.2051,-0.2051
0.955,0.95,0.96,0.482,0.205,-0.205
0.965,0.96,0.97,0.4895,0.2049,-0.2049
0.975,0.97,0.98,0.4971,0.205,-0.205
0.985,0.98,0.99,0.5049,0.2052,-0.2052
0.995,0.99,1.0,0.5129,0.2055,-0.2055
1.005,1.0,1.01,0.5211,0.2059,-0.2059
1.0150000000000001,1.01,1.02,0.5297,0.2066,-0.2066
1.025,1.02,1.03,0.5385,0.2073,-0.2073
1.0350000000000001,1.03,1.04,0.5476,0.2083,-0.2083
1.045,1.04,1.05,0.5572,0.2094,-0.2094
1.0550000000000002,1.05,1.06,0.5673,0.2107,-0.2107
1.065,1.06,1.07,0.578,0.2121,-0.2121
1.0750000000000002,1.07,1.08,0.5894,0.2137,-0.2137
1.085,1.08,1.09,0.6017,0.2154,-0.2154
1.0950000000000002,1.09,1.1,0.6151,0.2173,-0.2173
1.105,1.1,1.11,0.6297,0.2192,-0.2192
1.1150000000000002,1.11,1.12,0.6458,0.2212,-0.2212
1.125,1.12,1.13,0.6636,0.2232,-0.2232
1.1349999999999998,1.13,1.14,0.6835,0.2251,-0.2251
1.145,1.14,1.15,0.7058,0.2269,-0.2269
1.1549999999999998,1.15,1.16,0.7306,0.2285,-0.2285
1.165,1.16,1.17,0.7583,0.2297,-0.2297
1.1749999999999998,1.17,1.18,0.789,0.2305,-0.2305
1.185,1.18,1.19,0.8226,0.2307,-0.2307
1.1949999999999998,1.19,1.2,0.8586,0.2303,-0.2303
1.205,1.2,1.21,0.8962,0.2292,-0.2292
1.2149999999999999,1.21,1.22,0.9337,0.2276,-0.2276
1.225,1.22,1.23,0.9687,0.2258,-0.2258
1.2349999999999999,1.23,1.24,0.9977,0.2244,-0.2244
1.245,1.24,1.25,1.017,0.2242,-0.2242
1.255,1.25,1.26,1.0226,0.226,-0.226
1.2650000000000001,1.26,1.27,1.0113,0.2301,-0.2301
1.275,1.27,1.28,0.982,0.2364,-0.2364
1.2850000000000001,1.28,1.29,0.936,0.2441,-0.2441
1.295,1.29,1.3,0.8771,0.2522,-0.2522
1.3050000000000002,1.3,1.31,0.8105,0.2601,-0.2601
1.315,1.31,1.32,0.742,0.2673,-0.2673
1.3250000000000002,1.32,1.33,0.6768,0.274,-0.274
1.335,1.33,1.34,0.6188,0.2802,-0.2802
1.3450000000000002,1.34,1.35,0.5711,0.2864,-0.2864
1.355,1.35,1.36,0.5353,0.293,-0.293
1.3650000000000002,1.36,1.37,0.5128,0.3004,-0.3004
1.375,1.37,1.38,0.5041,0.3089,-0.3089
1.3849999999999998,1.38,1.39,0.5099,0.3193,-0.3193
1.395,1.39,1.4,0.5305,0.3319,-0.3319

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1569,0.0697,-0.0697
0.415,0.41,0.42,0.1601,0.0692,-0.0692
0.425,0.42,0.43,0.1642,0.069,-0.069
0.435,0.43,0.44,0.1691,0.0692,-0.0692
0.445,0.44,0.45,0.1747,0.0696,-0.0696
0.455,0.45,0.46,0.1809,0.0703,-0.0703
0.46499999999999997,0.46,0.47,0.1875,0.0713,-0.0713
0.475,0.47,0.48,0.1944,0.0724,-0.0724
0.485,0.48,0.49,0.2017,0.0737,-0.0737
0.495,0.49,0.5,0.2091,0.075,-0.075
0.505,0.5,0.51,0.2166,0.0764,-0.0764
0.515,0.51,0.52,0.2242,0.0778,-0.0778
0.525,0.52,0.53,0.2318,0.0793,-0.0793
0.535,0.53,0.54,0.2394,0.0807,-0.0807
0.545,0.54,0.55,0.2469,0.0821,-0.0821
0.555,0.55,0.56,0.2543,0.0835,-0.0835
0.565,0.56,0.57,0.2616,0.0849,-0.0849
0.575,0.57,0.58,0.2686,0.0863,-0.0863
0.585,0.58,0.59,0.2755,0.0877,-0.0877
0.595,0.59,0.6,0.2821,0.089,-0.089
0.605,0.6,0.61,0.2886,0.0904,-0.0904
0.615,0.61,0.62,0.2948,0.0919,-0.0919
0.625,0.62,0.63,0.3007,0.0933,-0.0933
0.635,0.63,0.64,0.3064,0.0948,-0.0948
0.645,0.64,0.65,0.3118,0.0963,-0.0963
0.655,0.65,0.66,0.3169,0.0979,-0.0979
0.665,0.66,0.67,0.3218,0.0996,-0.0996
0.675,0.67,0.68,0.3265,0.1013,-0.1013
0.685,0.68,0.69,0.3309,0.103,-0.103
0.695,0.69,0.7,0.335,0.1048,-0.1048
0.705,0.7,0.71,0.339,0.1066,-0.1066
0.715,0.71,0.72,0.3427,0.1085,-0.1085
0.725,0.72,0.73,0.3462,0.1104,-0.1104
0.735,0.73,0.74,0.3494,0.1122,-0.1122
0.745,0.74,0.75,0.3525,0.1141,-0.1141
0.755,0.75,0.76,0.3555,0.1159,-0.1159
0.765,0.76,0.77,0.3582,0.1176,-0.1176
0.775,0.77,0.78,0.3608,0.1193,-0.1193
0.785,0.78,0.79,0.3633,0.1209,-0.1209
0.795,0.79,0.8,0.3656,0.1225,-0.1225
0.805,0.8,0.81,0.3678,0.1239,-0.1239
0.815,0.81,0.82,0.3699,0.1252,-0.1252
0.825,0.82,0.83,0.3719,0.1265,-0.1265
0.835,0.83,0.84,0.3738,0.1276,-0.1276
0.845,0.84,0.85,0.3755,0.1287,-0.1287
0.855,0.85,0.86,0.3772,0.1297,-0.1297
0.865,0.86,0.87,0.3788,0.1305,-0.1305
0.875,0.87,0.88,0.3803,0.1314,-0.1314
0.885,0.88,0.89,0.3817,0.1321,-0.1321
0.895,0.89,0.9,0.383,0.1329,-0.1329
0.905,0.9,0.91,0.3842,0.1336,-0.1336
0.915,0.91,0.92,0.3852,0.1343,-0.1343
0.925,0.92,0.93,0.3862,0.1351,-0.1351
0.935,0.93,0.94,0.3871,0.136,-0.136
0.945,0.94,0.95,0.3878,0.1369,-0.1369
0.955,0.95,0.96,0.3884,0.1379,-0.1379
0.965,0.96,0.97,0.3889,0.1391,-0.1391
0.975,0.97,0.98,0.3893,0.1404,-0.1404
0.985,0.98,0.99,0.3896,0.1418,-0.1418
0.995,0.99,1.0,0.3899,0.1434,-0.1434
1.005,1.0,1.01,0.39,0.1452,-0.1452
1.0150000000000001,1.01,1.02,0.3902,0.1471,-0.1471
1.025,1.02,1.03,0.3904,0.1492,-0.1492
1.0350000000000001,1.03,1.04,0.3908,0.1515,-0.1515
1.045,1.04,1.05,0.3914,0.1539,-0.1539
1.0550000000000002,1.05,1.06,0.3923,0.1564,-0.1564
1.065,1.06,1.07,0.3937,0.1591,-0.1591
1.0750000000000002,1.07,1.08,0.3958,0.1619,-0.1619
1.085,1.08,1.09,0.3988,0.1648,-0.1648
1.0950000000000002,1.09,1.1,0.4031,0.1678,-0.1678
1.105,1.1,1.11,0.4089,0.171,-0.171
1.1150000000000002,1.11,1.12,0.4168,0.1743,-0.1743
1.125,1.12,1.13,0.4271,0.178,-0.178
1.1349999999999998,1.13,1.14,0.4406,0.1819,-0.1819
1.145,1.14,1.15,0.4579,0.1863,-0.1863
1.1549999999999998,1.15,1.16,0.4798,0.1913,-0.1913
1.165,1.16,1.17,0.507,0.197,-0.197
1.1749999999999998,1.17,1.18,0.5405,0.2036,-0.2036
1.185,1.18,1.19,0.5808,0.2111,-0.2111
1.1949999999999998,1.19,1.2,0.6285,0.2198,-0.2198
1.205,1.2,1.21,0.6834,0.2295,-0.2295
1.2149999999999999,1.21,1.22,0.7445,0.2401,-0.2401
1.225,1.22,1.23,0.8098,0.2514,-0.2514
1.2349999999999999,1.23,1.24,0.8754,0.263,-0.263
1.245,1.24,1.25,0.936,0.2746,-0.2746
1.255,1.25,1.26,0.9852,0.286,-0.286
1.2650000000000001,1.26,1.27,1.0164,0.2968,-0.2968
1.275,1.27,1.28,1.0245,0.3069,-0.3069
1.2850000000000001,1.28,1.29,1.0072,0.3162,-0.3162
1.295,1.29,1.3,0.9659,0.3241,-0.3241
1.3050000000000002,1.3,1.31,0.905,0.3303,-0.3303
1.315,1.31,1.32,0.8308,0.3343,-0.3343
1.3250000000000002,1.32,1.33,0.7503,0.3357,-0.3357
1.335,1.33,1.34,0.6697,0.3344,-0.3344
1.3450000000000002,1.34,1.35,0.594,0.331,-0.331
1.355,1.35,1.36,0.5272,0.3259,-0.3259
1.3650000000000002,1.36,1.37,0.4718,0.3202,-0.3202
1.375,1.37,1.38,0.4298,0.3153,-0.3153
1.3849999999999998,1.38,1.39,0.4026,0.3132,-0.3132
1.395,1.39,1.4,0.3913,0.3161,-0.3161

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1124,0.0514,-0.0514
0.415,0.41,0.42,0.1108,0.0481,-0.0481
0.425,0.42,0.43,0.1101,0.0458,-0.0458
0.435,0.43,0.44,0.1103,0.0443,-0.0443
0.445,0.44,0.45,0.1113,0.0434,-0.0434
0.455,0.45,0.46,0.1129,0.0431,-0.0431
0.46499999999999997,0.46,0.47,0.1152,0.0432,-0.0432
0.475,0.47,0.48,0.1178,0.0436,-0.0436
0.485,0.48,0.49,0.1209,0.0443,-0.0443
0.495,0.49,0.5,0.1243,0.0451,-0.0451
0.505,0.5,0.51,0.128,0.0461,-0.0461
0.515,0.51,0.52,0.1319,0.0472,-0.0472
0.525,0.52,0.53,0.1359,0.0485,-0.0485
0.535,0.53,0.54,0.14,0.0499,-0.0499
0.545,0.54,0.55,0.1441,0.0515,-0.0515
0.555,0.55,0.56,0.1483,0.0533,-0.0533
0.565,0.56,0.57,0.1524,0.0552,-0.0552
0.575,0.57,0.58,0.1564,0.0572,-0.0572
0.585,0.58,0.59,0.1604,0.0594,-0.0594
0.595,0.59,0.6,0.1643,0.0617,-0.0617
0.605,0.6,0.61,0.1681,0.064,-0.064
0.615,0.61,0.62,0.1717,0.0665,-0.0665
0.625,0.62,0.63,0.1753,0.0689,-0.0689
0.635,0.63,0.64,0.1786,0.0714,-0.0714
0.645,0.64,0.65,0.1819,0.0738,-0.0738
0.655,0.65,0.66,0.185,0.0763,-0.0763
