#: table_doi: 10.17182/hepdata.74824.v1/t131
#: name: Table 131
#: description: Dm wave cross section for -T.

#: data_file: Table131.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0472,0.0537,-0.0537
0.415,0.41,0.42,0.0431,0.0488,-0.0488
0.425,0.42,0.43,0.0394,0.0443,-0.0443
0.435,0.43,0.44,0.0363,0.0403,-0.0403
0.445,0.44,0.45,0.0336,0.0369,-0.0369
0.455,0.45,0.46,0.0314,0.0339,-0.0339
0.46499999999999997,0.46,0.47,0.0296,0.0313,-0.0313
0.475,0.47,0.48,0.0282,0.0292,-0.0292
0.485,0.48,0.49,0.0271,0.0274,-0.0274
0.495,0.49,0.5,0.0264,0.026,-0.026
0.505,0.5,0.51,0.026,0.025,-0.025
0.515,0.51,0.52,0.0258,0.0243,-0.0243
0.525,0.52,0.53,0.0259,0.0238,-0.0238
0.535,0.53,0.54,0.0263,0.0236,-0.0236
0.545,0.54,0.55,0.0268,0.0237,-0.0237
0.555,0.55,0.56,0.0276,0.0239,-0.0239
0.565,0.56,0.57,0.0284,0.0243,-0.0243
0.575,0.57,0.58,0.0295,0.0249,-0.0249
0.585,0.58,0.59,0.0306,0.0257,-0.0257
0.595,0.59,0.6,0.0319,0.0266,-0.0266
0.605,0.6,0.61,0.0333,0.0277,-0.0277
0.615,0.61,0.62,0.0347,0.0288,-0.0288
0.625,0.62,0.63,0.0362,0.03,-0.03
0.635,0.63,0.64,0.0377,0.0314,-0.0314
0.645,0.64,0.65,0.0392,0.0327,-0.0327
0.655,0.65,0.66,0.0408,0.0341,-0.0341
0.665,0.66,0.67,0.0424,0.0356,-0.0356
0.675,0.67,0.68,0.0439,0.037,-0.037
0.685,0.68,0.69,0.0454,0.0384,-0.0384
0.695,0.69,0.7,0.0469,0.0398,-0.0398
0.705,0.7,0.71,0.0483,0.0411,-0.0411
0.715,0.71,0.72,0.0497,0.0424,-0.0424
0.725,0.72,0.73,0.0511,0.0436,-0.0436
0.735,0.73,0.74,0.0523,0.0447,-0.0447
0.745,0.74,0.75,0.0535,0.0457,-0.0457
0.755,0.75,0.76,0.0546,0.0466,-0.0466
0.765,0.76,0.77,0.0557,0.0474,-0.0474
0.775,0.77,0.78,0.0566,0.048,-0.048
0.785,0.78,0.79,0.0575,0.0485,-0.0485
0.795,0.79,0.8,0.0582,0.049,-0.049
0.805,0.8,0.81,0.0589,0.0492,-0.0492
0.815,0.81,0.82,0.0595,0.0494,-0.0494
0.825,0.82,0.83,0.06,0.0494,-0.0494
0.835,0.83,0.84,0.0604,0.0493,-0.0493
0.845,0.84,0.85,0.0607,0.0491,-0.0491
0.855,0.85,0.86,0.061,0.0487,-0.0487
0.865,0.86,0.87,0.0611,0.0483,-0.0483
0.875,0.87,0.88,0.0611,0.0477,-0.0477
0.885,0.88,0.89,0.0611,0.0471,-0.0471
0.895,0.89,0.9,0.061,0.0464,-0.0464
0.905,0.9,0.91,0.0607,0.0457,-0.0457
0.915,0.91,0.92,0.0605,0.0449,-0.0449
0.925,0.92,0.93,0.0601,0.0441,-0.0441
0.935,0.93,0.94,0.0596,0.0433,-0.0433
0.945,0.94,0.95,0.0591,0.0426,-0.0426
0.955,0.95,0.96,0.0585,0.0418,-0.0418
0.965,0.96,0.97,0.0578,0.0412,-0.0412
0.975,0.97,0.98,0.0571,0.0406,-0.0406
0.985,0.98,0.99,0.0563,0.0401,-0.0401
0.995,0.99,1.0,0.0555,0.0397,-0.0397
1.005,1.0,1.01,0.0547,0.0394,-0.0394
1.0150000000000001,1.01,1.02,0.0539,0.0393,-0.0393
1.025,1.02,1.03,0.0531,0.0392,-0.0392
1.0350000000000001,1.03,1.04,0.0523,0.0393,-0.0393
1.045,1.04,1.05,0.0516,0.0394,-0.0394
1.0550000000000002,1.05,1.06,0.051,0.0396,-0.0396
1.065,1.06,1.07,0.0506,0.0398,-0.0398
1.0750000000000002,1.07,1.08,0.0503,0.0402,-0.0402
1.085,1.08,1.09,0.0504,0.0405,-0.0405
1.0950000000000002,1.09,1.1,0.0509,0.0409,-0.0409
1.105,1.1,1.11,0.0519,0.0414,-0.0414
1.1150000000000002,1.11,1.12,0.0536,0.042,-0.042
1.125,1.12,1.13,0.0561,0.0428,-0.0428
1.1349999999999998,1.13,1.14,0.0596,0.0439,-0.0439
1.145,1.14,1.15,0.0644,0.0453,-0.0453
1.1549999999999998,1.15,1.16,0.0708,0.0474,-0.0474
1.165,1.16,1.17,0.0791,0.0502,-0.0502
1.1749999999999998,1.17,1.18,0.0897,0.054,-0.054
1.185,1.18,1.19,0.103,0.0591,-0.0591
1.1949999999999998,1.19,1.2,0.1194,0.0654,-0.0654
1.205,1.2,1.21,0.1391,0.0731,-0.0731
1.2149999999999999,1.21,1.22,0.1621,0.0821,-0.0821
1.225,1.22,1.23,0.1883,0.0921,-0.0921
1.2349999999999999,1.23,1.24,0.2167,0.1027,-0.1027
1.245,1.24,1.25,0.2459,0.1134,-0.1134
1.255,1.25,1.26,0.2741,0.1238,-0.1238
1.2650000000000001,1.26,1.27,0.2987,0.1335,-0.1335
1.275,1.27,1.28,0.3176,0.1422,-0.1422
1.2850000000000001,1.28,1.29,0.3292,0.1499,-0.1499
1.295,1.29,1.3,0.3328,0.1566,-0.1566
1.3050000000000002,1.3,1.31,0.3289,0.1624,-0.1624
1.315,1.31,1.32,0.3188,0.1673,-0.1673
1.3250000000000002,1.32,1.33,0.3043,0.1713,-0.1713
1.335,1.33,1.34,0.2873,0.1745,-0.1745
1.3450000000000002,1.34,1.35,0.2693,0.1769,-0.1769
1.355,1.35,1.36,0.2517,0.1789,-0.1789
1.3650000000000002,1.36,1.37,0.2355,0.1807,-0.1807
1.375,1.37,1.38,0.2215,0.1826,-0.1826
1.3849999999999998,1.38,1.39,0.2101,0.1852,-0.1852
1.395,1.39,1.4,0.2018,0.1889,-0.1889

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0328,0.023,-0.023
0.415,0.41,0.42,0.0327,0.0222,-0.0222
0.425,0.42,0.43,0.0328,0.0215,-0.0215
0.435,0.43,0.44,0.0331,0.0207,-0.0207
0.445,0.44,0.45,0.0335,0.02,-0.02
0.455,0.45,0.46,0.0341,0.0194,-0.0194
0.46499999999999997,0.46,0.47,0.0347,0.019,-0.019
0.475,0.47,0.48,0.0355,0.0188,-0.0188
0.485,0.48,0.49,0.0364,0.0187,-0.0187
0.495,0.49,0.5,0.0373,0.019,-0.019
0.505,0.5,0.51,0.0383,0.0195,-0.0195
0.515,0.51,0.52,0.0393,0.0202,-0.0202
0.525,0.52,0.53,0.0404,0.0212,-0.0212
0.535,0.53,0.54,0.0415,0.0223,-0.0223
0.545,0.54,0.55,0.0426,0.0236,-0.0236
0.555,0.55,0.56,0.0438,0.0249,-0.0249
0.565,0.56,0.57,0.045,0.0264,-0.0264
0.575,0.57,0.58,0.0462,0.0279,-0.0279
0.585,0.58,0.59,0.0475,0.0295,-0.0295
0.595,0.59,0.6,0.0488,0.0311,-0.0311
0.605,0.6,0.61,0.0501,0.0326,-0.0326
0.615,0.61,0.62,0.0514,0.0342,-0.0342
0.625,0.62,0.63,0.0528,0.0357,-0.0357
0.635,0.63,0.64,0.0542,0.0372,-0.0372
0.645,0.64,0.65,0.0557,0.0387,-0.0387
0.655,0.65,0.66,0.0572,0.0401,-0.0401
0.665,0.66,0.67,0.0587,0.0415,-0.0415
0.675,0.67,0.68,0.0603,0.0428,-0.0428
0.685,0.68,0.69,0.0619,0.044,-0.044
0.695,0.69,0.7,0.0635,0.0452,-0.0452
0.705,0.7,0.71,0.0652,0.0464,-0.0464
0.715,0.71,0.72,0.067,0.0475,-0.0475
0.725,0.72,0.73,0.0688,0.0485,-0.0485
0.735,0.73,0.74,0.0706,0.0495,-0.0495
0.745,0.74,0.75,0.0725,0.0504,-0.0504
0.755,0.75,0.76,0.0745,0.0513,-0.0513
0.765,0.76,0.77,0.0765,0.0522,-0.0522
0.775,0.77,0.78,0.0785,0.053,-0.053
0.785,0.78,0.79,0.0806,0.0537,-0.0537
0.795,0.79,0.8,0.0828,0.0545,-0.0545
0.805,0.8,0.81,0.085,0.0551,-0.0551
0.815,0.81,0.82,0.0872,0.0558,-0.0558
0.825,0.82,0.83,0.0895,0.0565,-0.0565
0.835,0.83,0.84,0.0918,0.0571,-0.0571
0.845,0.84,0.85,0.0942,0.0577,-0.0577
0.855,0.85,0.86,0.0966,0.0584,-0.0584
0.865,0.86,0.87,0.099,0.059,-0.059
0.875,0.87,0.88,0.1014,0.0597,-0.0597
0.885,0.88,0.89,0.1039,0.0603,-0.0603
0.895,0.89,0.9,0.1064,0.0611,-0.0611
0.905,0.9,0.91,0.1088,0.0618,-0.0618
0.915,0.91,0.92,0.1113,0.0627,-0.0627
0.925,0.92,0.93,0.1138,0.0636,-0.0636
0.935,0.93,0.94,0.1163,0.0646,-0.0646
0.945,0.94,0.95,0.1188,0.0657,-0.0657
0.955,0.95,0.96,0.1213,0.0669,-0.0669
0.965,0.96,0.97,0.1238,0.0682,-0.0682
0.975,0.97,0.98,0.1263,0.0697,-0.0697
0.985,0.98,0.99,0.1288,0.0713,-0.0713
