#: table_doi: 10.17182/hepdata.74824.v1/t137
#: name: Table 137
#: description: D0 wave cross section for -T.

#: data_file: Table137.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0571,0.0358,-0.0358
0.415,0.41,0.42,0.0576,0.0343,-0.0343
0.425,0.42,0.43,0.0586,0.0331,-0.0331
0.435,0.43,0.44,0.0599,0.0322,-0.0322
0.445,0.44,0.45,0.0616,0.0317,-0.0317
0.455,0.45,0.46,0.0636,0.0316,-0.0316
0.46499999999999997,0.46,0.47,0.0659,0.032,-0.032
0.475,0.47,0.48,0.0684,0.0328,-0.0328
0.485,0.48,0.49,0.0713,0.034,-0.034
0.495,0.49,0.5,0.0744,0.0356,-0.0356
0.505,0.5,0.51,0.0777,0.0375,-0.0375
0.515,0.51,0.52,0.0812,0.0398,-0.0398
0.525,0.52,0.53,0.0849,0.0423,-0.0423
0.535,0.53,0.54,0.0888,0.0451,-0.0451
0.545,0.54,0.55,0.0929,0.0481,-0.0481
0.555,0.55,0.56,0.0972,0.0513,-0.0513
0.565,0.56,0.57,0.1016,0.0547,-0.0547
0.575,0.57,0.58,0.1061,0.0582,-0.0582
0.585,0.58,0.59,0.1108,0.0619,-0.0619
0.595,0.59,0.6,0.1155,0.0657,-0.0657
0.605,0.6,0.61,0.1204,0.0697,-0.0697
0.615,0.61,0.62,0.1254,0.0738,-0.0738
0.625,0.62,0.63,0.1305,0.078,-0.078
0.635,0.63,0.64,0.1357,0.0823,-0.0823
0.645,0.64,0.65,0.141,0.0867,-0.0867
0.655,0.65,0.66,0.1463,0.0912,-0.0912
0.665,0.66,0.67,0.1517,0.0958,-0.0958
0.675,0.67,0.68,0.1571,0.1004,-0.1004
0.685,0.68,0.69,0.1626,0.105,-0.105
0.695,0.69,0.7,0.1681,0.1097,-0.1097
0.705,0.7,0.71,0.1736,0.1144,-0.1144
0.715,0.71,0.72,0.1792,0.1191,-0.1191
0.725,0.72,0.73,0.1847,0.1238,-0.1238
0.735,0.73,0.74,0.1903,0.1285,-0.1285
0.745,0.74,0.75,0.1958,0.1332,-0.1332
0.755,0.75,0.76,0.2014,0.1378,-0.1378
0.765,0.76,0.77,0.2069,0.1423,-0.1423
0.775,0.77,0.78,0.2123,0.1468,-0.1468
0.785,0.78,0.79,0.2177,0.1511,-0.1511
0.795,0.79,0.8,0.223,0.1553,-0.1553
0.805,0.8,0.81,0.2283,0.1594,-0.1594
0.815,0.81,0.82,0.2334,0.1634,-0.1634
0.825,0.82,0.83,0.2384,0.1672,-0.1672
0.835,0.83,0.84,0.2434,0.1708,-0.1708
0.845,0.84,0.85,0.2481,0.1742,-0.1742
0.855,0.85,0.86,0.2528,0.1774,-0.1774
0.865,0.86,0.87,0.2572,0.1804,-0.1804
0.875,0.87,0.88,0.2615,0.1831,-0.1831
0.885,0.88,0.89,0.2656,0.1856,-0.1856
0.895,0.89,0.9,0.2695,0.1877,-0.1877
0.905,0.9,0.91,0.2732,0.1896,-0.1896
0.915,0.91,0.92,0.2767,0.1912,-0.1912
0.925,0.92,0.93,0.2799,0.1925,-0.1925
0.935,0.93,0.94,0.2829,0.1934,-0.1934
0.945,0.94,0.95,0.2856,0.1941,-0.1941
0.955,0.95,0.96,0.2881,0.1943,-0.1943
0.965,0.96,0.97,0.2903,0.1942,-0.1942
0.975,0.97,0.98,0.2922,0.1938,-0.1938
0.985,0.98,0.99,0.2939,0.193,-0.193
0.995,0.99,1.0,0.2954,0.1918,-0.1918
1.005,1.0,1.01,0.2967,0.1903,-0.1903
1.0150000000000001,1.01,1.02,0.2977,0.1884,-0.1884
1.025,1.02,1.03,0.2987,0.1863,-0.1863
1.0350000000000001,1.03,1.04,0.2995,0.1838,-0.1838
1.045,1.04,1.05,0.3003,0.181,-0.181
1.0550000000000002,1.05,1.06,0.3012,0.178,-0.178
1.065,1.06,1.07,0.3022,0.1748,-0.1748
1.0750000000000002,1.07,1.08,0.3035,0.1715,-0.1715
1.085,1.08,1.09,0.3051,0.1681,-0.1681
1.0950000000000002,1.09,1.1,0.3074,0.1647,-0.1647
1.105,1.1,1.11,0.3105,0.1614,-0.1614
1.1150000000000002,1.11,1.12,0.3146,0.1582,-0.1582
1.125,1.12,1.13,0.32,0.1554,-0.1554
1.1349999999999998,1.13,1.14,0.3271,0.1529,-0.1529
1.145,1.14,1.15,0.3362,0.151,-0.151
1.1549999999999998,1.15,1.16,0.3476,0.1497,-0.1497
