#: table_doi: 10.17182/hepdata.74824.v1/t139
#: name: Table 139
#: description: Dp wave cross section for -T.

#: data_file: Table139.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1684,0.0834,-0.0834
0.415,0.41,0.42,0.1607,0.0777,-0.0777
0.425,0.42,0.43,0.1544,0.0763,-0.0763
0.435,0.43,0.44,0.1494,0.0784,-0.0784
0.445,0.44,0.45,0.1457,0.0826,-0.0826
0.455,0.45,0.46,0.1433,0.088,-0.088
0.46499999999999997,0.46,0.47,0.1422,0.0938,-0.0938
0.475,0.47,0.48,0.1423,0.0997,-0.0997
0.485,0.48,0.49,0.1436,0.1054,-0.1054
0.495,0.49,0.5,0.1461,0.1108,-0.1108
0.505,0.5,0.51,0.1498,0.1161,-0.1161
0.515,0.51,0.52,0.1547,0.1212,-0.1212
0.525,0.52,0.53,0.1606,0.1263,-0.1263
0.535,0.53,0.54,0.1676,0.1316,-0.1316
0.545,0.54,0.55,0.1756,0.1371,-0.1371
0.555,0.55,0.56,0.1846,0.1429,-0.1429
0.565,0.56,0.57,0.1945,0.1493,-0.1493
0.575,0.57,0.58,0.2054,0.1562,-0.1562
0.585,0.58,0.59,0.2171,0.1637,-0.1637
0.595,0.59,0.6,0.2297,0.1719,-0.1719
0.605,0.6,0.61,0.2431,0.1807,-0.1807
0.615,0.61,0.62,0.2571,0.19,-0.19
0.625,0.62,0.63,0.2719,0.2,-0.2
0.635,0.63,0.64,0.2874,0.2105,-0.2105
0.645,0.64,0.65,0.3035,0.2214,-0.2214
0.655,0.65,0.66,0.3201,0.2326,-0.2326
0.665,0.66,0.67,0.3372,0.2441,-0.2441
0.675,0.67,0.68,0.3548,0.2558,-0.2558
0.685,0.68,0.69,0.3728,0.2677,-0.2677
0.695,0.69,0.7,0.3912,0.2795,-0.2795
0.705,0.7,0.71,0.41,0.2913,-0.2913
0.715,0.71,0.72,0.429,0.303,-0.303
0.725,0.72,0.73,0.4482,0.3146,-0.3146
0.735,0.73,0.74,0.4677,0.3259,-0.3259
0.745,0.74,0.75,0.4872,0.3369,-0.3369
0.755,0.75,0.76,0.5069,0.3475,-0.3475
0.765,0.76,0.77,0.5266,0.3578,-0.3578
0.775,0.77,0.78,0.5464,0.3677,-0.3677
0.785,0.78,0.79,0.5661,0.3771,-0.3771
0.795,0.79,0.8,0.5857,0.3861,-0.3861
0.805,0.8,0.81,0.6051,0.3946,-0.3946
0.815,0.81,0.82,0.6244,0.4026,-0.4026
0.825,0.82,0.83,0.6434,0.41,-0.41
0.835,0.83,0.84,0.6622,0.417,-0.417
0.845,0.84,0.85,0.6806,0.4234,-0.4234
0.855,0.85,0.86,0.6986,0.4293,-0.4293
0.865,0.86,0.87,0.7162,0.4346,-0.4346
0.875,0.87,0.88,0.7333,0.4395,-0.4395
0.885,0.88,0.89,0.7499,0.4438,-0.4438
0.895,0.89,0.9,0.7659,0.4476,-0.4476
0.905,0.9,0.91,0.7813,0.4509,-0.4509
0.915,0.91,0.92,0.796,0.4537,-0.4537
0.925,0.92,0.93,0.8099,0.4561,-0.4561
0.935,0.93,0.94,0.8231,0.458,-0.458
0.945,0.94,0.95,0.8353,0.4595,-0.4595
0.955,0.95,0.96,0.8467,0.4605,-0.4605
0.965,0.96,0.97,0.8572,0.4611,-0.4611
0.975,0.97,0.98,0.8666,0.4613,-0.4613
0.985,0.98,0.99,0.8749,0.4611,-0.4611
0.995,0.99,1.0,0.8822,0.4606,-0.4606
1.005,1.0,1.01,0.8884,0.4596,-0.4596
1.0150000000000001,1.01,1.02,0.8933,0.4582,-0.4582
