#: table_doi: 10.17182/hepdata.74824.v1/t145
#: name: Table 145
#: description: F wave cross section for -T.

#: data_file: Table145.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2445,0.0741,-0.0741
0.415,0.41,0.42,0.2814,0.0854,-0.0854
0.425,0.42,0.43,0.3194,0.097,-0.097
0.435,0.43,0.44,0.3582,0.1089,-0.1089
0.445,0.44,0.45,0.3975,0.1209,-0.1209
0.455,0.45,0.46,0.4372,0.1331,-0.1331
0.46499999999999997,0.46,0.47,0.4769,0.1453,-0.1453
0.475,0.47,0.48,0.5164,0.1575,-0.1575
0.485,0.48,0.49,0.5556,0.1696,-0.1696
0.495,0.49,0.5,0.5942,0.1815,-0.1815
0.505,0.5,0.51,0.6322,0.1933,-0.1933
0.515,0.51,0.52,0.6693,0.2049,-0.2049
0.525,0.52,0.53,0.7055,0.2162,-0.2162
0.535,0.53,0.54,0.7405,0.2272,-0.2272
0.545,0.54,0.55,0.7745,0.2378,-0.2378
0.555,0.55,0.56,0.8071,0.2482,-0.2482
0.565,0.56,0.57,0.8384,0.2581,-0.2581
0.575,0.57,0.58,0.8684,0.2676,-0.2676
0.585,0.58,0.59,0.8968,0.2767,-0.2767
0.595,0.59,0.6,0.9237,0.2854,-0.2854
0.605,0.6,0.61,0.9491,0.2936,-0.2936
0.615,0.61,0.62,0.9728,0.3013,-0.3013
0.625,0.62,0.63,0.9949,0.3086,-0.3086
0.635,0.63,0.64,1.0154,0.3154,-0.3154
0.645,0.64,0.65,1.0342,0.3216,-0.3216
0.655,0.65,0.66,1.0513,0.3274,-0.3274
0.665,0.66,0.67,1.0667,0.3327,-0.3327
0.675,0.67,0.68,1.0804,0.3375,-0.3375
0.685,0.68,0.69,1.0924,0.3418,-0.3418
0.695,0.69,0.7,1.1027,0.3456,-0.3456
0.705,0.7,0.71,1.1113,0.3488,-0.3488
0.715,0.71,0.72,1.1183,0.3516,-0.3516
0.725,0.72,0.73,1.1236,0.3539,-0.3539
0.735,0.73,0.74,1.1273,0.3557,-0.3557
0.745,0.74,0.75,1.1294,0.3569,-0.3569
0.755,0.75,0.76,1.1299,0.3577,-0.3577
0.765,0.76,0.77,1.1289,0.3581,-0.3581
0.775,0.77,0.78,1.1264,0.3579,-0.3579
0.785,0.78,0.79,1.1224,0.3573,-0.3573
0.795,0.79,0.8,1.1169,0.3563,-0.3563
0.805,0.8,0.81,1.1101,0.3548,-0.3548
0.815,0.81,0.82,1.1019,0.3528,-0.3528
0.825,0.82,0.83,1.0925,0.3505,-0.3505
0.835,0.83,0.84,1.0818,0.3477,-0.3477
0.845,0.84,0.85,1.0699,0.3446,-0.3446
0.855,0.85,0.86,1.0569,0.341,-0.341
0.865,0.86,0.87,1.0428,0.3371,-0.3371
0.875,0.87,0.88,1.0277,0.3329,-0.3329
0.885,0.88,0.89,1.0117,0.3283,-0.3283
0.895,0.89,0.9,0.9948,0.3234,-0.3234
0.905,0.9,0.91,0.9771,0.3182,-0.3182
0.915,0.91,0.92,0.9587,0.3127,-0.3127
0.925,0.92,0.93,0.9397,0.307,-0.307
0.935,0.93,0.94,0.9201,0.301,-0.301
0.945,0.94,0.95,0.9,0.2948,-0.2948
0.955,0.95,0.96,0.8795,0.2884,-0.2884
0.965,0.96,0.97,0.8588,0.2819,-0.2819
0.975,0.97,0.98,0.8378,0.2751,-0.2751
0.985,0.98,0.99,0.8167,0.2683,-0.2683
0.995,0.99,1.0,0.7956,0.2614,-0.2614
1.005,1.0,1.01,0.7745,0.2544,-0.2544
1.0150000000000001,1.01,1.02,0.7537,0.2474,-0.2474
1.025,1.02,1.03,0.7331,0.2404,-0.2404
1.0350000000000001,1.03,1.04,0.7129,0.2334,-0.2334
1.045,1.04,1.05,0.6933,0.2264,-0.2264
1.0550000000000002,1.05,1.06,0.6743,0.2196,-0.2196
1.065,1.06,1.07,0.656,0.2129,-0.2129
1.0750000000000002,1.07,1.08,0.6386,0.2064,-0.2064
1.085,1.08,1.09,0.6222,0.2001,-0.2001
1.0950000000000002,1.09,1.1,0.607,0.1941,-0.1941
1.105,1.1,1.11,0.5929,0.1885,-0.1885
1.1150000000000002,1.11,1.12,0.5803,0.1831,-0.1831
1.125,1.12,1.13,0.5692,0.1783,-0.1783
1.1349999999999998,1.13,1.14,0.5598,0.1739,-0.1739
1.145,1.14,1.15,0.5522,0.17,-0.17
1.1549999999999998,1.15,1.16,0.5465,0.1668,-0.1668
1.165,1.16,1.17,0.543,0.1642,-0.1642
1.1749999999999998,1.17,1.18,0.5417,0.1624,-0.1624
1.185,1.18,1.19,0.5429,0.1613,-0.1613
1.1949999999999998,1.19,1.2,0.5466,0.161,-0.161
1.205,1.2,1.21,0.5531,0.1615,-0.1615
1.2149999999999999,1.21,1.22,0.5625,0.163,-0.163
1.225,1.22,1.23,0.575,0.1653,-0.1653
1.2349999999999999,1.23,1.24,0.5907,0.1686,-0.1686
1.245,1.24,1.25,0.61,0.1729,-0.1729
1.255,1.25,1.26,0.6328,0.1781,-0.1781
1.2650000000000001,1.26,1.27,0.6594,0.1843,-0.1843
1.275,1.27,1.28,0.6901,0.1914,-0.1914
1.2850000000000001,1.28,1.29,0.7249,0.1996,-0.1996
1.295,1.29,1.3,0.7642,0.2088,-0.2088
1.3050000000000002,1.3,1.31,0.808,0.2191,-0.2191
1.315,1.31,1.32,0.8566,0.2304,-0.2304
1.3250000000000002,1.32,1.33,0.9102,0.2429,-0.2429
1.335,1.33,1.34,0.9691,0.2565,-0.2565
1.3450000000000002,1.34,1.35,1.0334,0.2712,-0.2712
1.355,1.35,1.36,1.1033,0.2873,-0.2873
1.3650000000000002,1.36,1.37,1.1791,0.3046,-0.3046
1.375,1.37,1.38,1.2611,0.3233,-0.3233
1.3849999999999998,1.38,1.39,1.3493,0.3433,-0.3433
1.395,1.39,1.4,1.4442,0.3649,-0.3649

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2022,0.1038,-0.1038
0.415,0.41,0.42,0.2327,0.1195,-0.1195
0.425,0.42,0.43,0.2641,0.1356,-0.1356
0.435,0.43,0.44,0.2963,0.1521,-0.1521
0.445,0.44,0.45,0.3288,0.1688,-0.1688
0.455,0.45,0.46,0.3617,0.1856,-0.1856
0.46499999999999997,0.46,0.47,0.3945,0.2024,-0.2024
0.475,0.47,0.48,0.4273,0.2192,-0.2192
0.485,0.48,0.49,0.4597,0.2358,-0.2358
0.495,0.49,0.5,0.4918,0.2522,-0.2522
0.505,0.5,0.51,0.5233,0.2683,-0.2683
0.515,0.51,0.52,0.5541,0.284,-0.284
0.525,0.52,0.53,0.5841,0.2993,-0.2993
0.535,0.53,0.54,0.6133,0.3142,-0.3142
0.545,0.54,0.55,0.6415,0.3285,-0.3285
0.555,0.55,0.56,0.6686,0.3423,-0.3423
0.565,0.56,0.57,0.6947,0.3555,-0.3555
0.575,0.57,0.58,0.7197,0.3681,-0.3681
0.585,0.58,0.59,0.7434,0.3801,-0.3801
0.595,0.59,0.6,0.766,0.3914,-0.3914
