#: table_doi: 10.17182/hepdata.74824.v1/t154
#: name: Table 154
#: description: Fm wave cross section for -T.

#: data_file: Table154.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0201,0.0114,-0.0114
0.415,0.41,0.42,0.0231,0.0131,-0.0131
0.425,0.42,0.43,0.0262,0.0148,-0.0148
0.435,0.43,0.44,0.0294,0.0166,-0.0166
0.445,0.44,0.45,0.0327,0.0184,-0.0184
0.455,0.45,0.46,0.0359,0.0203,-0.0203
0.46499999999999997,0.46,0.47,0.0392,0.0221,-0.0221
0.475,0.47,0.48,0.0424,0.0239,-0.0239
0.485,0.48,0.49,0.0456,0.0258,-0.0258
0.495,0.49,0.5,0.0488,0.0275,-0.0275
0.505,0.5,0.51,0.0519,0.0293,-0.0293
0.515,0.51,0.52,0.055,0.031,-0.031
0.525,0.52,0.53,0.0579,0.0327,-0.0327
0.535,0.53,0.54,0.0608,0.0344,-0.0344
0.545,0.54,0.55,0.0636,0.0359,-0.0359
0.555,0.55,0.56,0.0664,0.0375,-0.0375
0.565,0.56,0.57,0.069,0.039,-0.039
0.575,0.57,0.58,0.0715,0.0404,-0.0404
0.585,0.58,0.59,0.0739,0.0418,-0.0418
0.595,0.59,0.6,0.0761,0.0431,-0.0431
0.605,0.6,0.61,0.0783,0.0443,-0.0443
0.615,0.61,0.62,0.0804,0.0455,-0.0455
0.625,0.62,0.63,0.0823,0.0466,-0.0466
0.635,0.63,0.64,0.0841,0.0477,-0.0477
0.645,0.64,0.65,0.0858,0.0487,-0.0487
0.655,0.65,0.66,0.0874,0.0497,-0.0497
0.665,0.66,0.67,0.0889,0.0505,-0.0505
0.675,0.67,0.68,0.0902,0.0514,-0.0514
0.685,0.68,0.69,0.0915,0.0522,-0.0522
0.695,0.69,0.7,0.0926,0.0529,-0.0529
0.705,0.7,0.71,0.0937,0.0536,-0.0536
0.715,0.71,0.72,0.0946,0.0542,-0.0542
0.725,0.72,0.73,0.0954,0.0548,-0.0548
0.735,0.73,0.74,0.0962,0.0553,-0.0553
0.745,0.74,0.75,0.0968,0.0558,-0.0558
0.755,0.75,0.76,0.0974,0.0563,-0.0563
