#: table_doi: 10.17182/hepdata.74824.v1/t164
#: name: Table 164
#: description: Fp wave cross section for -T.

#: data_file: Table164.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0836,0.0273,-0.0273
0.415,0.41,0.42,0.0964,0.0316,-0.0316
0.425,0.42,0.43,0.1095,0.0361,-0.0361
0.435,0.43,0.44,0.123,0.0408,-0.0408
0.445,0.44,0.45,0.1367,0.0456,-0.0456
0.455,0.45,0.46,0.1505,0.0505,-0.0505
0.46499999999999997,0.46,0.47,0.1644,0.0555,-0.0555
0.475,0.47,0.48,0.1782,0.0606,-0.0606
0.485,0.48,0.49,0.192,0.0657,-0.0657
0.495,0.49,0.5,0.2057,0.0709,-0.0709
0.505,0.5,0.51,0.2192,0.076,-0.076
0.515,0.51,0.52,0.2324,0.0812,-0.0812
0.525,0.52,0.53,0.2454,0.0864,-0.0864
0.535,0.53,0.54,0.258,0.0915,-0.0915
0.545,0.54,0.55,0.2703,0.0966,-0.0966
0.555,0.55,0.56,0.2822,0.1017,-0.1017
0.565,0.56,0.57,0.2937,0.1068,-0.1068
0.575,0.57,0.58,0.3047,0.1118,-0.1118
0.585,0.58,0.59,0.3153,0.1167,-0.1167
0.595,0.59,0.6,0.3254,0.1216,-0.1216
0.605,0.6,0.61,0.3351,0.1263,-0.1263
0.615,0.61,0.62,0.3442,0.1311,-0.1311
0.625,0.62,0.63,0.3527,0.1357,-0.1357
0.635,0.63,0.64,0.3608,0.1403,-0.1403
0.645,0.64,0.65,0.3683,0.1447,-0.1447
0.655,0.65,0.66,0.3752,0.1491,-0.1491
0.665,0.66,0.67,0.3817,0.1534,-0.1534
0.675,0.67,0.68,0.3875,0.1576,-0.1576
0.685,0.68,0.69,0.3928,0.1616,-0.1616
0.695,0.69,0.7,0.3975,0.1656,-0.1656
0.705,0.7,0.71,0.4017,0.1695,-0.1695
0.715,0.71,0.72,0.4053,0.1733,-0.1733
0.725,0.72,0.73,0.4083,0.1769,-0.1769
0.735,0.73,0.74,0.4108,0.1805,-0.1805
0.745,0.74,0.75,0.4128,0.1839,-0.1839
0.755,0.75,0.76,0.4142,0.1873,-0.1873
0.765,0.76,0.77,0.4151,0.1905,-0.1905
0.775,0.77,0.78,0.4154,0.1935,-0.1935
0.785,0.78,0.79,0.4152,0.1965,-0.1965
0.795,0.79,0.8,0.4145,0.1993,-0.1993
0.805,0.8,0.81,0.4133,0.202,-0.202
0.815,0.81,0.82,0.4116,0.2046,-0.2046
0.825,0.82,0.83,0.4095,0.2071,-0.2071
0.835,0.83,0.84,0.4068,0.2094,-0.2094
0.845,0.84,0.85,0.4037,0.2115,-0.2115
0.855,0.85,0.86,0.4002,0.2136,-0.2136
0.865,0.86,0.87,0.3962,0.2154,-0.2154
0.875,0.87,0.88,0.3918,0.2172,-0.2172
0.885,0.88,0.89,0.3871,0.2188,-0.2188
0.895,0.89,0.9,0.3819,0.2202,-0.2202
0.905,0.9,0.91,0.3764,0.2214,-0.2214
0.915,0.91,0.92,0.3706,0.2225,-0.2225
0.925,0.92,0.93,0.3644,0.2234,-0.2234
0.935,0.93,0.94,0.3579,0.2242,-0.2242
0.945,0.94,0.95,0.3511,0.2247,-0.2247
0.955,0.95,0.96,0.3441,0.2251,-0.2251
0.965,0.96,0.97,0.3369,0.2253,-0.2253
0.975,0.97,0.98,0.3294,0.2253,-0.2253
0.985,0.98,0.99,0.3217,0.2251,-0.2251
0.995,0.99,1.0,0.3139,0.2246,-0.2246
1.005,1.0,1.01,0.3059,0.224,-0.224
1.0150000000000001,1.01,1.02,0.2978,0.2231,-0.2231
1.025,1.02,1.03,0.2896,0.222,-0.222
1.0350000000000001,1.03,1.04,0.2814,0.2207,-0.2207
1.045,1.04,1.05,0.2731,0.2191,-0.2191
1.0550000000000002,1.05,1.06,0.2648,0.2173,-0.2173
1.065,1.06,1.07,0.2566,0.2152,-0.2152
1.0750000000000002,1.07,1.08,0.2484,0.2128,-0.2128
1.085,1.08,1.09,0.2403,0.2102,-0.2102
1.0950000000000002,1.09,1.1,0.2323,0.2073,-0.2073
1.105,1.1,1.11,0.2245,0.2041,-0.2041
1.1150000000000002,1.11,1.12,0.2168,0.2006,-0.2006
1.125,1.12,1.13,0.2094,0.1968,-0.1968
1.1349999999999998,1.13,1.14,0.2023,0.1928,-0.1928
1.145,1.14,1.15,0.1955,0.1884,-0.1884
1.1549999999999998,1.15,1.16,0.1889,0.1837,-0.1837
1.165,1.16,1.17,0.1828,0.1787,-0.1787
1.1749999999999998,1.17,1.18,0.1771,0.1734,-0.1734
1.185,1.18,1.19,0.1718,0.1678,-0.1678
1.1949999999999998,1.19,1.2,0.1671,0.1619,-0.1619
1.205,1.2,1.21,0.1629,0.1558,-0.1558
1.2149999999999999,1.21,1.22,0.1592,0.1494,-0.1494
1.225,1.22,1.23,0.1562,0.1427,-0.1427
1.2349999999999999,1.23,1.24,0.1539,0.1359,-0.1359
1.245,1.24,1.25,0.1523,0.129,-0.129
1.255,1.25,1.26,0.1514,0.1221,-0.1221
1.2650000000000001,1.26,1.27,0.1514,0.1153,-0.1153
1.275,1.27,1.28,0.1522,0.1087,-0.1087
1.2850000000000001,1.28,1.29,0.1539,0.1027,-0.1027
1.295,1.29,1.3,0.1566,0.0975,-0.0975
1.3050000000000002,1.3,1.31,0.1603,0.0934,-0.0934
1.315,1.31,1.32,0.1651,0.091,-0.091
1.3250000000000002,1.32,1.33,0.171,0.0906,-0.0906
1.335,1.33,1.34,0.1781,0.0926,-0.0926
1.3450000000000002,1.34,1.35,0.1865,0.0971,-0.0971
1.355,1.35,1.36,0.1961,0.1042,-0.1042
1.3650000000000002,1.36,1.37,0.207,0.1137,-0.1137
1.375,1.37,1.38,0.2194,0.1253,-0.1253
1.3849999999999998,1.38,1.39,0.2332,0.1389,-0.1389
1.395,1.39,1.4,0.2486,0.1543,-0.1543

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.025,0.0142,-0.0142
0.415,0.41,0.42,0.0288,0.0163,-0.0163
0.425,0.42,0.43,0.0327,0.0186,-0.0186
0.435,0.43,0.44,0.0367,0.0209,-0.0209
0.445,0.44,0.45,0.0408,0.0232,-0.0232
0.455,0.45,0.46,0.0449,0.0255,-0.0255
0.46499999999999997,0.46,0.47,0.0491,0.0279,-0.0279
0.475,0.47,0.48,0.0532,0.0302,-0.0302
0.485,0.48,0.49,0.0573,0.0326,-0.0326
0.495,0.49,0.5,0.0614,0.0349,-0.0349
0.505,0.5,0.51,0.0654,0.0372,-0.0372
0.515,0.51,0.52,0.0693,0.0395,-0.0395
0.525,0.52,0.53,0.0732,0.0417,-0.0417
0.535,0.53,0.54,0.077,0.0438,-0.0438
0.545,0.54,0.55,0.0806,0.046,-0.046
0.555,0.55,0.56,0.0842,0.048,-0.048
0.565,0.56,0.57,0.0876,0.05,-0.05
0.575,0.57,0.58,0.0909,0.0519,-0.0519
0.585,0.58,0.59,0.0941,0.0538,-0.0538
0.595,0.59,0.6,0.0971,0.0556,-0.0556
0.605,0.6,0.61,0.1,0.0573,-0.0573
0.615,0.61,0.62,0.1027,0.0589,-0.0589
0.625,0.62,0.63,0.1053,0.0605,-0.0605
0.635,0.63,0.64,0.1077,0.062,-0.062
0.645,0.64,0.65,0.11,0.0634,-0.0634
0.655,0.65,0.66,0.1121,0.0647,-0.0647
0.665,0.66,0.67,0.114,0.066,-0.066
0.675,0.67,0.68,0.1158,0.0672,-0.0672
0.685,0.68,0.69,0.1175,0.0683,-0.0683
0.695,0.69,0.7,0.1189,0.0693,-0.0693
0.705,0.7,0.71,0.1203,0.0703,-0.0703
0.715,0.71,0.72,0.1214,0.0712,-0.0712
0.725,0.72,0.73,0.1224,0.072,-0.072
0.735,0.73,0.74,0.1233,0.0728,-0.0728
0.745,0.74,0.75,0.1239,0.0735,-0.0735
0.755,0.75,0.76,0.1245,0.0741,-0.0741
0.765,0.76,0.77,0.1249,0.0747,-0.0747
0.775,0.77,0.78,0.1251,0.0752,-0.0752
0.785,0.78,0.79,0.1252,0.0757,-0.0757
0.795,0.79,0.8,0.1252,0.0761,-0.0761
0.805,0.8,0.81,0.125,0.0765,-0.0765
0.815,0.81,0.82,0.1248,0.0768,-0.0768
0.825,0.82,0.83,0.1243,0.0771,-0.0771
0.835,0.83,0.84,0.1238,0.0773,-0.0773
0.845,0.84,0.85,0.1231,0.0775,-0.0775
0.855,0.85,0.86,0.1224,0.0777,-0.0777
0.865,0.86,0.87,0.1215,0.0779,-0.0779
0.875,0.87,0.88,0.1205,0.078,-0.078
0.885,0.88,0.89,0.1194,0.0781,-0.0781
0.895,0.89,0.9,0.1183,0.0782,-0.0782
0.905,0.9,0.91,0.1171,0.0783,-0.0783
0.915,0.91,0.92,0.1157,0.0783,-0.0783
0.925,0.92,0.93,0.1144,0.0784,-0.0784
0.935,0.93,0.94,0.1129,0.0784,-0.0784
0.945,0.94,0.95,0.1114,0.0785,-0.0785
0.955,0.95,0.96,0.1099,0.0785,-0.0785
0.965,0.96,0.97,0.1083,0.0785,-0.0785
0.975,0.97,0.98,0.1067,0.0786,-0.0786
0.985,0.98,0.99,0.1051,0.0786,-0.0786
0.995,0.99,1.0,0.1034,0.0786,-0.0786
1.005,1.0,1.01,0.1018,0.0786,-0.0786
1.0150000000000001,1.01,1.02,0.1002,0.0787,-0.0787
1.025,1.02,1.03,0.0985,0.0787,-0.0787
1.0350000000000001,1.03,1.04,0.0969,0.0787,-0.0787
1.045,1.04,1.05,0.0954,0.0787,-0.0787
1.0550000000000002,1.05,1.06,0.0939,0.0787,-0.0787
1.065,1.06,1.07,0.0924,0.0787,-0.0787
1.0750000000000002,1.07,1.08,0.091,0.0787,-0.0787
1.085,1.08,1.09,0.0897,0.0787,-0.0787
1.0950000000000002,1.09,1.1,0.0885,0.0787,-0.0787
1.105,1.1,1.11,0.0874,0.0787,-0.0787
1.1150000000000002,1.11,1.12,0.0864,0.0787,-0.0787
1.125,1.12,1.13,0.0855,0.0786,-0.0786
1.1349999999999998,1.13,1.14,0.0848,0.0786,-0.0786
1.145,1.14,1.15,0.0842,0.0785,-0.0785
1.1549999999999998,1.15,1.16,0.0838,0.0784,-0.0784
1.165,1.16,1.17,0.0835,0.0783,-0.0783
1.1749999999999998,1.17,1.18,0.0835,0.0783,-0.0783
1.185,1.18,1.19,0.0837,0.0781,-0.0781
1.1949999999999998,1.19,1.2,0.084,0.078,-0.078
1.205,1.2,1.21,0.0847,0.0779,-0.0779
1.2149999999999999,1.21,1.22,0.0855,0.0779,-0.0779
1.225,1.22,1.23,0.0867,0.0778,-0.0778
1.2349999999999999,1.23,1.24,0.0881,0.0777,-0.0777
1.245,1.24,1.25,0.0898,0.0777,-0.0777
1.255,1.25,1.26,0.0918,0.0777,-0.0777
1.2650000000000001,1.26,1.27,0.0942,0.0778,-0.0778
1.275,1.27,1.28,0.0969,0.078,-0.078
1.2850000000000001,1.28,1.29,0.1,0.0783,-0.0783
1.295,1.29,1.3,0.1035,0.0787,-0.0787
1.3050000000000002,1.3,1.31,0.1073,0.0793,-0.0793
1.315,1.31,1.32,0.1116,0.08,-0.08
1.3250000000000002,1.32,1.33,0.1164,0.081,-0.081
1.335,1.33,1.34,0.1215,0.0823,-0.0823
1.3450000000000002,1.34,1.35,0.1272,0.0838,-0.0838
1.355,1.35,1.36,0.1334,0.0858,-0.0858
1.3650000000000002,1.36,1.37,0.1401,0.088,-0.088
1.375,1.37,1.38,0.1473,0.0908,-0.0908
1.3849999999999998,1.38,1.39,0.1551,0.094,-0.094
1.395,1.39,1.4,0.1634,0.0976,-0.0976

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0182,0.0107,-0.0107
0.415,0.41,0.42,0.0211,0.0124,-0.0124
0.425,0.42,0.43,0.024,0.0141,-0.0141
0.435,0.43,0.44,0.0271,0.0159,-0.0159
0.445,0.44,0.45,0.0303,0.0178,-0.0178
0.455,0.45,0.46,0.0335,0.0196,-0.0196
0.46499999999999997,0.46,0.47,0.0367,0.0215,-0.0215
0.475,0.47,0.48,0.04,0.0234,-0.0234
0.485,0.48,0.49,0.0433,0.0254,-0.0254
