#: table_doi: 10.17182/hepdata.74824.v1/t169
#: name: Table 169
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table169.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.3892,0.0522,-0.0522
0.415,0.41,0.42,0.3967,0.0504,-0.0504
0.425,0.42,0.43,0.4061,0.0494,-0.0494
0.435,0.43,0.44,0.4166,0.0483,-0.0483
0.445,0.44,0.45,0.4273,0.0469,-0.0469
0.455,0.45,0.46,0.4375,0.045,-0.045
0.46499999999999997,0.46,0.47,0.4467,0.0429,-0.0429
0.475,0.47,0.48,0.4546,0.0408,-0.0408
0.485,0.48,0.49,0.4607,0.0388,-0.0388
0.495,0.49,0.5,0.465,0.0371,-0.0371
0.505,0.5,0.51,0.4674,0.0356,-0.0356
0.515,0.51,0.52,0.4676,0.0342,-0.0342
0.525,0.52,0.53,0.4656,0.0325,-0.0325
0.535,0.53,0.54,0.4615,0.0306,-0.0306
0.545,0.54,0.55,0.4552,0.0283,-0.0283
0.555,0.55,0.56,0.4467,0.0257,-0.0257
0.565,0.56,0.57,0.4361,0.023,-0.023
0.575,0.57,0.58,0.4236,0.0204,-0.0204
0.585,0.58,0.59,0.4092,0.0181,-0.0181
0.595,0.59,0.6,0.3931,0.0164,-0.0164
0.605,0.6,0.61,0.3756,0.0155,-0.0155
0.615,0.61,0.62,0.3568,0.0153,-0.0153
0.625,0.62,0.63,0.3371,0.0156,-0.0156
0.635,0.63,0.64,0.3167,0.0161,-0.0161
0.645,0.64,0.65,0.2958,0.0166,-0.0166
0.655,0.65,0.66,0.2747,0.0169,-0.0169
0.665,0.66,0.67,0.2538,0.017,-0.017
0.675,0.67,0.68,0.2332,0.017,-0.017
0.685,0.68,0.69,0.2132,0.0169,-0.0169
0.695,0.69,0.7,0.1941,0.0168,-0.0168
0.705,0.7,0.71,0.1761,0.017,-0.017
0.715,0.71,0.72,0.1593,0.0173,-0.0173
0.725,0.72,0.73,0.1441,0.0179,-0.0179
0.735,0.73,0.74,0.1306,0.0185,-0.0185
0.745,0.74,0.75,0.1189,0.0193,-0.0193
0.755,0.75,0.76,0.1092,0.02,-0.02
0.765,0.76,0.77,0.1017,0.0207,-0.0207
0.775,0.77,0.78,0.0966,0.0212,-0.0212
0.785,0.78,0.79,0.0938,0.0215,-0.0215
0.795,0.79,0.8,0.0936,0.0216,-0.0216
0.805,0.8,0.81,0.096,0.0214,-0.0214
0.815,0.81,0.82,0.101,0.021,-0.021
0.825,0.82,0.83,0.1087,0.0204,-0.0204
0.835,0.83,0.84,0.1189,0.0195,-0.0195
