#: table_doi: 10.17182/hepdata.74824.v1/t181
#: name: Table 181
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table181.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,0.0302,0.0296,-0.0296
0.415,0.41,0.42,0.0361,0.029,-0.029
0.425,0.42,0.43,0.0415,0.0283,-0.0283
0.435,0.43,0.44,0.0463,0.0276,-0.0276
0.445,0.44,0.45,0.0504,0.0267,-0.0267
0.455,0.45,0.46,0.0537,0.0257,-0.0257
0.46499999999999997,0.46,0.47,0.0563,0.0246,-0.0246
0.475,0.47,0.48,0.0582,0.0233,-0.0233
0.485,0.48,0.49,0.0595,0.0218,-0.0218
0.495,0.49,0.5,0.0602,0.0201,-0.0201
0.505,0.5,0.51,0.0603,0.0183,-0.0183
0.515,0.51,0.52,0.0598,0.0164,-0.0164
0.525,0.52,0.53,0.0587,0.0144,-0.0144
0.535,0.53,0.54,0.0569,0.0124,-0.0124
0.545,0.54,0.55,0.0546,0.0104,-0.0104
0.555,0.55,0.56,0.0516,0.0085,-0.0085
0.565,0.56,0.57,0.048,0.0069,-0.0069
0.575,0.57,0.58,0.0437,0.0056,-0.0056
0.585,0.58,0.59,0.0387,0.005,-0.005
0.595,0.59,0.6,0.0331,0.005,-0.005
0.605,0.6,0.61,0.0268,0.0056,-0.0056
0.615,0.61,0.62,0.02,0.0065,-0.0065
0.625,0.62,0.63,0.0127,0.0076,-0.0076
0.635,0.63,0.64,0.0049,0.0087,-0.0087
0.645,0.64,0.65,-0.0033,0.0098,-0.0098
0.655,0.65,0.66,-0.0117,0.0109,-0.0109
0.665,0.66,0.67,-0.0204,0.0119,-0.0119
0.675,0.67,0.68,-0.0291,0.013,-0.013
0.685,0.68,0.69,-0.0378,0.014,-0.014
0.695,0.69,0.7,-0.0464,0.0149,-0.0149
0.705,0.7,0.71,-0.0548,0.0157,-0.0157
0.715,0.71,0.72,-0.063,0.0163,-0.0163
0.725,0.72,0.73,-0.0708,0.0168,-0.0168
0.735,0.73,0.74,-0.0782,0.017,-0.017
0.745,0.74,0.75,-0.0851,0.017,-0.017
0.755,0.75,0.76,-0.0915,0.0167,-0.0167
0.765,0.76,0.77,-0.0973,0.0162,-0.0162
0.775,0.77,0.78,-0.1025,0.0155,-0.0155
0.785,0.78,0.79,-0.107,0.0147,-0.0147
0.795,0.79,0.8,-0.1108,0.0137,-0.0137
0.805,0.8,0.81,-0.1139,0.0127,-0.0127
0.815,0.81,0.82,-0.1162,0.0118,-0.0118
0.825,0.82,0.83,-0.1178,0.0111,-0.0111
0.835,0.83,0.84,-0.1186,0.0108,-0.0108
0.845,0.84,0.85,-0.1187,0.0111,-0.0111
0.855,0.85,0.86,-0.1182,0.0118,-0.0118
0.865,0.86,0.87,-0.1169,0.0129,-0.0129
0.875,0.87,0.88,-0.1151,0.0143,-0.0143
0.885,0.88,0.89,-0.1127,0.0159,-0.0159
0.895,0.89,0.9,-0.1099,0.0174,-0.0174
0.905,0.9,0.91,-0.1068,0.019,-0.019
0.915,0.91,0.92,-0.1034,0.0204,-0.0204
0.925,0.92,0.93,-0.0998,0.0217,-0.0217
0.935,0.93,0.94,-0.0962,0.0228,-0.0228
