#: table_doi: 10.17182/hepdata.74824.v1/t195
#: name: Table 195
#: description: Spin density matrix elements for the interference between the S- and P-waves for -T.

#: data_file: Table195.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10,SP-Interference)",error +,error -
0.405,0.4,0.41,0.0506,0.0092,-0.0092
0.415,0.41,0.42,0.0511,0.0101,-0.0101
0.425,0.42,0.43,0.0517,0.012,-0.012
0.435,0.43,0.44,0.0522,0.0143,-0.0143
0.445,0.44,0.45,0.0527,0.0164,-0.0164
0.455,0.45,0.46,0.0532,0.0183,-0.0183
0.46499999999999997,0.46,0.47,0.0537,0.0199,-0.0199
0.475,0.47,0.48,0.0542,0.021,-0.021
0.485,0.48,0.49,0.0546,0.0217,-0.0217
0.495,0.49,0.5,0.0548,0.0221,-0.0221
0.505,0.5,0.51,0.0549,0.022,-0.022
0.515,0.51,0.52,0.0547,0.0216,-0.0216
0.525,0.52,0.53,0.0543,0.0209,-0.0209
0.535,0.53,0.54,0.0536,0.02,-0.02
0.545,0.54,0.55,0.0526,0.0189,-0.0189
0.555,0.55,0.56,0.0512,0.0176,-0.0176
0.565,0.56,0.57,0.0494,0.0163,-0.0163
0.575,0.57,0.58,0.0472,0.015,-0.015
0.585,0.58,0.59,0.0446,0.0137,-0.0137
0.595,0.59,0.6,0.0417,0.0126,-0.0126
0.605,0.6,0.61,0.0383,0.0116,-0.0116
0.615,0.61,0.62,0.0346,0.0108,-0.0108
0.625,0.62,0.63,0.0306,0.0101,-0.0101
0.635,0.63,0.64,0.0263,0.0095,-0.0095
0.645,0.64,0.65,0.0217,0.009,-0.009
0.655,0.65,0.66,0.0168,0.0085,-0.0085
0.665,0.66,0.67,0.0118,0.0079,-0.0079
0.675,0.67,0.68,0.0066,0.0073,-0.0073
0.685,0.68,0.69,0.0013,0.0067,-0.0067
0.695,0.69,0.7,-0.004,0.0062,-0.0062
0.705,0.7,0.71,-0.0093,0.0058,-0.0058
0.715,0.71,0.72,-0.0144,0.0057,-0.0057
0.725,0.72,0.73,-0.0195,0.0059,-0.0059
0.735,0.73,0.74,-0.0242,0.0063,-0.0063
0.745,0.74,0.75,-0.0287,0.007,-0.007
0.755,0.75,0.76,-0.0328,0.0077,-0.0077
0.765,0.76,0.77,-0.0365,0.0085,-0.0085
0.775,0.77,0.78,-0.0398,0.0091,-0.0091
0.785,0.78,0.79,-0.0426,0.0098,-0.0098
0.795,0.79,0.8,-0.0449,0.0103,-0.0103
0.805,0.8,0.81,-0.0468,0.0107,-0.0107
0.815,0.81,0.82,-0.0483,0.0111,-0.0111
0.825,0.82,0.83,-0.0494,0.0115,-0.0115
0.835,0.83,0.84,-0.0502,0.0119,-0.0119
0.845,0.84,0.85,-0.0508,0.0122,-0.0122
0.855,0.85,0.86,-0.0511,0.0125,-0.0125
0.865,0.86,0.87,-0.0514,0.0128,-0.0128
0.875,0.87,0.88,-0.0516,0.0131,-0.0131
0.885,0.88,0.89,-0.0518,0.0132,-0.0132
0.895,0.89,0.9,-0.0521,0.0133,-0.0133
0.905,0.9,0.91,-0.0526,0.0133,-0.0133
0.915,0.91,0.92,-0.0533,0.0133,-0.0133
0.925,0.92,0.93,-0.0544,0.0133,-0.0133
0.935,0.93,0.94,-0.0559,0.0134,-0.0134
0.945,0.94,0.95,-0.0581,0.0138,-0.0138
0.955,0.95,0.96,-0.0611,0.0149,-0.0149
0.965,0.96,0.97,-0.065,0.0173,-0.0173
0.975,0.97,0.98,-0.069,0.0219,-0.0219
0.985,0.98,0.99,-0.064,0.0272,-0.0272
0.995,0.99,1.0,-0.0355,0.0189,-0.0189
1.005,1.0,1.01,-0.0319,0.0181,-0.0181
1.0150000000000001,1.01,1.02,-0.0268,0.0188,-0.0188
1.025,1.02,1.03,-0.0218,0.019,-0.019
1.0350000000000001,1.03,1.04,-0.0173,0.0188,-0.0188
1.045,1.04,1.05,-0.0132,0.0182,-0.0182
1.0550000000000002,1.05,1.06,-0.0096,0.0174,-0.0174
1.065,1.06,1.07,-0.0063,0.0166,-0.0166
1.0750000000000002,1.07,1.08,-0.0035,0.0158,-0.0158
1.085,1.08,1.09,-0.001,0.015,-0.015
1.0950000000000002,1.09,1.1,0.0011,0.0143,-0.0143
1.105,1.1,1.11,0.0029,0.0138,-0.0138
1.1150000000000002,1.11,1.12,0.0045,0.0134,-0.0134
1.125,1.12,1.13,0.0059,0.0132,-0.0132
1.1349999999999998,1.13,1.14,0.0072,0.013,-0.013
1.145,1.14,1.15,0.0083,0.013,-0.013
1.1549999999999998,1.15,1.16,0.0093,0.0131,-0.0131
1.165,1.16,1.17,0.0103,0.0132,-0.0132
1.1749999999999998,1.17,1.18,0.0113,0.0135,-0.0135
1.185,1.18,1.19,0.0124,0.0138,-0.0138
1.1949999999999998,1.19,1.2,0.0135,0.0141,-0.0141
1.205,1.2,1.21,0.0146,0.0144,-0.0144
1.2149999999999999,1.21,1.22,0.0159,0.0147,-0.0147
1.225,1.22,1.23,0.0171,0.0148,-0.0148
1.2349999999999999,1.23,1.24,0.0182,0.0148,-0.0148
1.245,1.24,1.25,0.0192,0.0147,-0.0147
1.255,1.25,1.26,0.02,0.0143,-0.0143
1.2650000000000001,1.26,1.27,0.0205,0.0138,-0.0138
1.275,1.27,1.28,0.0208,0.0133,-0.0133
1.2850000000000001,1.28,1.29,0.0208,0.0129,-0.0129
1.295,1.29,1.3,0.0207,0.0125,-0.0125
1.3050000000000002,1.3,1.31,0.0206,0.0124,-0.0124
1.315,1.31,1.32,0.0207,0.0125,-0.0125
1.3250000000000002,1.32,1.33,0.0212,0.0128,-0.0128
1.335,1.33,1.34,0.0222,0.0135,-0.0135
1.3450000000000002,1.34,1.35,0.024,0.0146,-0.0146
1.355,1.35,1.36,0.0268,0.0159,-0.0159
1.3650000000000002,1.36,1.37,0.0307,0.0175,-0.0175
1.375,1.37,1.38,0.0358,0.0193,-0.0193
1.3849999999999998,1.38,1.39,0.0422,0.0212,-0.0212
1.395,1.39,1.4,0.0498,0.0233,-0.0233

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10,SP-Interference)",error +,error -
0.405,0.4,0.41,0.0531,0.0192,-0.0192
0.415,0.41,0.42,0.0571,0.0175,-0.0175
0.425,0.42,0.43,0.0606,0.0159,-0.0159
0.435,0.43,0.44,0.0635,0.0144,-0.0144
0.445,0.44,0.45,0.0658,0.0132,-0.0132
0.455,0.45,0.46,0.0677,0.0122,-0.0122
0.46499999999999997,0.46,0.47,0.069,0.0115,-0.0115
0.475,0.47,0.48,0.0699,0.011,-0.011
0.485,0.48,0.49,0.0704,0.0108,-0.0108
0.495,0.49,0.5,0.0704,0.0107,-0.0107
0.505,0.5,0.51,0.0699,0.0108,-0.0108
0.515,0.51,0.52,0.069,0.0109,-0.0109
0.525,0.52,0.53,0.0676,0.0112,-0.0112
0.535,0.53,0.54,0.0658,0.0114,-0.0114
0.545,0.54,0.55,0.0634,0.0117,-0.0117
0.555,0.55,0.56,0.0606,0.0119,-0.0119
0.565,0.56,0.57,0.0574,0.0121,-0.0121
0.575,0.57,0.58,0.0537,0.0122,-0.0122
0.585,0.58,0.59,0.0495,0.0121,-0.0121
0.595,0.59,0.6,0.045,0.0119,-0.0119
0.605,0.6,0.61,0.0401,0.0116,-0.0116
0.615,0.61,0.62,0.0349,0.0112,-0.0112
0.625,0.62,0.63,0.0294,0.0107,-0.0107
0.635,0.63,0.64,0.0238,0.0101,-0.0101
0.645,0.64,0.65,0.018,0.0094,-0.0094
0.655,0.65,0.66,0.0123,0.0088,-0.0088
0.665,0.66,0.67,0.0065,0.0083,-0.0083
0.675,0.67,0.68,0.0008,0.0079,-0.0079
0.685,0.68,0.69,-0.0048,0.0076,-0.0076
0.695,0.69,0.7,-0.0101,0.0074,-0.0074
0.705,0.7,0.71,-0.0152,0.0073,-0.0073
0.715,0.71,0.72,-0.0201,0.0072,-0.0072
0.725,0.72,0.73,-0.0246,0.0071,-0.0071
0.735,0.73,0.74,-0.0287,0.0069,-0.0069
0.745,0.74,0.75,-0.0324,0.0067,-0.0067
0.755,0.75,0.76,-0.0357,0.0063,-0.0063
0.765,0.76,0.77,-0.0386,0.006,-0.006
