#: table_doi: 10.17182/hepdata.74824.v1/t24
#: name: Table 24
#: description: Moments YLM(LM=20) of the di-pion angular distribution for -T.

#: data_file: Table24.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=20,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2009,0.0451,-0.0451
0.415,0.41,0.42,0.1997,0.0452,-0.0452
0.425,0.42,0.43,0.2298,0.0584,-0.0584
0.435,0.43,0.44,0.2006,0.048,-0.048
0.445,0.44,0.45,0.2785,0.0731,-0.0731
0.455,0.45,0.46,0.334,0.1088,-0.1088
0.46499999999999997,0.46,0.47,0.4057,0.146,-0.146
0.475,0.47,0.48,0.3356,0.1045,-0.1045
0.485,0.48,0.49,0.516,0.1859,-0.1859
0.495,0.49,0.5,0.3647,0.1329,-0.1329
0.505,0.5,0.51,0.4862,0.1368,-0.1368
0.515,0.51,0.52,0.4816,0.1146,-0.1146
0.525,0.52,0.53,0.4575,0.1254,-0.1254
0.535,0.53,0.54,0.4397,0.1157,-0.1157
0.545,0.54,0.55,0.353,0.0706,-0.0706
0.555,0.55,0.56,0.357,0.072,-0.072
0.565,0.56,0.57,0.3022,0.0688,-0.0688
0.575,0.57,0.58,0.3015,0.0668,-0.0668
0.585,0.58,0.59,0.3223,0.072,-0.072
0.595,0.59,0.6,0.4129,0.083,-0.083
0.605,0.6,0.61,0.3507,0.0778,-0.0778
0.615,0.61,0.62,0.4145,0.0745,-0.0745
0.625,0.62,0.63,0.4733,0.0947,-0.0947
0.635,0.63,0.64,0.4324,0.0866,-0.0866
0.645,0.64,0.65,0.4436,0.092,-0.092
0.655,0.65,0.66,0.4702,0.101,-0.101
0.665,0.66,0.67,0.4354,0.0875,-0.0875
0.675,0.67,0.68,0.4613,0.1226,-0.1226
0.685,0.68,0.69,0.5031,0.1049,-0.1049
0.695,0.69,0.7,0.3891,0.0927,-0.0927
0.705,0.7,0.71,0.5605,0.1525,-0.1525
0.715,0.71,0.72,0.4445,0.1242,-0.1242
0.725,0.72,0.73,0.5427,0.1874,-0.1874
0.735,0.73,0.74,0.3505,0.1233,-0.1233
0.745,0.74,0.75,0.1427,0.106,-0.106
0.755,0.75,0.76,0.2632,0.1318,-0.1318
0.765,0.76,0.77,-0.0303,-0.1512,0.1512
0.775,0.77,0.78,-0.1817,-0.1454,0.1454
0.785,0.78,0.79,-0.0084,-0.2379,0.2379
0.795,0.79,0.8,0.0731,0.2163,-0.2163
0.805,0.8,0.81,-0.2247,-0.1373,0.1373
0.815,0.81,0.82,-0.0225,-0.2426,0.2426
0.825,0.82,0.83,0.0134,0.1956,-0.1956
0.835,0.83,0.84,-0.1999,-0.1904,0.1904
0.845,0.84,0.85,-0.0834,-0.2281,0.2281
0.855,0.85,0.86,-0.1739,-0.1619,0.1619
0.865,0.86,0.87,-0.0863,-0.1692,0.1692
0.875,0.87,0.88,-0.0931,-0.1373,0.1373
0.885,0.88,0.89,-0.082,-0.1854,0.1854
0.895,0.89,0.9,-0.0514,-0.1144,0.1144
0.905,0.9,0.91,-0.1878,-0.1448,0.1448
0.915,0.91,0.92,-0.1261,-0.134,0.134
0.925,0.92,0.93,-0.0541,-0.1198,0.1198
0.935,0.93,0.94,-0.149,-0.0924,0.0924
0.945,0.94,0.95,0.0369,0.1589,-0.1589
0.955,0.95,0.96,-0.1595,-0.0807,0.0807
0.965,0.96,0.97,-0.0749,-0.1109,0.1109
0.975,0.97,0.98,-0.0719,-0.123,0.123
0.985,0.98,0.99,0.1504,0.1592,-0.1592
0.995,0.99,1.0,0.017,0.1665,-0.1665
