#: table_doi: 10.17182/hepdata.74824.v1/t95
#: name: Table 95
#: description: S wave cross section for -T.

#: data_file: Table95.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1051,0.0796,-0.0796
0.415,0.41,0.42,0.1245,0.0875,-0.0875
0.425,0.42,0.43,0.1453,0.0952,-0.0952
0.435,0.43,0.44,0.1669,0.1027,-0.1027
0.445,0.44,0.45,0.1885,0.1101,-0.1101
0.455,0.45,0.46,0.2092,0.1174,-0.1174
0.46499999999999997,0.46,0.47,0.2283,0.1245,-0.1245
0.475,0.47,0.48,0.2451,0.1315,-0.1315
0.485,0.48,0.49,0.259,0.1382,-0.1382
0.495,0.49,0.5,0.2695,0.1443,-0.1443
0.505,0.5,0.51,0.2764,0.1498,-0.1498
0.515,0.51,0.52,0.2796,0.1544,-0.1544
0.525,0.52,0.53,0.279,0.1579,-0.1579
0.535,0.53,0.54,0.275,0.1602,-0.1602
0.545,0.54,0.55,0.2679,0.1612,-0.1612
0.555,0.55,0.56,0.258,0.1609,-0.1609
0.565,0.56,0.57,0.246,0.1592,-0.1592
0.575,0.57,0.58,0.2323,0.1562,-0.1562
0.585,0.58,0.59,0.2176,0.152,-0.152
0.595,0.59,0.6,0.2023,0.1468,-0.1468
0.605,0.6,0.61,0.187,0.1407,-0.1407
0.615,0.61,0.62,0.1722,0.1338,-0.1338
0.625,0.62,0.63,0.1582,0.1265,-0.1265
0.635,0.63,0.64,0.1456,0.1189,-0.1189
0.645,0.64,0.65,0.1345,0.1114,-0.1114
0.655,0.65,0.66,0.1252,0.1042,-0.1042
0.665,0.66,0.67,0.118,0.0976,-0.0976
0.675,0.67,0.68,0.113,0.092,-0.092
0.685,0.68,0.69,0.1103,0.0878,-0.0878
0.695,0.69,0.7,0.11,0.0853,-0.0853
0.705,0.7,0.71,0.1121,0.0847,-0.0847
0.715,0.71,0.72,0.1167,0.0863,-0.0863
0.725,0.72,0.73,0.1237,0.0897,-0.0897
0.735,0.73,0.74,0.1331,0.0948,-0.0948
0.745,0.74,0.75,0.1449,0.1013,-0.1013
0.755,0.75,0.76,0.1589,0.1089,-0.1089
0.765,0.76,0.77,0.1752,0.1174,-0.1174
0.775,0.77,0.78,0.1935,0.1266,-0.1266
0.785,0.78,0.79,0.2138,0.1362,-0.1362
0.795,0.79,0.8,0.2359,0.1462,-0.1462
0.805,0.8,0.81,0.2598,0.1565,-0.1565
0.815,0.81,0.82,0.2853,0.1669,-0.1669
0.825,0.82,0.83,0.3123,0.1775,-0.1775
0.835,0.83,0.84,0.3406,0.1881,-0.1881
0.845,0.84,0.85,0.37,0.1987,-0.1987
0.855,0.85,0.86,0.4003,0.2094,-0.2094
0.865,0.86,0.87,0.4314,0.22,-0.22
0.875,0.87,0.88,0.4629,0.2307,-0.2307
0.885,0.88,0.89,0.4948,0.2414,-0.2414
0.895,0.89,0.9,0.5265,0.2522,-0.2522
0.905,0.9,0.91,0.5578,0.2631,-0.2631
0.915,0.91,0.92,0.5881,0.2743,-0.2743
0.925,0.92,0.93,0.6167,0.2861,-0.2861
0.935,0.93,0.94,0.6423,0.2988,-0.2988
0.945,0.94,0.95,0.663,0.3131,-0.3131
0.955,0.95,0.96,0.6748,0.3299,-0.3299
0.965,0.96,0.97,0.6689,0.3509,-0.3509
0.975,0.97,0.98,0.6201,0.3771,-0.3771
0.985,0.98,0.99,0.4426,0.388,-0.388
0.995,0.99,1.0,0.3008,0.2658,-0.2658
1.005,1.0,1.01,0.2942,0.2222,-0.2222
1.0150000000000001,1.01,1.02,0.288,0.2056,-0.2056
1.025,1.02,1.03,0.2865,0.1975,-0.1975
1.0350000000000001,1.03,1.04,0.2897,0.1935,-0.1935
1.045,1.04,1.05,0.2969,0.192,-0.192
1.0550000000000002,1.05,1.06,0.3076,0.1922,-0.1922
1.065,1.06,1.07,0.3211,0.1939,-0.1939
1.0750000000000002,1.07,1.08,0.3368,0.1969,-0.1969
1.085,1.08,1.09,0.3542,0.201,-0.201
1.0950000000000002,1.09,1.1,0.3727,0.2061,-0.2061
1.105,1.1,1.11,0.3921,0.2121,-0.2121
1.1150000000000002,1.11,1.12,0.4117,0.2188,-0.2188
1.125,1.12,1.13,0.4313,0.2259,-0.2259
1.1349999999999998,1.13,1.14,0.4505,0.2335,-0.2335
1.145,1.14,1.15,0.469,0.2411,-0.2411
1.1549999999999998,1.15,1.16,0.4863,0.2488,-0.2488
1.165,1.16,1.17,0.5023,0.2564,-0.2564
1.1749999999999998,1.17,1.18,0.5165,0.2637,-0.2637
1.185,1.18,1.19,0.5289,0.2706,-0.2706
1.1949999999999998,1.19,1.2,0.5391,0.2771,-0.2771
1.205,1.2,1.21,0.5469,0.283,-0.283
1.2149999999999999,1.21,1.22,0.5521,0.2883,-0.2883
1.225,1.22,1.23,0.5546,0.293,-0.293
1.2349999999999999,1.23,1.24,0.5542,0.297,-0.297
1.245,1.24,1.25,0.5509,0.3003,-0.3003
1.255,1.25,1.26,0.5446,0.3027,-0.3027
1.2650000000000001,1.26,1.27,0.5352,0.3044,-0.3044
1.275,1.27,1.28,0.5228,0.3052,-0.3052
1.2850000000000001,1.28,1.29,0.5074,0.3052,-0.3052
1.295,1.29,1.3,0.4893,0.3041,-0.3041
1.3050000000000002,1.3,1.31,0.4684,0.302,-0.302
1.315,1.31,1.32,0.4451,0.2986,-0.2986
1.3250000000000002,1.32,1.33,0.4196,0.294,-0.294
1.335,1.33,1.34,0.3923,0.2879,-0.2879
1.3450000000000002,1.34,1.35,0.3637,0.2803,-0.2803
1.355,1.35,1.36,0.3342,0.2709,-0.2709
1.3650000000000002,1.36,1.37,0.3044,0.2598,-0.2598
1.375,1.37,1.38,0.275,0.2471,-0.2471
1.3849999999999998,1.38,1.39,0.2468,0.2329,-0.2329
1.395,1.39,1.4,0.2206,0.2179,-0.2179

