Mpipi     YLM       dYLM      
0.405     0.535     0.049     
0.415     0.586     0.053     
0.425     0.641     0.056     
0.435     0.700     0.060     
0.445     0.761     0.064     
0.455     0.826     0.068     
0.465     0.895     0.072     
0.475     0.970     0.075     
0.485     1.048     0.079     
0.495     1.136     0.082     
0.505     1.225     0.084     
0.515     1.320     0.086     
0.525     1.424     0.088     
0.535     1.535     0.088     
0.545     1.655     0.089     
0.555     1.787     0.088     
0.565     1.932     0.087     
0.575     2.096     0.086     
0.585     2.279     0.084     
0.595     2.488     0.082     
0.605     2.725     0.081     
0.615     3.005     0.081     
0.625     3.328     0.084     
0.635     3.712     0.090     
0.645     4.166     0.099     
0.655     4.707     0.113     
0.665     5.358     0.132     
0.675     6.136     0.154     
0.685     7.065     0.181     
0.695     8.168     0.212     
0.705     9.450     0.246     
0.715     10.898    0.283     
0.725     12.461    0.321     
0.735     14.030    0.356     
0.745     15.433    0.386     
0.755     16.470    0.406     
0.765     16.971    0.415     
0.775     16.865    0.410     
0.785     16.215    0.394     
0.795     15.166    0.370     
0.805     13.905    0.343     
0.815     12.586    0.316     
0.825     11.317    0.290     
0.835     10.149    0.265     
0.845     9.107     0.244     
0.855     8.200     0.225     
0.865     7.416     0.208     
0.875     6.740     0.194     
0.885     6.159     0.181     
0.895     5.662     0.170     
0.905     5.234     0.160     
0.915     4.866     0.152     
0.925     4.544     0.144     
0.935     4.269     0.137     
0.945     4.031     0.132     
0.955     3.822     0.126     
0.965     3.645     0.120     
0.975     3.501     0.114     
0.985     3.392     0.107     
0.995     3.309     0.099     
1.005     3.227     0.090     
1.015     3.141     0.079     
1.025     3.070     0.072     
1.035     2.999     0.067     
1.045     2.935     0.064     
1.055     2.883     0.062     
1.065     2.843     0.061     
1.075     2.806     0.060     
1.085     2.777     0.061     
1.095     2.754     0.061     
1.105     2.743     0.062     
1.115     2.730     0.063     
1.125     2.722     0.065     
1.135     2.728     0.066     
1.145     2.728     0.068     
1.155     2.735     0.071     
1.165     2.750     0.072     
1.175     2.773     0.073     
1.185     2.798     0.073     
1.195     2.825     0.074     
1.205     2.860     0.074     
1.215     2.897     0.074     
1.225     2.936     0.074     
1.235     2.984     0.072     
1.245     3.029     0.072     
1.255     3.081     0.072     
1.265     3.121     0.072     
1.275     3.162     0.073     
1.285     3.189     0.075     
1.295     3.194     0.076     
1.305     3.192     0.076     
1.315     3.181     0.077     
1.325     3.153     0.076     
1.335     3.119     0.075     
1.345     3.080     0.074     
1.355     3.040     0.073     
1.365     3.008     0.073     
1.375     2.964     0.072     
1.385     2.925     0.072     
1.395     2.883     0.071     
