#: table_doi: 10.17182/hepdata.74824.v1/t102
#: name: Table 102
#: description: P wave cross section for -T.

#: data_file: Table102.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1501,0.041,-0.041
0.415,0.41,0.42,0.1618,0.0447,-0.0447
0.425,0.42,0.43,0.1742,0.0484,-0.0484
0.435,0.43,0.44,0.1873,0.0522,-0.0522
0.445,0.44,0.45,0.2012,0.0561,-0.0561
0.455,0.45,0.46,0.2162,0.0601,-0.0601
0.46499999999999997,0.46,0.47,0.2325,0.0642,-0.0642
0.475,0.47,0.48,0.2503,0.0684,-0.0684
0.485,0.48,0.49,0.2698,0.0727,-0.0727
0.495,0.49,0.5,0.2914,0.0771,-0.0771
0.505,0.5,0.51,0.3155,0.0816,-0.0816
0.515,0.51,0.52,0.3425,0.0863,-0.0863
0.525,0.52,0.53,0.3728,0.0911,-0.0911
0.535,0.53,0.54,0.407,0.0962,-0.0962
0.545,0.54,0.55,0.4458,0.1015,-0.1015
0.555,0.55,0.56,0.49,0.1071,-0.1071
0.565,0.56,0.57,0.5405,0.1131,-0.1131
0.575,0.57,0.58,0.5983,0.1196,-0.1196
0.585,0.58,0.59,0.6648,0.1267,-0.1267
0.595,0.59,0.6,0.7416,0.1345,-0.1345
0.605,0.6,0.61,0.8304,0.1434,-0.1434
0.615,0.61,0.62,0.9334,0.1536,-0.1536
0.625,0.62,0.63,1.0534,0.1654,-0.1654
0.635,0.63,0.64,1.1933,0.1792,-0.1792
0.645,0.64,0.65,1.3567,0.1955,-0.1955
0.655,0.65,0.66,1.5474,0.2148,-0.2148
0.665,0.66,0.67,1.7697,0.2378,-0.2378
0.675,0.67,0.68,2.0275,0.2649,-0.2649
0.685,0.68,0.69,2.3234,0.2966,-0.2966
0.695,0.69,0.7,2.6575,0.333,-0.333
0.705,0.7,0.71,3.0245,0.3736,-0.3736
0.715,0.71,0.72,3.4107,0.4168,-0.4168
0.725,0.72,0.73,3.7909,0.46,-0.46
0.735,0.73,0.74,4.1273,0.4989,-0.4989
0.745,0.74,0.75,4.3743,0.5285,-0.5285
0.755,0.75,0.76,4.4905,0.5443,-0.5443
0.765,0.76,0.77,4.4538,0.544,-0.544
0.775,0.77,0.78,4.2711,0.5286,-0.5286
0.785,0.78,0.79,3.9761,0.502,-0.502
0.795,0.79,0.8,3.6147,0.4693,-0.4693
0.805,0.8,0.81,3.231,0.4353,-0.4353
0.815,0.81,0.82,2.8577,0.4033,-0.4033
0.825,0.82,0.83,2.5147,0.3751,-0.3751
0.835,0.83,0.84,2.2109,0.3513,-0.3513
0.845,0.84,0.85,1.9485,0.3318,-0.3318
0.855,0.85,0.86,1.7255,0.3161,-0.3161
0.865,0.86,0.87,1.538,0.3036,-0.3036
0.875,0.87,0.88,1.3815,0.2936,-0.2936
0.885,0.88,0.89,1.2516,0.2857,-0.2857
0.895,0.89,0.9,1.1443,0.2793,-0.2793
0.905,0.9,0.91,1.0561,0.2743,-0.2743
0.915,0.91,0.92,0.9841,0.2702,-0.2702
0.925,0.92,0.93,0.9257,0.2669,-0.2669
0.935,0.93,0.94,0.8787,0.2644,-0.2644
0.945,0.94,0.95,0.8415,0.2624,-0.2624
0.955,0.95,0.96,0.8126,0.2609,-0.2609
0.965,0.96,0.97,0.7906,0.2598,-0.2598
0.975,0.97,0.98,0.7746,0.2591,-0.2591
0.985,0.98,0.99,0.7637,0.2587,-0.2587
0.995,0.99,1.0,0.7569,0.2587,-0.2587
1.005,1.0,1.01,0.7538,0.2589,-0.2589
1.0150000000000001,1.01,1.02,0.7537,0.2594,-0.2594
1.025,1.02,1.03,0.7561,0.2601,-0.2601
1.0350000000000001,1.03,1.04,0.7606,0.2609,-0.2609
1.045,1.04,1.05,0.7667,0.2618,-0.2618
1.0550000000000002,1.05,1.06,0.7741,0.2629,-0.2629
1.065,1.06,1.07,0.7824,0.264,-0.264
1.0750000000000002,1.07,1.08,0.7914,0.2652,-0.2652
1.085,1.08,1.09,0.8008,0.2663,-0.2663
1.0950000000000002,1.09,1.1,0.8103,0.2674,-0.2674
1.105,1.1,1.11,0.8197,0.2684,-0.2684
1.1150000000000002,1.11,1.12,0.8288,0.2693,-0.2693
1.125,1.12,1.13,0.8373,0.2701,-0.2701
1.1349999999999998,1.13,1.14,0.8452,0.2708,-0.2708
1.145,1.14,1.15,0.8523,0.2713,-0.2713
1.1549999999999998,1.15,1.16,0.8584,0.2717,-0.2717
1.165,1.16,1.17,0.8634,0.2719,-0.2719
1.1749999999999998,1.17,1.18,0.8671,0.2719,-0.2719
1.185,1.18,1.19,0.8696,0.2719,-0.2719
1.1949999999999998,1.19,1.2,0.8708,0.2717,-0.2717
1.205,1.2,1.21,0.8705,0.2715,-0.2715
1.2149999999999999,1.21,1.22,0.8688,0.2713,-0.2713
1.225,1.22,1.23,0.8656,0.2711,-0.2711
1.2349999999999999,1.23,1.24,0.8611,0.271,-0.271
1.245,1.24,1.25,0.8552,0.2711,-0.2711
1.255,1.25,1.26,0.848,0.2715,-0.2715
1.2650000000000001,1.26,1.27,0.8397,0.2722,-0.2722
1.275,1.27,1.28,0.8304,0.2733,-0.2733
1.2850000000000001,1.28,1.29,0.8202,0.2748,-0.2748
1.295,1.29,1.3,0.8095,0.277,-0.277
1.3050000000000002,1.3,1.31,0.7984,0.2797,-0.2797
1.315,1.31,1.32,0.7873,0.2832,-0.2832
1.3250000000000002,1.32,1.33,0.7765,0.2873,-0.2873
1.335,1.33,1.34,0.7665,0.2923,-0.2923
1.3450000000000002,1.34,1.35,0.7576,0.2981,-0.2981
1.355,1.35,1.36,0.7504,0.3047,-0.3047
1.3650000000000002,1.36,1.37,0.7456,0.3123,-0.3123
1.375,1.37,1.38,0.7436,0.321,-0.321
1.3849999999999998,1.38,1.39,0.7452,0.3309,-0.3309
1.395,1.39,1.4,0.7512,0.3422,-0.3422

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1193,0.0323,-0.0323
0.415,0.41,0.42,0.1288,0.0337,-0.0337
0.425,0.42,0.43,0.1388,0.0351,-0.0351
0.435,0.43,0.44,0.1495,0.0364,-0.0364
0.445,0.44,0.45,0.1609,0.0377,-0.0377
0.455,0.45,0.46,0.1732,0.0391,-0.0391
0.46499999999999997,0.46,0.47,0.1866,0.0405,-0.0405
0.475,0.47,0.48,0.2014,0.0421,-0.0421
0.485,0.48,0.49,0.2178,0.0439,-0.0439
0.495,0.49,0.5,0.2361,0.046,-0.046
0.505,0.5,0.51,0.2566,0.0483,-0.0483
0.515,0.51,0.52,0.2797,0.0511,-0.0511
0.525,0.52,0.53,0.306,0.0542,-0.0542
0.535,0.53,0.54,0.3359,0.0579,-0.0579
0.545,0.54,0.55,0.37,0.0622,-0.0622
0.555,0.55,0.56,0.4091,0.0671,-0.0671
0.565,0.56,0.57,0.4541,0.0728,-0.0728
0.575,0.57,0.58,0.5058,0.0793,-0.0793
0.585,0.58,0.59,0.5657,0.0869,-0.0869
0.595,0.59,0.6,0.635,0.0955,-0.0955
0.605,0.6,0.61,0.7155,0.1055,-0.1055
0.615,0.61,0.62,0.8093,0.117,-0.117
0.625,0.62,0.63,0.9186,0.1303,-0.1303
0.635,0.63,0.64,1.0464,0.1457,-0.1457
0.645,0.64,0.65,1.1957,0.1636,-0.1636
0.655,0.65,0.66,1.3703,0.1843,-0.1843
0.665,0.66,0.67,1.5737,0.2084,-0.2084
0.675,0.67,0.68,1.8094,0.2363,-0.2363
0.685,0.68,0.69,2.0797,0.2681,-0.2681
0.695,0.69,0.7,2.3842,0.3039,-0.3039
0.705,0.7,0.71,2.7177,0.3432,-0.3432
0.715,0.71,0.72,3.0671,0.3843,-0.3843
0.725,0.72,0.73,3.4085,0.4248,-0.4248
0.735,0.73,0.74,3.7071,0.4606,-0.4606
0.745,0.74,0.75,3.9209,0.4871,-0.4871
0.755,0.75,0.76,4.0125,0.4999,-0.4999
0.765,0.76,0.77,3.9625,0.4969,-0.4969
0.775,0.77,0.78,3.779,0.479,-0.479
0.785,0.78,0.79,3.4938,0.4498,-0.4498
0.795,0.79,0.8,3.1502,0.4141,-0.4141
0.805,0.8,0.81,2.7886,0.3766,-0.3766
0.815,0.81,0.82,2.4391,0.3406,-0.3406
0.825,0.82,0.83,2.1194,0.3081,-0.3081
0.835,0.83,0.84,1.8374,0.2798,-0.2798
0.845,0.84,0.85,1.5946,0.2559,-0.2559
0.855,0.85,0.86,1.389,0.2362,-0.2362
0.865,0.86,0.87,1.2167,0.2202,-0.2202
0.875,0.87,0.88,1.0734,0.2073,-0.2073
0.885,0.88,0.89,0.955,0.1971,-0.1971
0.895,0.89,0.9,0.8576,0.1892,-0.1892
0.905,0.9,0.91,0.7781,0.1832,-0.1832
0.915,0.91,0.92,0.7137,0.1788,-0.1788
0.925,0.92,0.93,0.6619,0.1759,-0.1759
0.935,0.93,0.94,0.621,0.1741,-0.1741
0.945,0.94,0.95,0.5891,0.1734,-0.1734
0.955,0.95,0.96,0.565,0.1737,-0.1737
0.965,0.96,0.97,0.5475,0.1747,-0.1747
0.975,0.97,0.98,0.5356,0.1765,-0.1765
0.985,0.98,0.99,0.5286,0.1789,-0.1789
0.995,0.99,1.0,0.5256,0.1819,-0.1819
1.005,1.0,1.01,0.5261,0.1853,-0.1853
1.0150000000000001,1.01,1.02,0.5296,0.1891,-0.1891
1.025,1.02,1.03,0.5356,0.1933,-0.1933
1.0350000000000001,1.03,1.04,0.5436,0.1978,-0.1978
1.045,1.04,1.05,0.5532,0.2024,-0.2024
1.0550000000000002,1.05,1.06,0.5643,0.2072,-0.2072
1.065,1.06,1.07,0.5763,0.2122,-0.2122
1.0750000000000002,1.07,1.08,0.5891,0.2171,-0.2171
1.085,1.08,1.09,0.6024,0.222,-0.222
1.0950000000000002,1.09,1.1,0.616,0.2269,-0.2269
1.105,1.1,1.11,0.6296,0.2317,-0.2317
1.1150000000000002,1.11,1.12,0.643,0.2364,-0.2364
1.125,1.12,1.13,0.6561,0.2408,-0.2408
1.1349999999999998,1.13,1.14,0.6687,0.2451,-0.2451
1.145,1.14,1.15,0.6805,0.2492,-0.2492
1.1549999999999998,1.15,1.16,0.6916,0.253,-0.253
1.165,1.16,1.17,0.7016,0.2565,-0.2565
1.1749999999999998,1.17,1.18,0.7106,0.2597,-0.2597
1.185,1.18,1.19,0.7184,0.2627,-0.2627
1.1949999999999998,1.19,1.2,0.725,0.2654,-0.2654
1.205,1.2,1.21,0.7302,0.2678,-0.2678
1.2149999999999999,1.21,1.22,0.7341,0.27,-0.27
1.225,1.22,1.23,0.7365,0.2719,-0.2719
1.2349999999999999,1.23,1.24,0.7376,0.2736,-0.2736
1.245,1.24,1.25,0.7374,0.2752,-0.2752
1.255,1.25,1.26,0.7358,0.2766,-0.2766
1.2650000000000001,1.26,1.27,0.7329,0.2781,-0.2781
1.275,1.27,1.28,0.729,0.2795,-0.2795
1.2850000000000001,1.28,1.29,0.724,0.281,-0.281
1.295,1.29,1.3,0.7182,0.2828,-0.2828
1.3050000000000002,1.3,1.31,0.7119,0.285,-0.285
1.315,1.31,1.32,0.7051,0.2876,-0.2876
1.3250000000000002,1.32,1.33,0.6983,0.2909,-0.2909
1.335,1.33,1.34,0.6918,0.2951,-0.2951
1.3450000000000002,1.34,1.35,0.6859,0.3004,-0.3004
1.355,1.35,1.36,0.6811,0.3072,-0.3072
1.3650000000000002,1.36,1.37,0.6778,0.3158,-0.3158
1.375,1.37,1.38,0.6767,0.3264,-0.3264
1.3849999999999998,1.38,1.39,0.6784,0.3397,-0.3397
1.395,1.39,1.4,0.6834,0.3561,-0.3561

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0926,0.0255,-0.0255
0.415,0.41,0.42,0.1009,0.027,-0.027
0.425,0.42,0.43,0.1098,0.0286,-0.0286
