#: table_doi: 10.17182/hepdata.74824.v1/t104
#: name: Table 104
#: description: Pm wave cross section for -T.

#: data_file: Table104.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1616,0.0735,-0.0735
0.415,0.41,0.42,0.1735,0.0783,-0.0783
0.425,0.42,0.43,0.1854,0.0829,-0.0829
0.435,0.43,0.44,0.1971,0.0873,-0.0873
0.445,0.44,0.45,0.2089,0.0915,-0.0915
0.455,0.45,0.46,0.2206,0.0954,-0.0954
0.46499999999999997,0.46,0.47,0.2325,0.0992,-0.0992
0.475,0.47,0.48,0.2445,0.1027,-0.1027
0.485,0.48,0.49,0.2567,0.1062,-0.1062
0.495,0.49,0.5,0.2692,0.1094,-0.1094
0.505,0.5,0.51,0.2822,0.1126,-0.1126
0.515,0.51,0.52,0.2958,0.1157,-0.1157
0.525,0.52,0.53,0.3101,0.1188,-0.1188
0.535,0.53,0.54,0.3253,0.1218,-0.1218
0.545,0.54,0.55,0.3417,0.1249,-0.1249
0.555,0.55,0.56,0.3595,0.1281,-0.1281
0.565,0.56,0.57,0.3791,0.1314,-0.1314
0.575,0.57,0.58,0.4007,0.1349,-0.1349
0.585,0.58,0.59,0.4249,0.1386,-0.1386
0.595,0.59,0.6,0.4522,0.1426,-0.1426
0.605,0.6,0.61,0.4833,0.147,-0.147
0.615,0.61,0.62,0.5189,0.1519,-0.1519
0.625,0.62,0.63,0.56,0.1574,-0.1574
0.635,0.63,0.64,0.6077,0.1638,-0.1638
0.645,0.64,0.65,0.6635,0.1714,-0.1714
0.655,0.65,0.66,0.7287,0.1809,-0.1809
0.665,0.66,0.67,0.805,0.1935,-0.1935
0.675,0.67,0.68,0.8942,0.2107,-0.2107
0.685,0.68,0.69,0.9976,0.2352,-0.2352
0.695,0.69,0.7,1.1158,0.2699,-0.2699
0.705,0.7,0.71,1.2477,0.318,-0.318
0.715,0.71,0.72,1.3892,0.3818,-0.3818
0.725,0.72,0.73,1.5322,0.4617,-0.4617
0.735,0.73,0.74,1.6638,0.5543,-0.5543
0.745,0.74,0.75,1.7678,0.6526,-0.6526
0.755,0.75,0.76,1.8283,0.746,-0.746
0.765,0.76,0.77,1.8354,0.8231,-0.8231
0.775,0.77,0.78,1.7894,0.8755,-0.8755
0.785,0.78,0.79,1.7002,0.9003,-0.9003
0.795,0.79,0.8,1.583,0.8995,-0.8995
0.805,0.8,0.81,1.4534,0.8787,-0.8787
0.815,0.81,0.82,1.3232,0.8443,-0.8443
0.825,0.82,0.83,1.2004,0.8019,-0.8019
0.835,0.83,0.84,1.0889,0.7559,-0.7559
0.845,0.84,0.85,0.9901,0.7091,-0.7091
0.855,0.85,0.86,0.9038,0.6634,-0.6634
0.865,0.86,0.87,0.829,0.6197,-0.6197
0.875,0.87,0.88,0.7645,0.5786,-0.5786
0.885,0.88,0.89,0.7089,0.5402,-0.5402
0.895,0.89,0.9,0.6609,0.5044,-0.5044
0.905,0.9,0.91,0.6193,0.4712,-0.4712
0.915,0.91,0.92,0.5833,0.4403,-0.4403
0.925,0.92,0.93,0.5518,0.4117,-0.4117
0.935,0.93,0.94,0.5243,0.385,-0.385
0.945,0.94,0.95,0.5002,0.3602,-0.3602
0.955,0.95,0.96,0.4788,0.337,-0.337
0.965,0.96,0.97,0.4598,0.3154,-0.3154
0.975,0.97,0.98,0.4428,0.2952,-0.2952
0.985,0.98,0.99,0.4276,0.2764,-0.2764
0.995,0.99,1.0,0.4138,0.2588,-0.2588
1.005,1.0,1.01,0.4012,0.2424,-0.2424
1.0150000000000001,1.01,1.02,0.3896,0.2271,-0.2271
1.025,1.02,1.03,0.3789,0.213,-0.213
1.0350000000000001,1.03,1.04,0.3689,0.1999,-0.1999
1.045,1.04,1.05,0.3594,0.188,-0.188
1.0550000000000002,1.05,1.06,0.3505,0.1771,-0.1771
1.065,1.06,1.07,0.3419,0.1672,-0.1672
1.0750000000000002,1.07,1.08,0.3335,0.1584,-0.1584
1.085,1.08,1.09,0.3254,0.1507,-0.1507
1.0950000000000002,1.09,1.1,0.3174,0.1439,-0.1439
1.105,1.1,1.11,0.3094,0.1382,-0.1382
1.1150000000000002,1.11,1.12,0.3014,0.1333,-0.1333
1.125,1.12,1.13,0.2935,0.1293,-0.1293
1.1349999999999998,1.13,1.14,0.2854,0.1262,-0.1262
1.145,1.14,1.15,0.2772,0.1237,-0.1237
1.1549999999999998,1.15,1.16,0.269,0.1218,-0.1218
1.165,1.16,1.17,0.2605,0.1204,-0.1204
1.1749999999999998,1.17,1.18,0.2519,0.1194,-0.1194
1.185,1.18,1.19,0.2432,0.1187,-0.1187
1.1949999999999998,1.19,1.2,0.2343,0.1182,-0.1182
1.205,1.2,1.21,0.2253,0.1179,-0.1179
1.2149999999999999,1.21,1.22,0.2163,0.1176,-0.1176
1.225,1.22,1.23,0.2071,0.1172,-0.1172
1.2349999999999999,1.23,1.24,0.1979,0.1169,-0.1169
1.245,1.24,1.25,0.1888,0.1165,-0.1165
1.255,1.25,1.26,0.1798,0.1161,-0.1161
1.2650000000000001,1.26,1.27,0.171,0.1157,-0.1157
1.275,1.27,1.28,0.1625,0.1152,-0.1152
1.2850000000000001,1.28,1.29,0.1544,0.1149,-0.1149
1.295,1.29,1.3,0.1469,0.1147,-0.1147
1.3050000000000002,1.3,1.31,0.14,0.1149,-0.1149
1.315,1.31,1.32,0.134,0.1154,-0.1154
1.3250000000000002,1.32,1.33,0.129,0.1165,-0.1165
1.335,1.33,1.34,0.1252,0.1183,-0.1183
1.3450000000000002,1.34,1.35,0.1228,0.121,-0.121
1.355,1.35,1.36,0.1222,0.1247,-0.1247
1.3650000000000002,1.36,1.37,0.1234,0.1297,-0.1297
1.375,1.37,1.38,0.127,0.136,-0.136
1.3849999999999998,1.38,1.39,0.133,0.1438,-0.1438
1.395,1.39,1.4,0.142,0.1534,-0.1534

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1113,0.0559,-0.0559
0.415,0.41,0.42,0.1185,0.0596,-0.0596
0.425,0.42,0.43,0.1253,0.0634,-0.0634
0.435,0.43,0.44,0.1317,0.0671,-0.0671
0.445,0.44,0.45,0.1377,0.0708,-0.0708
0.455,0.45,0.46,0.1433,0.0746,-0.0746
0.46499999999999997,0.46,0.47,0.1485,0.0783,-0.0783
0.475,0.47,0.48,0.1533,0.082,-0.082
0.485,0.48,0.49,0.1577,0.0857,-0.0857
0.495,0.49,0.5,0.1617,0.0894,-0.0894
0.505,0.5,0.51,0.1654,0.0931,-0.0931
0.515,0.51,0.52,0.1688,0.0969,-0.0969
0.525,0.52,0.53,0.172,0.1007,-0.1007
0.535,0.53,0.54,0.1749,0.1045,-0.1045
0.545,0.54,0.55,0.1777,0.1084,-0.1084
0.555,0.55,0.56,0.1804,0.1123,-0.1123
0.565,0.56,0.57,0.1832,0.1162,-0.1162
0.575,0.57,0.58,0.1862,0.1202,-0.1202
0.585,0.58,0.59,0.1895,0.1241,-0.1241
0.595,0.59,0.6,0.1935,0.1281,-0.1281
0.605,0.6,0.61,0.1983,0.132,-0.132
0.615,0.61,0.62,0.2045,0.1358,-0.1358
0.625,0.62,0.63,0.2124,0.1396,-0.1396
0.635,0.63,0.64,0.2228,0.1434,-0.1434
0.645,0.64,0.65,0.2364,0.1473,-0.1473
0.655,0.65,0.66,0.2544,0.1514,-0.1514
0.665,0.66,0.67,0.2781,0.1562,-0.1562
0.675,0.67,0.68,0.3093,0.1626,-0.1626
0.685,0.68,0.69,0.35,0.1716,-0.1716
0.695,0.69,0.7,0.4025,0.1853,-0.1853
0.705,0.7,0.71,0.4687,0.2056,-0.2056
0.715,0.71,0.72,0.55,0.2343,-0.2343
0.725,0.72,0.73,0.6459,0.2719,-0.2719
0.735,0.73,0.74,0.7526,0.3165,-0.3165
0.745,0.74,0.75,0.8629,0.3641,-0.3641
0.755,0.75,0.76,0.9662,0.4086,-0.4086
0.765,0.76,0.77,1.0515,0.4442,-0.4442
0.775,0.77,0.78,1.1109,0.4669,-0.4669
0.785,0.78,0.79,1.1418,0.4755,-0.4755
0.795,0.79,0.8,1.1469,0.472,-0.472
0.805,0.8,0.81,1.132,0.4596,-0.4596
0.815,0.81,0.82,1.1037,0.4419,-0.4419
0.825,0.82,0.83,1.0677,0.4219,-0.4219
0.835,0.83,0.84,1.0284,0.4017,-0.4017
0.845,0.84,0.85,0.9885,0.3826,-0.3826
0.855,0.85,0.86,0.95,0.3653,-0.3653
0.865,0.86,0.87,0.9136,0.3501,-0.3501
0.875,0.87,0.88,0.8799,0.337,-0.337
0.885,0.88,0.89,0.8489,0.326,-0.326
