#: table_doi: 10.17182/hepdata.74824.v1/t111
#: name: Table 111
#: description: P0 wave cross section for -T.

#: data_file: Table111.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1098,0.02,-0.02
0.415,0.41,0.42,0.1206,0.0229,-0.0229
0.425,0.42,0.43,0.1319,0.0262,-0.0262
0.435,0.43,0.44,0.1436,0.0297,-0.0297
0.445,0.44,0.45,0.1559,0.0335,-0.0335
0.455,0.45,0.46,0.1688,0.0377,-0.0377
0.46499999999999997,0.46,0.47,0.1825,0.0423,-0.0423
0.475,0.47,0.48,0.1971,0.0472,-0.0472
0.485,0.48,0.49,0.2128,0.0525,-0.0525
0.495,0.49,0.5,0.2296,0.0584,-0.0584
0.505,0.5,0.51,0.2479,0.0647,-0.0647
0.515,0.51,0.52,0.2678,0.0716,-0.0716
0.525,0.52,0.53,0.2897,0.0791,-0.0791
0.535,0.53,0.54,0.3137,0.0873,-0.0873
0.545,0.54,0.55,0.3403,0.0964,-0.0964
0.555,0.55,0.56,0.3699,0.1064,-0.1064
0.565,0.56,0.57,0.4031,0.1174,-0.1174
0.575,0.57,0.58,0.4403,0.1296,-0.1296
0.585,0.58,0.59,0.4823,0.1432,-0.1432
0.595,0.59,0.6,0.53,0.1584,-0.1584
0.605,0.6,0.61,0.5844,0.1753,-0.1753
0.615,0.61,0.62,0.6465,0.1943,-0.1943
0.625,0.62,0.63,0.7179,0.2155,-0.2155
0.635,0.63,0.64,0.8001,0.2394,-0.2394
0.645,0.64,0.65,0.8951,0.266,-0.266
0.655,0.65,0.66,1.0048,0.2958,-0.2958
0.665,0.66,0.67,1.1313,0.3286,-0.3286
0.675,0.67,0.68,1.2765,0.3646,-0.3646
0.685,0.68,0.69,1.4416,0.403,-0.403
0.695,0.69,0.7,1.6261,0.4428,-0.4428
0.705,0.7,0.71,1.8265,0.4819,-0.4819
0.715,0.71,0.72,2.0346,0.5172,-0.5172
0.725,0.72,0.73,2.2361,0.5441,-0.5441
0.735,0.73,0.74,2.4097,0.5577,-0.5577
0.745,0.74,0.75,2.531,0.5537,-0.5537
0.755,0.75,0.76,2.5781,0.5301,-0.5301
0.765,0.76,0.77,2.5405,0.4894,-0.4894
0.775,0.77,0.78,2.424,0.4378,-0.4378
0.785,0.78,0.79,2.2484,0.3839,-0.3839
0.795,0.79,0.8,2.0399,0.3351,-0.3351
0.805,0.8,0.81,1.8225,0.2963,-0.2963
0.815,0.81,0.82,1.6137,0.2687,-0.2687
0.825,0.82,0.83,1.4237,0.2508,-0.2508
0.835,0.83,0.84,1.257,0.2398,-0.2398
0.845,0.84,0.85,1.114,0.233,-0.233
0.855,0.85,0.86,0.9933,0.2285,-0.2285
0.865,0.86,0.87,0.8924,0.225,-0.225
0.875,0.87,0.88,0.8086,0.222,-0.222
0.885,0.88,0.89,0.7395,0.2193,-0.2193
0.895,0.89,0.9,0.6826,0.2169,-0.2169
0.905,0.9,0.91,0.6361,0.215,-0.215
0.915,0.91,0.92,0.5982,0.2137,-0.2137
0.925,0.92,0.93,0.5676,0.2132,-0.2132
0.935,0.93,0.94,0.543,0.2137,-0.2137
0.945,0.94,0.95,0.5236,0.2154,-0.2154
0.955,0.95,0.96,0.5085,0.2184,-0.2184
0.965,0.96,0.97,0.497,0.2227,-0.2227
0.975,0.97,0.98,0.4885,0.2285,-0.2285
0.985,0.98,0.99,0.4827,0.2356,-0.2356
0.995,0.99,1.0,0.479,0.244,-0.244
1.005,1.0,1.01,0.4771,0.2535,-0.2535
1.0150000000000001,1.01,1.02,0.4767,0.2642,-0.2642
1.025,1.02,1.03,0.4775,0.2757,-0.2757
1.0350000000000001,1.03,1.04,0.4793,0.2881,-0.2881
1.045,1.04,1.05,0.4819,0.3011,-0.3011
1.0550000000000002,1.05,1.06,0.4851,0.3147,-0.3147
1.065,1.06,1.07,0.4887,0.3286,-0.3286
1.0750000000000002,1.07,1.08,0.4926,0.3427,-0.3427
1.085,1.08,1.09,0.4966,0.3569,-0.3569
1.0950000000000002,1.09,1.1,0.5005,0.3712,-0.3712
1.105,1.1,1.11,0.5044,0.3852,-0.3852
1.1150000000000002,1.11,1.12,0.508,0.399,-0.399
1.125,1.12,1.13,0.5112,0.4124,-0.4124
1.1349999999999998,1.13,1.14,0.514,0.4253,-0.4253
1.145,1.14,1.15,0.5163,0.4376,-0.4376
1.1549999999999998,1.15,1.16,0.5179,0.4492,-0.4492
1.165,1.16,1.17,0.5188,0.46,-0.46
1.1749999999999998,1.17,1.18,0.5189,0.4698,-0.4698
1.185,1.18,1.19,0.5182,0.4786,-0.4786
1.1949999999999998,1.19,1.2,0.5167,0.4863,-0.4863
1.205,1.2,1.21,0.5142,0.4928,-0.4928
1.2149999999999999,1.21,1.22,0.5107,0.498,-0.498
1.225,1.22,1.23,0.5062,0.5018,-0.5018
1.2349999999999999,1.23,1.24,0.5008,0.5041,-0.5041
1.245,1.24,1.25,0.4943,0.5048,-0.5048
1.255,1.25,1.26,0.4867,0.504,-0.504
1.2650000000000001,1.26,1.27,0.4782,0.5015,-0.5015
1.275,1.27,1.28,0.4687,0.4972,-0.4972
1.2850000000000001,1.28,1.29,0.4583,0.4912,-0.4912
1.295,1.29,1.3,0.447,0.4835,-0.4835
1.3050000000000002,1.3,1.31,0.4348,0.4739,-0.4739
1.315,1.31,1.32,0.422,0.4626,-0.4626
1.3250000000000002,1.32,1.33,0.4086,0.4495,-0.4495
1.335,1.33,1.34,0.3946,0.4347,-0.4347
1.3450000000000002,1.34,1.35,0.3804,0.4183,-0.4183
1.355,1.35,1.36,0.366,0.4002,-0.4002
1.3650000000000002,1.36,1.37,0.3516,0.3806,-0.3806
1.375,1.37,1.38,0.3374,0.3598,-0.3598
1.3849999999999998,1.38,1.39,0.3237,0.3379,-0.3379
1.395,1.39,1.4,0.3108,0.3153,-0.3153

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1212,0.0352,-0.0352
0.415,0.41,0.42,0.1319,0.0356,-0.0356
0.425,0.42,0.43,0.1427,0.0359,-0.0359
0.435,0.43,0.44,0.1537,0.0361,-0.0361
0.445,0.44,0.45,0.165,0.0362,-0.0362
0.455,0.45,0.46,0.1767,0.0364,-0.0364
0.46499999999999997,0.46,0.47,0.1887,0.037,-0.037
0.475,0.47,0.48,0.2013,0.0379,-0.0379
