#: table_doi: 10.17182/hepdata.74824.v1/t115
#: name: Table 115
#: description: Pp wave cross section for -T.

#: data_file: Table115.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2669,0.1672,-0.1672
0.415,0.41,0.42,0.2992,0.1855,-0.1855
0.425,0.42,0.43,0.3349,0.2055,-0.2055
0.435,0.43,0.44,0.3746,0.2274,-0.2274
0.445,0.44,0.45,0.4189,0.2513,-0.2513
0.455,0.45,0.46,0.4686,0.2773,-0.2773
0.46499999999999997,0.46,0.47,0.5244,0.3057,-0.3057
0.475,0.47,0.48,0.5874,0.3367,-0.3367
0.485,0.48,0.49,0.6588,0.3705,-0.3705
0.495,0.49,0.5,0.7398,0.4076,-0.4076
0.505,0.5,0.51,0.832,0.4481,-0.4481
0.515,0.51,0.52,0.9373,0.4925,-0.4925
0.525,0.52,0.53,1.0579,0.5414,-0.5414
0.535,0.53,0.54,1.1963,0.5951,-0.5951
0.545,0.54,0.55,1.3557,0.6545,-0.6545
0.555,0.55,0.56,1.5395,0.7202,-0.7202
0.565,0.56,0.57,1.7523,0.7931,-0.7931
0.575,0.57,0.58,1.9993,0.8745,-0.8745
0.585,0.58,0.59,2.2869,0.9654,-0.9654
0.595,0.59,0.6,2.6226,1.0675,-1.0675
0.605,0.6,0.61,3.0158,1.1825,-1.1825
0.615,0.61,0.62,3.4777,1.3127,-1.3127
0.625,0.62,0.63,4.0218,1.4603,-1.4603
0.635,0.63,0.64,4.6641,1.6284,-1.6284
0.645,0.64,0.65,5.4237,1.82,-1.82
0.655,0.65,0.66,6.3223,2.0385,-2.0385
0.665,0.66,0.67,7.3836,2.2872,-2.2872
0.675,0.67,0.68,8.6315,2.5685,-2.5685
0.685,0.68,0.69,10.0857,2.8831,-2.8831
0.695,0.69,0.7,11.7542,3.2283,-3.2283
0.705,0.7,0.71,13.6207,3.5948,-3.5948
0.715,0.71,0.72,15.6274,3.9644,-3.9644
0.725,0.72,0.73,17.6571,4.3071,-4.3071
0.735,0.73,0.74,19.5245,4.5815,-4.5815
0.745,0.74,0.75,20.9951,4.7416,-4.7416
0.755,0.75,0.76,21.8411,4.7503,-4.7503
0.765,0.76,0.77,21.9213,4.5944,-4.5944
0.775,0.77,0.78,21.2388,4.2929,-4.2929
0.785,0.78,0.79,19.9364,3.8896,-3.8896
0.795,0.79,0.8,18.234,3.4373,-3.4373
0.805,0.8,0.81,16.3531,2.9822,-2.9822
0.815,0.81,0.82,14.4671,2.5557,-2.5557
0.825,0.82,0.83,12.6873,2.1747,-2.1747
0.835,0.83,0.84,11.0712,1.8449,-1.8449
0.845,0.84,0.85,9.6387,1.5652,-1.5652
0.855,0.85,0.86,8.3875,1.3309,-1.3309
0.865,0.86,0.87,7.3034,1.1363,-1.1363
0.875,0.87,0.88,6.368,0.9753,-0.9753
0.885,0.88,0.89,5.5619,0.8424,-0.8424
0.895,0.89,0.9,4.8667,0.733,-0.733
0.905,0.9,0.91,4.2662,0.6428,-0.6428
0.915,0.91,0.92,3.7463,0.5686,-0.5686
0.925,0.92,0.93,3.2951,0.5075,-0.5075
0.935,0.93,0.94,2.9023,0.4571,-0.4571
0.945,0.94,0.95,2.5596,0.4154,-0.4154
0.955,0.95,0.96,2.2598,0.3808,-0.3808
0.965,0.96,0.97,1.997,0.3519,-0.3519
0.975,0.97,0.98,1.7662,0.3276,-0.3276
0.985,0.98,0.99,1.5631,0.3068,-0.3068
0.995,0.99,1.0,1.3843,0.2889,-0.2889
1.005,1.0,1.01,1.2267,0.2733,-0.2733
1.0150000000000001,1.01,1.02,1.0877,0.2593,-0.2593
1.025,1.02,1.03,0.9651,0.2467,-0.2467
1.0350000000000001,1.03,1.04,0.857,0.2351,-0.2351
1.045,1.04,1.05,0.7619,0.2243,-0.2243
1.0550000000000002,1.05,1.06,0.6782,0.2141,-0.2141
1.065,1.06,1.07,0.6046,0.2045,-0.2045
1.0750000000000002,1.07,1.08,0.5402,0.1952,-0.1952
1.085,1.08,1.09,0.4839,0.1863,-0.1863
1.0950000000000002,1.09,1.1,0.4349,0.1777,-0.1777
1.105,1.1,1.11,0.3923,0.1694,-0.1694
1.1150000000000002,1.11,1.12,0.3555,0.1614,-0.1614
1.125,1.12,1.13,0.3239,0.1538,-0.1538
1.1349999999999998,1.13,1.14,0.2969,0.1465,-0.1465
1.145,1.14,1.15,0.2739,0.1397,-0.1397
1.1549999999999998,1.15,1.16,0.2545,0.1333,-0.1333
1.165,1.16,1.17,0.2383,0.1275,-0.1275
1.1749999999999998,1.17,1.18,0.2249,0.1223,-0.1223
1.185,1.18,1.19,0.2139,0.1178,-0.1178
1.1949999999999998,1.19,1.2,0.2051,0.1139,-0.1139
1.205,1.2,1.21,0.198,0.1109,-0.1109
1.2149999999999999,1.21,1.22,0.1924,0.1086,-0.1086
1.225,1.22,1.23,0.1881,0.1072,-0.1072
1.2349999999999999,1.23,1.24,0.1849,0.1067,-0.1067
1.245,1.24,1.25,0.1826,0.1069,-0.1069
