#: table_doi: 10.17182/hepdata.74824.v1/t124
#: name: Table 124
#: description: D wave cross section for -T.

#: data_file: Table124.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1577,0.041,-0.041
0.415,0.41,0.42,0.1592,0.0411,-0.0411
0.425,0.42,0.43,0.1621,0.042,-0.042
0.435,0.43,0.44,0.1663,0.0437,-0.0437
0.445,0.44,0.45,0.1716,0.0461,-0.0461
0.455,0.45,0.46,0.178,0.0491,-0.0491
0.46499999999999997,0.46,0.47,0.1852,0.0527,-0.0527
0.475,0.47,0.48,0.1932,0.0569,-0.0569
0.485,0.48,0.49,0.2019,0.0614,-0.0614
0.495,0.49,0.5,0.2111,0.0664,-0.0664
0.505,0.5,0.51,0.2208,0.0718,-0.0718
0.515,0.51,0.52,0.231,0.0774,-0.0774
0.525,0.52,0.53,0.2414,0.0834,-0.0834
0.535,0.53,0.54,0.252,0.0896,-0.0896
0.545,0.54,0.55,0.2629,0.0959,-0.0959
0.555,0.55,0.56,0.2738,0.1025,-0.1025
0.565,0.56,0.57,0.2848,0.1092,-0.1092
0.575,0.57,0.58,0.2958,0.1161,-0.1161
0.585,0.58,0.59,0.3068,0.123,-0.123
0.595,0.59,0.6,0.3176,0.13,-0.13
0.605,0.6,0.61,0.3283,0.137,-0.137
0.615,0.61,0.62,0.3389,0.1441,-0.1441
0.625,0.62,0.63,0.3493,0.1511,-0.1511
0.635,0.63,0.64,0.3594,0.158,-0.158
0.645,0.64,0.65,0.3693,0.1649,-0.1649
0.655,0.65,0.66,0.3789,0.1717,-0.1717
0.665,0.66,0.67,0.3882,0.1783,-0.1783
0.675,0.67,0.68,0.3971,0.1848,-0.1848
0.685,0.68,0.69,0.4058,0.1911,-0.1911
0.695,0.69,0.7,0.414,0.1971,-0.1971
0.705,0.7,0.71,0.422,0.203,-0.203
0.715,0.71,0.72,0.4295,0.2086,-0.2086
0.725,0.72,0.73,0.4367,0.2139,-0.2139
0.735,0.73,0.74,0.4435,0.2189,-0.2189
0.745,0.74,0.75,0.4499,0.2235,-0.2235
0.755,0.75,0.76,0.456,0.2279,-0.2279
0.765,0.76,0.77,0.4617,0.2319,-0.2319
0.775,0.77,0.78,0.467,0.2355,-0.2355
0.785,0.78,0.79,0.4719,0.2388,-0.2388
0.795,0.79,0.8,0.4765,0.2417,-0.2417
0.805,0.8,0.81,0.4807,0.2442,-0.2442
0.815,0.81,0.82,0.4846,0.2463,-0.2463
0.825,0.82,0.83,0.4882,0.248,-0.248
0.835,0.83,0.84,0.4914,0.2494,-0.2494
0.845,0.84,0.85,0.4943,0.2503,-0.2503
0.855,0.85,0.86,0.4969,0.2509,-0.2509
0.865,0.86,0.87,0.4993,0.251,-0.251
0.875,0.87,0.88,0.5013,0.2508,-0.2508
0.885,0.88,0.89,0.5031,0.2502,-0.2502
0.895,0.89,0.9,0.5046,0.2493,-0.2493
0.905,0.9,0.91,0.5059,0.248,-0.248
0.915,0.91,0.92,0.507,0.2463,-0.2463
0.925,0.92,0.93,0.5078,0.2443,-0.2443
0.935,0.93,0.94,0.5086,0.242,-0.242
0.945,0.94,0.95,0.5091,0.2393,-0.2393
0.955,0.95,0.96,0.5096,0.2363,-0.2363
0.965,0.96,0.97,0.51,0.2331,-0.2331
0.975,0.97,0.98,0.5104,0.2295,-0.2295
0.985,0.98,0.99,0.5108,0.2257,-0.2257
0.995,0.99,1.0,0.5113,0.2217,-0.2217
1.005,1.0,1.01,0.512,0.2175,-0.2175
1.0150000000000001,1.01,1.02,0.5129,0.2131,-0.2131
