#: table_doi: 10.17182/hepdata.74824.v1/t127
#: name: Table 127
#: description: Dm wave cross section for -T.

#: data_file: Table127.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2367,0.0617,-0.0617
0.415,0.41,0.42,0.2185,0.0576,-0.0576
0.425,0.42,0.43,0.2023,0.0573,-0.0573
0.435,0.43,0.44,0.1882,0.0599,-0.0599
0.445,0.44,0.45,0.176,0.0645,-0.0645
0.455,0.45,0.46,0.1657,0.0701,-0.0701
0.46499999999999997,0.46,0.47,0.1573,0.076,-0.076
0.475,0.47,0.48,0.1505,0.0818,-0.0818
0.485,0.48,0.49,0.1453,0.0872,-0.0872
0.495,0.49,0.5,0.1416,0.0922,-0.0922
0.505,0.5,0.51,0.1394,0.0966,-0.0966
0.515,0.51,0.52,0.1384,0.1003,-0.1003
0.525,0.52,0.53,0.1387,0.1035,-0.1035
0.535,0.53,0.54,0.1402,0.106,-0.106
0.545,0.54,0.55,0.1427,0.108,-0.108
0.555,0.55,0.56,0.1461,0.1095,-0.1095
0.565,0.56,0.57,0.1504,0.1104,-0.1104
0.575,0.57,0.58,0.1555,0.1109,-0.1109
0.585,0.58,0.59,0.1613,0.1109,-0.1109
0.595,0.59,0.6,0.1677,0.1105,-0.1105
0.605,0.6,0.61,0.1747,0.1097,-0.1097
0.615,0.61,0.62,0.1821,0.1087,-0.1087
0.625,0.62,0.63,0.19,0.1074,-0.1074
0.635,0.63,0.64,0.1981,0.1058,-0.1058
0.645,0.64,0.65,0.2065,0.1041,-0.1041
0.655,0.65,0.66,0.2152,0.1023,-0.1023
0.665,0.66,0.67,0.2239,0.1005,-0.1005
0.675,0.67,0.68,0.2328,0.0987,-0.0987
0.685,0.68,0.69,0.2417,0.097,-0.097
0.695,0.69,0.7,0.2506,0.0954,-0.0954
0.705,0.7,0.71,0.2595,0.0941,-0.0941
0.715,0.71,0.72,0.2683,0.0931,-0.0931
0.725,0.72,0.73,0.277,0.0924,-0.0924
0.735,0.73,0.74,0.2855,0.0922,-0.0922
0.745,0.74,0.75,0.2939,0.0924,-0.0924
0.755,0.75,0.76,0.3021,0.0931,-0.0931
0.765,0.76,0.77,0.3102,0.0943,-0.0943
0.775,0.77,0.78,0.318,0.096,-0.096
0.785,0.78,0.79,0.3256,0.0983,-0.0983
0.795,0.79,0.8,0.3331,0.101,-0.101
0.805,0.8,0.81,0.3403,0.1041,-0.1041
0.815,0.81,0.82,0.3473,0.1077,-0.1077
0.825,0.82,0.83,0.354,0.1117,-0.1117
0.835,0.83,0.84,0.3606,0.1159,-0.1159
0.845,0.84,0.85,0.367,0.1204,-0.1204
0.855,0.85,0.86,0.3732,0.1252,-0.1252
0.865,0.86,0.87,0.3793,0.1301,-0.1301
0.875,0.87,0.88,0.3852,0.1351,-0.1351
0.885,0.88,0.89,0.3909,0.1401,-0.1401
0.895,0.89,0.9,0.3965,0.1452,-0.1452
0.905,0.9,0.91,0.402,0.1502,-0.1502
0.915,0.91,0.92,0.4073,0.1551,-0.1551
0.925,0.92,0.93,0.4126,0.1599,-0.1599
0.935,0.93,0.94,0.4177,0.1645,-0.1645
0.945,0.94,0.95,0.4228,0.169,-0.169
0.955,0.95,0.96,0.4278,0.1731,-0.1731
0.965,0.96,0.97,0.4327,0.177,-0.177
0.975,0.97,0.98,0.4375,0.1805,-0.1805
0.985,0.98,0.99,0.4422,0.1837,-0.1837
0.995,0.99,1.0,0.4468,0.1866,-0.1866
1.005,1.0,1.01,0.4514,0.189,-0.189
1.0150000000000001,1.01,1.02,0.4558,0.191,-0.191
1.025,1.02,1.03,0.4601,0.1927,-0.1927
1.0350000000000001,1.03,1.04,0.4642,0.1939,-0.1939
1.045,1.04,1.05,0.4682,0.1948,-0.1948
1.0550000000000002,1.05,1.06,0.472,0.1954,-0.1954
1.065,1.06,1.07,0.4755,0.1959,-0.1959
1.0750000000000002,1.07,1.08,0.4788,0.1962,-0.1962
1.085,1.08,1.09,0.4818,0.1967,-0.1967
1.0950000000000002,1.09,1.1,0.4844,0.1974,-0.1974
1.105,1.1,1.11,0.4866,0.1988,-0.1988
1.1150000000000002,1.11,1.12,0.4883,0.2011,-0.2011
1.125,1.12,1.13,0.4894,0.2047,-0.2047
1.1349999999999998,1.13,1.14,0.4899,0.2099,-0.2099
1.145,1.14,1.15,0.4896,0.2172,-0.2172
1.1549999999999998,1.15,1.16,0.4884,0.2268,-0.2268
1.165,1.16,1.17,0.4863,0.2389,-0.2389
1.1749999999999998,1.17,1.18,0.4829,0.2535,-0.2535
1.185,1.18,1.19,0.4782,0.2702,-0.2702
