#: table_doi: 10.17182/hepdata.74824.v1/t136
#: name: Table 136
#: description: D0 wave cross section for -T.

#: data_file: Table136.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.088,0.03,-0.03
0.415,0.41,0.42,0.0894,0.03,-0.03
0.425,0.42,0.43,0.0915,0.0309,-0.0309
0.435,0.43,0.44,0.0941,0.0324,-0.0324
0.445,0.44,0.45,0.0972,0.0343,-0.0343
0.455,0.45,0.46,0.1006,0.0365,-0.0365
0.46499999999999997,0.46,0.47,0.1044,0.0389,-0.0389
0.475,0.47,0.48,0.1084,0.0414,-0.0414
0.485,0.48,0.49,0.1126,0.0441,-0.0441
0.495,0.49,0.5,0.1169,0.0468,-0.0468
0.505,0.5,0.51,0.1213,0.0495,-0.0495
0.515,0.51,0.52,0.1258,0.0523,-0.0523
0.525,0.52,0.53,0.1303,0.0552,-0.0552
0.535,0.53,0.54,0.1347,0.058,-0.058
0.545,0.54,0.55,0.139,0.0609,-0.0609
0.555,0.55,0.56,0.1433,0.0639,-0.0639
0.565,0.56,0.57,0.1475,0.0668,-0.0668
0.575,0.57,0.58,0.1515,0.0697,-0.0697
0.585,0.58,0.59,0.1553,0.0727,-0.0727
0.595,0.59,0.6,0.159,0.0756,-0.0756
0.605,0.6,0.61,0.1625,0.0786,-0.0786
0.615,0.61,0.62,0.1658,0.0815,-0.0815
0.625,0.62,0.63,0.1689,0.0844,-0.0844
0.635,0.63,0.64,0.1718,0.0873,-0.0873
0.645,0.64,0.65,0.1745,0.0902,-0.0902
0.655,0.65,0.66,0.177,0.093,-0.093
0.665,0.66,0.67,0.1792,0.0957,-0.0957
0.675,0.67,0.68,0.1812,0.0983,-0.0983
0.685,0.68,0.69,0.1831,0.1009,-0.1009
0.695,0.69,0.7,0.1846,0.1034,-0.1034
0.705,0.7,0.71,0.186,0.1057,-0.1057
0.715,0.71,0.72,0.1872,0.1079,-0.1079
0.725,0.72,0.73,0.1882,0.1101,-0.1101
0.735,0.73,0.74,0.189,0.112,-0.112
