#: table_doi: 10.17182/hepdata.74824.v1/t141
#: name: Table 141
#: description: Dp wave cross section for -T.

#: data_file: Table141.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0566,0.0364,-0.0364
0.415,0.41,0.42,0.0563,0.0363,-0.0363
0.425,0.42,0.43,0.057,0.0362,-0.0362
0.435,0.43,0.44,0.0586,0.0363,-0.0363
0.445,0.44,0.45,0.061,0.037,-0.037
0.455,0.45,0.46,0.0641,0.0384,-0.0384
0.46499999999999997,0.46,0.47,0.0679,0.0407,-0.0407
0.475,0.47,0.48,0.0723,0.044,-0.044
0.485,0.48,0.49,0.0772,0.0482,-0.0482
0.495,0.49,0.5,0.0827,0.0531,-0.0531
0.505,0.5,0.51,0.0886,0.0588,-0.0588
0.515,0.51,0.52,0.0949,0.0649,-0.0649
0.525,0.52,0.53,0.1015,0.0715,-0.0715
0.535,0.53,0.54,0.1084,0.0783,-0.0783
0.545,0.54,0.55,0.1156,0.0854,-0.0854
0.555,0.55,0.56,0.1229,0.0926,-0.0926
0.565,0.56,0.57,0.1304,0.0998,-0.0998
0.575,0.57,0.58,0.138,0.107,-0.107
0.585,0.58,0.59,0.1457,0.114,-0.114
0.595,0.59,0.6,0.1534,0.121,-0.121
0.605,0.6,0.61,0.1611,0.1277,-0.1277
0.615,0.61,0.62,0.1687,0.1342,-0.1342
0.625,0.62,0.63,0.1762,0.1403,-0.1403
0.635,0.63,0.64,0.1837,0.1462,-0.1462
0.645,0.64,0.65,0.191,0.1517,-0.1517
0.655,0.65,0.66,0.198,0.1568,-0.1568
0.665,0.66,0.67,0.2049,0.1615,-0.1615
0.675,0.67,0.68,0.2116,0.1657,-0.1657
0.685,0.68,0.69,0.2179,0.1695,-0.1695
0.695,0.69,0.7,0.224,0.1727,-0.1727
0.705,0.7,0.71,0.2298,0.1755,-0.1755
0.715,0.71,0.72,0.2352,0.1778,-0.1778
0.725,0.72,0.73,0.2403,0.1796,-0.1796
0.735,0.73,0.74,0.245,0.1808,-0.1808
0.745,0.74,0.75,0.2494,0.1816,-0.1816
0.755,0.75,0.76,0.2533,0.1818,-0.1818
0.765,0.76,0.77,0.2568,0.1815,-0.1815
0.775,0.77,0.78,0.2599,0.1807,-0.1807
0.785,0.78,0.79,0.2626,0.1794,-0.1794
0.795,0.79,0.8,0.2649,0.1777,-0.1777
0.805,0.8,0.81,0.2667,0.1755,-0.1755
0.815,0.81,0.82,0.2681,0.1729,-0.1729
0.825,0.82,0.83,0.269,0.1699,-0.1699
0.835,0.83,0.84,0.2695,0.1665,-0.1665
0.845,0.84,0.85,0.2696,0.1628,-0.1628
0.855,0.85,0.86,0.2692,0.1589,-0.1589
0.865,0.86,0.87,0.2684,0.1547,-0.1547
0.875,0.87,0.88,0.2672,0.1503,-0.1503
0.885,0.88,0.89,0.2656,0.1458,-0.1458
0.895,0.89,0.9,0.2636,0.1413,-0.1413
0.905,0.9,0.91,0.2612,0.1368,-0.1368
0.915,0.91,0.92,0.2584,0.1324,-0.1324
0.925,0.92,0.93,0.2552,0.1281,-0.1281
0.935,0.93,0.94,0.2517,0.1242,-0.1242
0.945,0.94,0.95,0.2478,0.1206,-0.1206
0.955,0.95,0.96,0.2436,0.1175,-0.1175
0.965,0.96,0.97,0.2392,0.115,-0.115
0.975,0.97,0.98,0.2344,0.113,-0.113
0.985,0.98,0.99,0.2294,0.1117,-0.1117
0.995,0.99,1.0,0.2242,0.1111,-0.1111
1.005,1.0,1.01,0.2187,0.1112,-0.1112
1.0150000000000001,1.01,1.02,0.2131,0.112,-0.112
1.025,1.02,1.03,0.2073,0.1134,-0.1134
1.0350000000000001,1.03,1.04,0.2015,0.1154,-0.1154
1.045,1.04,1.05,0.1955,0.1178,-0.1178
1.0550000000000002,1.05,1.06,0.1896,0.1205,-0.1205
1.065,1.06,1.07,0.1836,0.1234,-0.1234
1.0750000000000002,1.07,1.08,0.1778,0.1264,-0.1264
1.085,1.08,1.09,0.1721,0.1294,-0.1294
1.0950000000000002,1.09,1.1,0.1667,0.1322,-0.1322
1.105,1.1,1.11,0.1615,0.1346,-0.1346
1.1150000000000002,1.11,1.12,0.1568,0.1367,-0.1367
1.125,1.12,1.13,0.1526,0.1382,-0.1382
1.1349999999999998,1.13,1.14,0.1491,0.1391,-0.1391
1.145,1.14,1.15,0.1463,0.1393,-0.1393
1.1549999999999998,1.15,1.16,0.1445,0.1387,-0.1387
1.165,1.16,1.17,0.1437,0.1374,-0.1374
1.1749999999999998,1.17,1.18,0.1442,0.1354,-0.1354
1.185,1.18,1.19,0.1461,0.133,-0.133
1.1949999999999998,1.19,1.2,0.1495,0.1308,-0.1308
1.205,1.2,1.21,0.1543,0.1294,-0.1294
1.2149999999999999,1.21,1.22,0.1604,0.1298,-0.1298
1.225,1.22,1.23,0.1675,0.1326,-0.1326
1.2349999999999999,1.23,1.24,0.175,0.138,-0.138
1.245,1.24,1.25,0.182,0.1453,-0.1453
1.255,1.25,1.26,0.1874,0.1534,-0.1534
1.2650000000000001,1.26,1.27,0.1903,0.1605,-0.1605
1.275,1.27,1.28,0.1898,0.1652,-0.1652
1.2850000000000001,1.28,1.29,0.1856,0.1664,-0.1664
1.295,1.29,1.3,0.178,0.1641,-0.1641
1.3050000000000002,1.3,1.31,0.1677,0.1588,-0.1588
1.315,1.31,1.32,0.156,0.1514,-0.1514
1.3250000000000002,1.32,1.33,0.1438,0.1431,-0.1431
1.335,1.33,1.34,0.1324,0.135,-0.135
1.3450000000000002,1.34,1.35,0.1225,0.128,-0.128
1.355,1.35,1.36,0.1147,0.1228,-0.1228
1.3650000000000002,1.36,1.37,0.1095,0.12,-0.12
1.375,1.37,1.38,0.1073,0.1201,-0.1201
1.3849999999999998,1.38,1.39,0.1082,0.1235,-0.1235
1.395,1.39,1.4,0.1124,0.1307,-0.1307

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0765,0.0698,-0.0698
0.415,0.41,0.42,0.0785,0.0697,-0.0697
0.425,0.42,0.43,0.0808,0.0696,-0.0696
0.435,0.43,0.44,0.0833,0.0696,-0.0696
0.445,0.44,0.45,0.086,0.0696,-0.0696
0.455,0.45,0.46,0.0888,0.0696,-0.0696
0.46499999999999997,0.46,0.47,0.0918,0.0697,-0.0697
0.475,0.47,0.48,0.0949,0.0699,-0.0699
0.485,0.48,0.49,0.0982,0.0701,-0.0701
0.495,0.49,0.5,0.1016,0.0704,-0.0704
0.505,0.5,0.51,0.105,0.0708,-0.0708
0.515,0.51,0.52,0.1086,0.0713,-0.0713
0.525,0.52,0.53,0.1122,0.0719,-0.0719
0.535,0.53,0.54,0.1159,0.0725,-0.0725
0.545,0.54,0.55,0.1197,0.0733,-0.0733
0.555,0.55,0.56,0.1236,0.0742,-0.0742
0.565,0.56,0.57,0.1275,0.0751,-0.0751
0.575,0.57,0.58,0.1314,0.0762,-0.0762
0.585,0.58,0.59,0.1354,0.0773,-0.0773
0.595,0.59,0.6,0.1394,0.0785,-0.0785
0.605,0.6,0.61,0.1435,0.0797,-0.0797
0.615,0.61,0.62,0.1475,0.081,-0.081
0.625,0.62,0.63,0.1516,0.0824,-0.0824
0.635,0.63,0.64,0.1557,0.0838,-0.0838
0.645,0.64,0.65,0.1597,0.0851,-0.0851
0.655,0.65,0.66,0.1638,0.0865,-0.0865
0.665,0.66,0.67,0.1678,0.0879,-0.0879
