#: table_doi: 10.17182/hepdata.74824.v1/t156
#: name: Table 156
#: description: Fm wave cross section for -T.

#: data_file: Table156.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0168,0.0099,-0.0099
0.415,0.41,0.42,0.0194,0.0114,-0.0114
0.425,0.42,0.43,0.0219,0.0129,-0.0129
0.435,0.43,0.44,0.0246,0.0144,-0.0144
0.445,0.44,0.45,0.0273,0.0159,-0.0159
0.455,0.45,0.46,0.0299,0.0174,-0.0174
0.46499999999999997,0.46,0.47,0.0326,0.0189,-0.0189
0.475,0.47,0.48,0.0353,0.0204,-0.0204
0.485,0.48,0.49,0.0379,0.0219,-0.0219
0.495,0.49,0.5,0.0405,0.0233,-0.0233
0.505,0.5,0.51,0.0431,0.0247,-0.0247
0.515,0.51,0.52,0.0456,0.026,-0.026
0.525,0.52,0.53,0.048,0.0273,-0.0273
0.535,0.53,0.54,0.0503,0.0285,-0.0285
0.545,0.54,0.55,0.0525,0.0297,-0.0297
0.555,0.55,0.56,0.0547,0.0307,-0.0307
0.565,0.56,0.57,0.0568,0.0318,-0.0318
0.575,0.57,0.58,0.0588,0.0327,-0.0327
0.585,0.58,0.59,0.0606,0.0336,-0.0336
0.595,0.59,0.6,0.0624,0.0344,-0.0344
0.605,0.6,0.61,0.0641,0.0352,-0.0352
0.615,0.61,0.62,0.0656,0.0358,-0.0358
0.625,0.62,0.63,0.0671,0.0364,-0.0364
0.635,0.63,0.64,0.0684,0.037,-0.037
0.645,0.64,0.65,0.0697,0.0374,-0.0374
0.655,0.65,0.66,0.0708,0.0378,-0.0378
0.665,0.66,0.67,0.0719,0.0381,-0.0381
0.675,0.67,0.68,0.0728,0.0384,-0.0384
0.685,0.68,0.69,0.0736,0.0386,-0.0386
0.695,0.69,0.7,0.0744,0.0387,-0.0387
0.705,0.7,0.71,0.075,0.0388,-0.0388
0.715,0.71,0.72,0.0755,0.0389,-0.0389
0.725,0.72,0.73,0.076,0.0389,-0.0389
0.735,0.73,0.74,0.0764,0.0389,-0.0389
0.745,0.74,0.75,0.0766,0.0388,-0.0388
0.755,0.75,0.76,0.0768,0.0387,-0.0387
0.765,0.76,0.77,0.077,0.0387,-0.0387
0.775,0.77,0.78,0.077,0.0386,-0.0386
0.785,0.78,0.79,0.077,0.0386,-0.0386
0.795,0.79,0.8,0.077,0.0385,-0.0385
0.805,0.8,0.81,0.0769,0.0385,-0.0385
0.815,0.81,0.82,0.0767,0.0386,-0.0386
0.825,0.82,0.83,0.0765,0.0387,-0.0387
0.835,0.83,0.84,0.0763,0.0389,-0.0389
0.845,0.84,0.85,0.076,0.0392,-0.0392
0.855,0.85,0.86,0.0758,0.0395,-0.0395
0.865,0.86,0.87,0.0755,0.04,-0.04
0.875,0.87,0.88,0.0752,0.0406,-0.0406
0.885,0.88,0.89,0.0749,0.0413,-0.0413
0.895,0.89,0.9,0.0746,0.0421,-0.0421
0.905,0.9,0.91,0.0743,0.0431,-0.0431
0.915,0.91,0.92,0.0741,0.0442,-0.0442
0.925,0.92,0.93,0.0739,0.0454,-0.0454
0.935,0.93,0.94,0.0738,0.0468,-0.0468
0.945,0.94,0.95,0.0737,0.0483,-0.0483
0.955,0.95,0.96,0.0736,0.05,-0.05
0.965,0.96,0.97,0.0737,0.0518,-0.0518
0.975,0.97,0.98,0.0738,0.0537,-0.0537
0.985,0.98,0.99,0.0741,0.0557,-0.0557
0.995,0.99,1.0,0.0744,0.0578,-0.0578
1.005,1.0,1.01,0.0749,0.0601,-0.0601
1.0150000000000001,1.01,1.02,0.0755,0.0624,-0.0624
1.025,1.02,1.03,0.0762,0.0649,-0.0649
1.0350000000000001,1.03,1.04,0.0771,0.0674,-0.0674
1.045,1.04,1.05,0.0782,0.07,-0.07
1.0550000000000002,1.05,1.06,0.0795,0.0727,-0.0727
1.065,1.06,1.07,0.0809,0.0755,-0.0755
1.0750000000000002,1.07,1.08,0.0826,0.0783,-0.0783
1.085,1.08,1.09,0.0845,0.0812,-0.0812
1.0950000000000002,1.09,1.1,0.0866,0.0842,-0.0842
1.105,1.1,1.11,0.089,0.0872,-0.0872
1.1150000000000002,1.11,1.12,0.0916,0.0902,-0.0902
1.125,1.12,1.13,0.0946,0.0934,-0.0934
1.1349999999999998,1.13,1.14,0.0978,0.0965,-0.0965
1.145,1.14,1.15,0.1013,0.0998,-0.0998
1.1549999999999998,1.15,1.16,0.1052,0.103,-0.103
1.165,1.16,1.17,0.1094,0.1063,-0.1063
1.1749999999999998,1.17,1.18,0.114,0.1097,-0.1097
1.185,1.18,1.19,0.119,0.113,-0.113
1.1949999999999998,1.19,1.2,0.1244,0.1165,-0.1165
1.205,1.2,1.21,0.1302,0.1199,-0.1199
1.2149999999999999,1.21,1.22,0.1364,0.1234,-0.1234
1.225,1.22,1.23,0.1431,0.1269,-0.1269
1.2349999999999999,1.23,1.24,0.1502,0.1305,-0.1305
1.245,1.24,1.25,0.1579,0.1341,-0.1341
1.255,1.25,1.26,0.166,0.1378,-0.1378
1.2650000000000001,1.26,1.27,0.1747,0.1415,-0.1415
1.275,1.27,1.28,0.184,0.1452,-0.1452
1.2850000000000001,1.28,1.29,0.1938,0.149,-0.149
1.295,1.29,1.3,0.2043,0.1529,-0.1529
1.3050000000000002,1.3,1.31,0.2153,0.1568,-0.1568
1.315,1.31,1.32,0.227,0.1608,-0.1608
1.3250000000000002,1.32,1.33,0.2394,0.1649,-0.1649
1.335,1.33,1.34,0.2524,0.1691,-0.1691
1.3450000000000002,1.34,1.35,0.2662,0.1734,-0.1734
1.355,1.35,1.36,0.2807,0.1778,-0.1778
1.3650000000000002,1.36,1.37,0.2959,0.1823,-0.1823
1.375,1.37,1.38,0.312,0.1869,-0.1869
1.3849999999999998,1.38,1.39,0.3288,0.1917,-0.1917
1.395,1.39,1.4,0.3465,0.1966,-0.1966

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.015,0.0079,-0.0079
0.415,0.41,0.42,0.0172,0.0091,-0.0091
0.425,0.42,0.43,0.0194,0.0103,-0.0103
0.435,0.43,0.44,0.0217,0.0115,-0.0115
0.445,0.44,0.45,0.0239,0.0128,-0.0128
0.455,0.45,0.46,0.0261,0.014,-0.014
0.46499999999999997,0.46,0.47,0.0283,0.0153,-0.0153
0.475,0.47,0.48,0.0304,0.0165,-0.0165
0.485,0.48,0.49,0.0325,0.0178,-0.0178
0.495,0.49,0.5,0.0345,0.019,-0.019
0.505,0.5,0.51,0.0364,0.0202,-0.0202
0.515,0.51,0.52,0.0382,0.0213,-0.0213
0.525,0.52,0.53,0.04,0.0225,-0.0225
0.535,0.53,0.54,0.0416,0.0236,-0.0236
0.545,0.54,0.55,0.0431,0.0246,-0.0246
0.555,0.55,0.56,0.0445,0.0256,-0.0256
0.565,0.56,0.57,0.0458,0.0266,-0.0266
0.575,0.57,0.58,0.047,0.0275,-0.0275
0.585,0.58,0.59,0.048,0.0284,-0.0284
0.595,0.59,0.6,0.0489,0.0292,-0.0292
0.605,0.6,0.61,0.0497,0.03,-0.03
0.615,0.61,0.62,0.0504,0.0307,-0.0307
0.625,0.62,0.63,0.0509,0.0314,-0.0314
0.635,0.63,0.64,0.0513,0.032,-0.032
0.645,0.64,0.65,0.0516,0.0326,-0.0326
0.655,0.65,0.66,0.0517,0.0331,-0.0331
0.665,0.66,0.67,0.0518,0.0336,-0.0336
0.675,0.67,0.68,0.0517,0.034,-0.034
0.685,0.68,0.69,0.0515,0.0344,-0.0344
0.695,0.69,0.7,0.0512,0.0347,-0.0347
0.705,0.7,0.71,0.0508,0.035,-0.035
0.715,0.71,0.72,0.0503,0.0352,-0.0352
0.725,0.72,0.73,0.0497,0.0354,-0.0354
0.735,0.73,0.74,0.049,0.0355,-0.0355
0.745,0.74,0.75,0.0482,0.0356,-0.0356
0.755,0.75,0.76,0.0473,0.0356,-0.0356
0.765,0.76,0.77,0.0463,0.0356,-0.0356
0.775,0.77,0.78,0.0453,0.0355,-0.0355
0.785,0.78,0.79,0.0442,0.0354,-0.0354
0.795,0.79,0.8,0.0431,0.0353,-0.0353
0.805,0.8,0.81,0.0419,0.0351,-0.0351
0.815,0.81,0.82,0.0407,0.0348,-0.0348
0.825,0.82,0.83,0.0394,0.0345,-0.0345
0.835,0.83,0.84,0.0382,0.0342,-0.0342
0.845,0.84,0.85,0.0369,0.0339,-0.0339
0.855,0.85,0.86,0.0356,0.0335,-0.0335
0.865,0.86,0.87,0.0343,0.033,-0.033
0.875,0.87,0.88,0.033,0.0325,-0.0325
0.885,0.88,0.89,0.0318,0.032,-0.032
0.895,0.89,0.9,0.0306,0.0314,-0.0314
0.905,0.9,0.91,0.0295,0.0308,-0.0308
0.915,0.91,0.92,0.0284,0.0302,-0.0302
0.925,0.92,0.93,0.0274,0.0295,-0.0295
0.935,0.93,0.94,0.0264,0.0288,-0.0288
0.945,0.94,0.95,0.0256,0.0281,-0.0281
0.955,0.95,0.96,0.0249,0.0274,-0.0274
0.965,0.96,0.97,0.0243,0.0267,-0.0267
0.975,0.97,0.98,0.0238,0.0261,-0.0261
0.985,0.98,0.99,0.0235,0.0254,-0.0254
0.995,0.99,1.0,0.0234,0.0248,-0.0248
1.005,1.0,1.01,0.0235,0.0243,-0.0243
1.0150000000000001,1.01,1.02,0.0237,0.0238,-0.0238
1.025,1.02,1.03,0.0242,0.0233,-0.0233
1.0350000000000001,1.03,1.04,0.0249,0.023,-0.023
1.045,1.04,1.05,0.0258,0.0228,-0.0228
1.0550000000000002,1.05,1.06,0.027,0.0227,-0.0227
1.065,1.06,1.07,0.0285,0.0229,-0.0229
1.0750000000000002,1.07,1.08,0.0303,0.0232,-0.0232
1.085,1.08,1.09,0.0324,0.0238,-0.0238
1.0950000000000002,1.09,1.1,0.0349,0.0247,-0.0247
1.105,1.1,1.11,0.0377,0.0259,-0.0259
1.1150000000000002,1.11,1.12,0.0409,0.0274,-0.0274
1.125,1.12,1.13,0.0444,0.0292,-0.0292
1.1349999999999998,1.13,1.14,0.0484,0.0313,-0.0313
1.145,1.14,1.15,0.0529,0.0338,-0.0338
1.1549999999999998,1.15,1.16,0.0578,0.0365,-0.0365
1.165,1.16,1.17,0.0631,0.0396,-0.0396
1.1749999999999998,1.17,1.18,0.069,0.0429,-0.0429
1.185,1.18,1.19,0.0754,0.0466,-0.0466
1.1949999999999998,1.19,1.2,0.0824,0.0506,-0.0506
1.205,1.2,1.21,0.0899,0.0549,-0.0549
1.2149999999999999,1.21,1.22,0.098,0.0595,-0.0595
1.225,1.22,1.23,0.1068,0.0644,-0.0644
1.2349999999999999,1.23,1.24,0.1162,0.0697,-0.0697
1.245,1.24,1.25,0.1263,0.0753,-0.0753
1.255,1.25,1.26,0.137,0.0812,-0.0812
1.2650000000000001,1.26,1.27,0.1485,0.0874,-0.0874
1.275,1.27,1.28,0.1608,0.094,-0.094
1.2850000000000001,1.28,1.29,0.1738,0.101,-0.101
1.295,1.29,1.3,0.1877,0.1084,-0.1084
1.3050000000000002,1.3,1.31,0.2023,0.1161,-0.1161
1.315,1.31,1.32,0.2179,0.1242,-0.1242
1.3250000000000002,1.32,1.33,0.2343,0.1327,-0.1327
1.335,1.33,1.34,0.2517,0.1417,-0.1417
1.3450000000000002,1.34,1.35,0.27,0.151,-0.151
1.355,1.35,1.36,0.2893,0.1608,-0.1608
1.3650000000000002,1.36,1.37,0.3097,0.1711,-0.1711
1.375,1.37,1.38,0.3311,0.1818,-0.1818
1.3849999999999998,1.38,1.39,0.3535,0.193,-0.193
1.395,1.39,1.4,0.3771,0.2047,-0.2047

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0191,0.0072,-0.0072
0.415,0.41,0.42,0.0221,0.0083,-0.0083
0.425,0.42,0.43,0.0252,0.0095,-0.0095
0.435,0.43,0.44,0.0284,0.0107,-0.0107
0.445,0.44,0.45,0.0316,0.0119,-0.0119
0.455,0.45,0.46,0.035,0.0131,-0.0131
0.46499999999999997,0.46,0.47,0.0384,0.0143,-0.0143
0.475,0.47,0.48,0.0418,0.0156,-0.0156
0.485,0.48,0.49,0.0452,0.0168,-0.0168
0.495,0.49,0.5,0.0487,0.0181,-0.0181
0.505,0.5,0.51,0.0521,0.0193,-0.0193
0.515,0.51,0.52,0.0555,0.0206,-0.0206
0.525,0.52,0.53,0.0589,0.0218,-0.0218
0.535,0.53,0.54,0.0623,0.023,-0.023
0.545,0.54,0.55,0.0657,0.0242,-0.0242
0.555,0.55,0.56,0.0689,0.0255,-0.0255
0.565,0.56,0.57,0.0722,0.0267,-0.0267
0.575,0.57,0.58,0.0754,0.0278,-0.0278
0.585,0.58,0.59,0.0785,0.029,-0.029
0.595,0.59,0.6,0.0816,0.0302,-0.0302
0.605,0.6,0.61,0.0846,0.0314,-0.0314
0.615,0.61,0.62,0.0875,0.0325,-0.0325
0.625,0.62,0.63,0.0904,0.0336,-0.0336
0.635,0.63,0.64,0.0932,0.0348,-0.0348
0.645,0.64,0.65,0.0959,0.0359,-0.0359
0.655,0.65,0.66,0.0985,0.037,-0.037
0.665,0.66,0.67,0.1011,0.0382,-0.0382
0.675,0.67,0.68,0.1036,0.0393,-0.0393
0.685,0.68,0.69,0.106,0.0404,-0.0404
0.695,0.69,0.7,0.1083,0.0415,-0.0415
0.705,0.7,0.71,0.1106,0.0427,-0.0427
0.715,0.71,0.72,0.1128,0.0438,-0.0438
0.725,0.72,0.73,0.1149,0.0449,-0.0449
0.735,0.73,0.74,0.1169,0.046,-0.046
0.745,0.74,0.75,0.1189,0.0472,-0.0472
0.755,0.75,0.76,0.1208,0.0483,-0.0483
0.765,0.76,0.77,0.1226,0.0495,-0.0495
0.775,0.77,0.78,0.1243,0.0506,-0.0506
0.785,0.78,0.79,0.126,0.0518,-0.0518
0.795,0.79,0.8,0.1276,0.0529,-0.0529
0.805,0.8,0.81,0.1292,0.0541,-0.0541
0.815,0.81,0.82,0.1307,0.0552,-0.0552
0.825,0.82,0.83,0.1321,0.0564,-0.0564
0.835,0.83,0.84,0.1335,0.0575,-0.0575
0.845,0.84,0.85,0.1349,0.0587,-0.0587
0.855,0.85,0.86,0.1362,0.0598,-0.0598
0.865,0.86,0.87,0.1374,0.061,-0.061
0.875,0.87,0.88,0.1386,0.0621,-0.0621
0.885,0.88,0.89,0.1397,0.0633,-0.0633
0.895,0.89,0.9,0.1409,0.0644,-0.0644
0.905,0.9,0.91,0.142,0.0655,-0.0655
0.915,0.91,0.92,0.143,0.0666,-0.0666
0.925,0.92,0.93,0.1441,0.0676,-0.0676
0.935,0.93,0.94,0.1451,0.0687,-0.0687
0.945,0.94,0.95,0.1461,0.0697,-0.0697
0.955,0.95,0.96,0.1471,0.0707,-0.0707
0.965,0.96,0.97,0.1481,0.0716,-0.0716
0.975,0.97,0.98,0.149,0.0725,-0.0725
0.985,0.98,0.99,0.15,0.0734,-0.0734
0.995,0.99,1.0,0.151,0.0742,-0.0742
1.005,1.0,1.01,0.152,0.075,-0.075
1.0150000000000001,1.01,1.02,0.153,0.0758,-0.0758
1.025,1.02,1.03,0.1541,0.0765,-0.0765
1.0350000000000001,1.03,1.04,0.1552,0.0771,-0.0771
1.045,1.04,1.05,0.1563,0.0778,-0.0778
1.0550000000000002,1.05,1.06,0.1574,0.0783,-0.0783
1.065,1.06,1.07,0.1586,0.0788,-0.0788
1.0750000000000002,1.07,1.08,0.1599,0.0793,-0.0793
1.085,1.08,1.09,0.1612,0.0797,-0.0797
1.0950000000000002,1.09,1.1,0.1626,0.08,-0.08
1.105,1.1,1.11,0.164,0.0803,-0.0803
1.1150000000000002,1.11,1.12,0.1655,0.0806,-0.0806
1.125,1.12,1.13,0.1672,0.0808,-0.0808
1.1349999999999998,1.13,1.14,0.1689,0.081,-0.081
1.145,1.14,1.15,0.1707,0.0812,-0.0812
1.1549999999999998,1.15,1.16,0.1726,0.0814,-0.0814
1.165,1.16,1.17,0.1746,0.0816,-0.0816
1.1749999999999998,1.17,1.18,0.1768,0.0818,-0.0818
1.185,1.18,1.19,0.1791,0.0821,-0.0821
1.1949999999999998,1.19,1.2,0.1815,0.0824,-0.0824
1.205,1.2,1.21,0.1841,0.0828,-0.0828
1.2149999999999999,1.21,1.22,0.1868,0.0833,-0.0833
1.225,1.22,1.23,0.1897,0.084,-0.084
1.2349999999999999,1.23,1.24,0.1928,0.0849,-0.0849
1.245,1.24,1.25,0.1961,0.086,-0.086
1.255,1.25,1.26,0.1995,0.0873,-0.0873
1.2650000000000001,1.26,1.27,0.2032,0.089,-0.089
1.275,1.27,1.28,0.207,0.091,-0.091
1.2850000000000001,1.28,1.29,0.2111,0.0935,-0.0935
1.295,1.29,1.3,0.2154,0.0963,-0.0963
1.3050000000000002,1.3,1.31,0.22,0.0996,-0.0996
1.315,1.31,1.32,0.2248,0.1034,-0.1034
1.3250000000000002,1.32,1.33,0.2299,0.1077,-0.1077
1.335,1.33,1.34,0.2352,0.1126,-0.1126
1.3450000000000002,1.34,1.35,0.2408,0.1181,-0.1181
1.355,1.35,1.36,0.2467,0.1242,-0.1242
1.3650000000000002,1.36,1.37,0.253,0.1309,-0.1309
1.375,1.37,1.38,0.2595,0.1382,-0.1382
1.3849999999999998,1.38,1.39,0.2664,0.1462,-0.1462
1.395,1.39,1.4,0.2736,0.1548,-0.1548

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
