#: table_doi: 10.17182/hepdata.74824.v1/t161
#: name: Table 161
#: description: F0 wave cross section for -T.

#: data_file: Table161.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0186,0.0065,-0.0065
0.415,0.41,0.42,0.0215,0.0075,-0.0075
0.425,0.42,0.43,0.0244,0.0085,-0.0085
0.435,0.43,0.44,0.0274,0.0096,-0.0096
0.445,0.44,0.45,0.0305,0.0107,-0.0107
0.455,0.45,0.46,0.0336,0.0117,-0.0117
0.46499999999999997,0.46,0.47,0.0368,0.0128,-0.0128
0.475,0.47,0.48,0.0399,0.0139,-0.0139
0.485,0.48,0.49,0.043,0.015,-0.015
0.495,0.49,0.5,0.0461,0.0161,-0.0161
0.505,0.5,0.51,0.0491,0.0172,-0.0172
0.515,0.51,0.52,0.0521,0.0183,-0.0183
0.525,0.52,0.53,0.0551,0.0193,-0.0193
0.535,0.53,0.54,0.058,0.0204,-0.0204
0.545,0.54,0.55,0.0608,0.0214,-0.0214
0.555,0.55,0.56,0.0635,0.0223,-0.0223
0.565,0.56,0.57,0.0662,0.0233,-0.0233
0.575,0.57,0.58,0.0688,0.0242,-0.0242
0.585,0.58,0.59,0.0712,0.0251,-0.0251
0.595,0.59,0.6,0.0736,0.026,-0.026
0.605,0.6,0.61,0.0759,0.0268,-0.0268
0.615,0.61,0.62,0.078,0.0276,-0.0276
0.625,0.62,0.63,0.0801,0.0284,-0.0284
0.635,0.63,0.64,0.0821,0.0292,-0.0292
0.645,0.64,0.65,0.0839,0.0299,-0.0299
0.655,0.65,0.66,0.0856,0.0305,-0.0305
0.665,0.66,0.67,0.0873,0.0312,-0.0312
0.675,0.67,0.68,0.0888,0.0318,-0.0318
0.685,0.68,0.69,0.0902,0.0323,-0.0323
0.695,0.69,0.7,0.0915,0.0329,-0.0329
