#: table_doi: 10.17182/hepdata.74824.v1/t178
#: name: Table 178
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table178.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,0.0103,0.0201,-0.0201
0.415,0.41,0.42,0.009,0.0222,-0.0222
0.425,0.42,0.43,0.0073,0.0246,-0.0246
0.435,0.43,0.44,0.0052,0.027,-0.027
0.445,0.44,0.45,0.0029,0.0291,-0.0291
0.455,0.45,0.46,0.0005,0.031,-0.031
0.46499999999999997,0.46,0.47,-0.0018,0.0326,-0.0326
0.475,0.47,0.48,-0.004,0.0339,-0.0339
0.485,0.48,0.49,-0.006,0.0348,-0.0348
0.495,0.49,0.5,-0.0078,0.0354,-0.0354
0.505,0.5,0.51,-0.0093,0.0357,-0.0357
0.515,0.51,0.52,-0.0104,0.0356,-0.0356
0.525,0.52,0.53,-0.0112,0.0351,-0.0351
0.535,0.53,0.54,-0.0115,0.0343,-0.0343
0.545,0.54,0.55,-0.0115,0.033,-0.033
0.555,0.55,0.56,-0.0112,0.0315,-0.0315
0.565,0.56,0.57,-0.0104,0.0296,-0.0296
0.575,0.57,0.58,-0.0092,0.0275,-0.0275
0.585,0.58,0.59,-0.0078,0.0252,-0.0252
0.595,0.59,0.6,-0.006,0.0228,-0.0228
0.605,0.6,0.61,-0.004,0.0204,-0.0204
0.615,0.61,0.62,-0.0017,0.018,-0.018
0.625,0.62,0.63,0.0006,0.0158,-0.0158
0.635,0.63,0.64,0.0031,0.0139,-0.0139
0.645,0.64,0.65,0.0057,0.0122,-0.0122
0.655,0.65,0.66,0.0083,0.0108,-0.0108
0.665,0.66,0.67,0.0108,0.0097,-0.0097
0.675,0.67,0.68,0.0134,0.0089,-0.0089
0.685,0.68,0.69,0.016,0.0083,-0.0083
0.695,0.69,0.7,0.0185,0.0077,-0.0077
0.705,0.7,0.71,0.0211,0.0072,-0.0072
0.715,0.71,0.72,0.0237,0.0067,-0.0067
0.725,0.72,0.73,0.0263,0.0061,-0.0061
0.735,0.73,0.74,0.029,0.0056,-0.0056
0.745,0.74,0.75,0.0318,0.0051,-0.0051
0.755,0.75,0.76,0.0348,0.0047,-0.0047
0.765,0.76,0.77,0.0378,0.0045,-0.0045
0.775,0.77,0.78,0.0409,0.0046,-0.0046
0.785,0.78,0.79,0.0441,0.005,-0.005
0.795,0.79,0.8,0.0474,0.0056,-0.0056
0.805,0.8,0.81,0.0508,0.0064,-0.0064
0.815,0.81,0.82,0.0541,0.0072,-0.0072
0.825,0.82,0.83,0.0574,0.0081,-0.0081
0.835,0.83,0.84,0.0607,0.0091,-0.0091
0.845,0.84,0.85,0.0637,0.0101,-0.0101
0.855,0.85,0.86,0.0666,0.0111,-0.0111
0.865,0.86,0.87,0.0692,0.0122,-0.0122
0.875,0.87,0.88,0.0715,0.0132,-0.0132
0.885,0.88,0.89,0.0736,0.0142,-0.0142
0.895,0.89,0.9,0.0752,0.0152,-0.0152
0.905,0.9,0.91,0.0766,0.016,-0.016
0.915,0.91,0.92,0.0775,0.0167,-0.0167
0.925,0.92,0.93,0.0782,0.0174,-0.0174
0.935,0.93,0.94,0.0786,0.018,-0.018
0.945,0.94,0.95,0.0789,0.0186,-0.0186
0.955,0.95,0.96,0.0793,0.0194,-0.0194
0.965,0.96,0.97,0.0802,0.0204,-0.0204
0.975,0.97,0.98,0.0837,0.0222,-0.0222
0.985,0.98,0.99,0.098,0.0278,-0.0278
0.995,0.99,1.0,0.1073,0.0231,-0.0231
1.005,1.0,1.01,0.1055,0.0201,-0.0201
1.0150000000000001,1.01,1.02,0.1071,0.0199,-0.0199
1.025,1.02,1.03,0.1092,0.0201,-0.0201
1.0350000000000001,1.03,1.04,0.1115,0.0204,-0.0204
1.045,1.04,1.05,0.1138,0.0208,-0.0208
1.0550000000000002,1.05,1.06,0.116,0.0211,-0.0211
1.065,1.06,1.07,0.1181,0.0215,-0.0215
1.0750000000000002,1.07,1.08,0.1202,0.0217,-0.0217
1.085,1.08,1.09,0.1222,0.0219,-0.0219
1.0950000000000002,1.09,1.1,0.1242,0.022,-0.022
1.105,1.1,1.11,0.1262,0.022,-0.022
1.1150000000000002,1.11,1.12,0.1282,0.0219,-0.0219
1.125,1.12,1.13,0.1302,0.0217,-0.0217
1.1349999999999998,1.13,1.14,0.1321,0.0215,-0.0215
1.145,1.14,1.15,0.1341,0.0211,-0.0211
1.1549999999999998,1.15,1.16,0.1361,0.0207,-0.0207
1.165,1.16,1.17,0.138,0.0202,-0.0202
1.1749999999999998,1.17,1.18,0.1399,0.0196,-0.0196
1.185,1.18,1.19,0.1416,0.019,-0.019
1.1949999999999998,1.19,1.2,0.1431,0.0184,-0.0184
1.205,1.2,1.21,0.1444,0.0177,-0.0177
1.2149999999999999,1.21,1.22,0.1455,0.0172,-0.0172
1.225,1.22,1.23,0.1462,0.0167,-0.0167
1.2349999999999999,1.23,1.24,0.1466,0.0163,-0.0163
1.245,1.24,1.25,0.1467,0.0162,-0.0162
1.255,1.25,1.26,0.1466,0.0162,-0.0162
1.2650000000000001,1.26,1.27,0.1465,0.0164,-0.0164
1.275,1.27,1.28,0.1465,0.0168,-0.0168
1.2850000000000001,1.28,1.29,0.1468,0.0175,-0.0175
1.295,1.29,1.3,0.1475,0.0183,-0.0183
1.3050000000000002,1.3,1.31,0.1488,0.0192,-0.0192
1.315,1.31,1.32,0.1507,0.0202,-0.0202
1.3250000000000002,1.32,1.33,0.1532,0.0213,-0.0213
1.335,1.33,1.34,0.1562,0.0223,-0.0223
1.3450000000000002,1.34,1.35,0.1595,0.0233,-0.0233
1.355,1.35,1.36,0.1629,0.0243,-0.0243
1.3650000000000002,1.36,1.37,0.1661,0.0254,-0.0254
1.375,1.37,1.38,0.1688,0.0265,-0.0265
1.3849999999999998,1.38,1.39,0.1706,0.0279,-0.0279
1.395,1.39,1.4,0.1714,0.0298,-0.0298

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
