#: table_doi: 10.17182/hepdata.74824.v1/t183
#: name: Table 183
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table183.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0308,0.0194,-0.0194
0.415,0.41,0.42,-0.0276,0.02,-0.02
0.425,0.42,0.43,-0.0246,0.0208,-0.0208
0.435,0.43,0.44,-0.0218,0.0214,-0.0214
0.445,0.44,0.45,-0.0192,0.0217,-0.0217
0.455,0.45,0.46,-0.0168,0.0217,-0.0217
0.46499999999999997,0.46,0.47,-0.0146,0.0215,-0.0215
0.475,0.47,0.48,-0.0124,0.021,-0.021
0.485,0.48,0.49,-0.0103,0.0203,-0.0203
0.495,0.49,0.5,-0.0083,0.0194,-0.0194
0.505,0.5,0.51,-0.0062,0.0185,-0.0185
0.515,0.51,0.52,-0.0042,0.0174,-0.0174
0.525,0.52,0.53,-0.0021,0.0162,-0.0162
0.535,0.53,0.54,0.0001,0.015,-0.015
0.545,0.54,0.55,0.0023,0.0138,-0.0138
0.555,0.55,0.56,0.0046,0.0126,-0.0126
0.565,0.56,0.57,0.0069,0.0114,-0.0114
0.575,0.57,0.58,0.0094,0.0104,-0.0104
0.585,0.58,0.59,0.0119,0.0094,-0.0094
0.595,0.59,0.6,0.0144,0.0086,-0.0086
0.605,0.6,0.61,0.017,0.0081,-0.0081
0.615,0.61,0.62,0.0195,0.0077,-0.0077
0.625,0.62,0.63,0.022,0.0075,-0.0075
0.635,0.63,0.64,0.0243,0.0075,-0.0075
0.645,0.64,0.65,0.0265,0.0076,-0.0076
0.655,0.65,0.66,0.0285,0.0077,-0.0077
0.665,0.66,0.67,0.0301,0.0079,-0.0079
0.675,0.67,0.68,0.0314,0.008,-0.008
0.685,0.68,0.69,0.0323,0.0082,-0.0082
0.695,0.69,0.7,0.0326,0.0083,-0.0083
0.705,0.7,0.71,0.0324,0.0083,-0.0083
0.715,0.71,0.72,0.0316,0.0084,-0.0084
0.725,0.72,0.73,0.0301,0.0083,-0.0083
0.735,0.73,0.74,0.028,0.0082,-0.0082
0.745,0.74,0.75,0.0252,0.008,-0.008
0.755,0.75,0.76,0.0218,0.0079,-0.0079
0.765,0.76,0.77,0.0179,0.0078,-0.0078
0.775,0.77,0.78,0.0134,0.0077,-0.0077
0.785,0.78,0.79,0.0084,0.0076,-0.0076
0.795,0.79,0.8,0.0031,0.0074,-0.0074
0.805,0.8,0.81,-0.0024,0.0072,-0.0072
0.815,0.81,0.82,-0.0081,0.0071,-0.0071
0.825,0.82,0.83,-0.0138,0.0071,-0.0071
0.835,0.83,0.84,-0.0196,0.0073,-0.0073
0.845,0.84,0.85,-0.0252,0.0076,-0.0076
0.855,0.85,0.86,-0.0307,0.0082,-0.0082
0.865,0.86,0.87,-0.0361,0.0088,-0.0088
0.875,0.87,0.88,-0.0412,0.0095,-0.0095
0.885,0.88,0.89,-0.0461,0.0102,-0.0102
0.895,0.89,0.9,-0.0507,0.0108,-0.0108
0.905,0.9,0.91,-0.0552,0.0114,-0.0114
0.915,0.91,0.92,-0.0595,0.012,-0.012
0.925,0.92,0.93,-0.0636,0.0125,-0.0125
