#: table_doi: 10.17182/hepdata.74824.v1/t191
#: name: Table 191
#: description: Spin density matrix elements for the interference between the S- and P-waves for -T.

#: data_file: Table191.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.405,0.4,0.41,-0.1343,0.0286,-0.0286
0.415,0.41,0.42,-0.1543,0.0291,-0.0291
0.425,0.42,0.43,-0.1705,0.03,-0.03
0.435,0.43,0.44,-0.1829,0.0308,-0.0308
0.445,0.44,0.45,-0.192,0.0312,-0.0312
0.455,0.45,0.46,-0.1979,0.0311,-0.0311
0.46499999999999997,0.46,0.47,-0.2011,0.0306,-0.0306
0.475,0.47,0.48,-0.2019,0.0297,-0.0297
0.485,0.48,0.49,-0.2006,0.0284,-0.0284
0.495,0.49,0.5,-0.1976,0.0268,-0.0268
0.505,0.5,0.51,-0.1933,0.0251,-0.0251
0.515,0.51,0.52,-0.188,0.0233,-0.0233
0.525,0.52,0.53,-0.1818,0.0216,-0.0216
0.535,0.53,0.54,-0.1753,0.0202,-0.0202
0.545,0.54,0.55,-0.1686,0.0191,-0.0191
0.555,0.55,0.56,-0.1621,0.0185,-0.0185
0.565,0.56,0.57,-0.1559,0.0183,-0.0183
0.575,0.57,0.58,-0.1504,0.0184,-0.0184
0.585,0.58,0.59,-0.1456,0.0186,-0.0186
0.595,0.59,0.6,-0.1417,0.0188,-0.0188
0.605,0.6,0.61,-0.1388,0.019,-0.019
0.615,0.61,0.62,-0.137,0.019,-0.019
0.625,0.62,0.63,-0.1361,0.0189,-0.0189
0.635,0.63,0.64,-0.1362,0.0186,-0.0186
0.645,0.64,0.65,-0.1371,0.0181,-0.0181
0.655,0.65,0.66,-0.1386,0.0176,-0.0176
0.665,0.66,0.67,-0.1407,0.0171,-0.0171
0.675,0.67,0.68,-0.143,0.0166,-0.0166
0.685,0.68,0.69,-0.1454,0.0162,-0.0162
0.695,0.69,0.7,-0.1477,0.0158,-0.0158
0.705,0.7,0.71,-0.1496,0.0155,-0.0155
0.715,0.71,0.72,-0.1509,0.0152,-0.0152
0.725,0.72,0.73,-0.1515,0.0149,-0.0149
0.735,0.73,0.74,-0.1511,0.0146,-0.0146
0.745,0.74,0.75,-0.1497,0.0142,-0.0142
0.755,0.75,0.76,-0.1471,0.0139,-0.0139
0.765,0.76,0.77,-0.1433,0.0135,-0.0135
0.775,0.77,0.78,-0.1383,0.0132,-0.0132
0.785,0.78,0.79,-0.1323,0.0129,-0.0129
0.795,0.79,0.8,-0.1254,0.0128,-0.0128
0.805,0.8,0.81,-0.1178,0.0127,-0.0127
0.815,0.81,0.82,-0.1098,0.0128,-0.0128
0.825,0.82,0.83,-0.1018,0.013,-0.013
0.835,0.83,0.84,-0.094,0.0134,-0.0134
0.845,0.84,0.85,-0.0869,0.014,-0.014
0.855,0.85,0.86,-0.0806,0.0147,-0.0147
0.865,0.86,0.87,-0.0753,0.0154,-0.0154
0.875,0.87,0.88,-0.0712,0.0161,-0.0161
0.885,0.88,0.89,-0.0682,0.0169,-0.0169
0.895,0.89,0.9,-0.0662,0.0175,-0.0175
0.905,0.9,0.91,-0.0654,0.018,-0.018
0.915,0.91,0.92,-0.0654,0.0184,-0.0184
0.925,0.92,0.93,-0.0664,0.0186,-0.0186
0.935,0.93,0.94,-0.0682,0.0188,-0.0188
0.945,0.94,0.95,-0.071,0.019,-0.019
0.955,0.95,0.96,-0.0751,0.0194,-0.0194
0.965,0.96,0.97,-0.0813,0.0203,-0.0203
0.975,0.97,0.98,-0.092,0.0225,-0.0225
0.985,0.98,0.99,-0.1135,0.0303,-0.0303
0.995,0.99,1.0,-0.0919,0.0296,-0.0296
1.005,1.0,1.01,-0.0841,0.0253,-0.0253
1.0150000000000001,1.01,1.02,-0.0786,0.0242,-0.0242
1.025,1.02,1.03,-0.0738,0.0239,-0.0239
1.0350000000000001,1.03,1.04,-0.0696,0.0239,-0.0239
1.045,1.04,1.05,-0.0657,0.0241,-0.0241
1.0550000000000002,1.05,1.06,-0.0621,0.0244,-0.0244
1.065,1.06,1.07,-0.0589,0.0247,-0.0247
1.0750000000000002,1.07,1.08,-0.056,0.0249,-0.0249
1.085,1.08,1.09,-0.0533,0.0251,-0.0251
1.0950000000000002,1.09,1.1,-0.0509,0.0253,-0.0253
1.105,1.1,1.11,-0.0487,0.0253,-0.0253
1.1150000000000002,1.11,1.12,-0.0467,0.0254,-0.0254
1.125,1.12,1.13,-0.0449,0.0254,-0.0254
1.1349999999999998,1.13,1.14,-0.0433,0.0254,-0.0254
1.145,1.14,1.15,-0.0418,0.0255,-0.0255
1.1549999999999998,1.15,1.16,-0.0404,0.0255,-0.0255
1.165,1.16,1.17,-0.0392,0.0256,-0.0256
1.1749999999999998,1.17,1.18,-0.0381,0.0256,-0.0256
1.185,1.18,1.19,-0.0371,0.0257,-0.0257
1.1949999999999998,1.19,1.2,-0.0362,0.0259,-0.0259
1.205,1.2,1.21,-0.0352,0.026,-0.026
1.2149999999999999,1.21,1.22,-0.0342,0.0262,-0.0262
1.225,1.22,1.23,-0.0331,0.0264,-0.0264
1.2349999999999999,1.23,1.24,-0.0317,0.0268,-0.0268
1.245,1.24,1.25,-0.0299,0.0272,-0.0272
1.255,1.25,1.26,-0.0277,0.0277,-0.0277
1.2650000000000001,1.26,1.27,-0.0249,0.0283,-0.0283
1.275,1.27,1.28,-0.0214,0.0289,-0.0289
1.2850000000000001,1.28,1.29,-0.0174,0.0297,-0.0297
1.295,1.29,1.3,-0.0128,0.0306,-0.0306
1.3050000000000002,1.3,1.31,-0.0079,0.0317,-0.0317
1.315,1.31,1.32,-0.0028,0.033,-0.033
1.3250000000000002,1.32,1.33,0.0023,0.0345,-0.0345
1.335,1.33,1.34,0.007,0.0362,-0.0362
1.3450000000000002,1.34,1.35,0.011,0.038,-0.038
1.355,1.35,1.36,0.0141,0.0398,-0.0398
1.3650000000000002,1.36,1.37,0.0159,0.0415,-0.0415
1.375,1.37,1.38,0.0162,0.043,-0.043
1.3849999999999998,1.38,1.39,0.0148,0.0443,-0.0443
1.395,1.39,1.4,0.0116,0.0454,-0.0454

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.405,0.4,0.41,-0.0424,0.0275,-0.0275
0.415,0.41,0.42,-0.079,0.0283,-0.0283
0.425,0.42,0.43,-0.1107,0.0312,-0.0312
0.435,0.43,0.44,-0.1366,0.0344,-0.0344
0.445,0.44,0.45,-0.1567,0.0371,-0.0371
0.455,0.45,0.46,-0.1711,0.0387,-0.0387
