#: table_doi: 10.17182/hepdata.74824.v1/t8
#: name: Table 8
#: description: Moments YLM(LM=10) of the di-pion angular distribution for -T.

#: data_file: Table8.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=10,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.02,-0.0567,0.0567
0.415,0.41,0.42,-0.0644,-0.0608,0.0608
0.425,0.42,0.43,-0.1797,-0.0754,0.0754
0.435,0.43,0.44,-0.3049,-0.085,0.085
0.445,0.44,0.45,-0.5562,-0.1732,0.1732
0.455,0.45,0.46,-0.5024,-0.1555,0.1555
0.46499999999999997,0.46,0.47,-0.6733,-0.1871,0.1871
0.475,0.47,0.48,-0.7874,-0.132,0.132
0.485,0.48,0.49,-0.7445,-0.1319,0.1319
0.495,0.49,0.5,-0.5905,-0.1492,0.1492
0.505,0.5,0.51,-0.5377,-0.2007,0.2007
0.515,0.51,0.52,-0.4982,-0.1127,0.1127
0.525,0.52,0.53,-0.6545,-0.1502,0.1502
0.535,0.53,0.54,-0.9234,-0.1434,0.1434
0.545,0.54,0.55,-0.8104,-0.1361,0.1361
0.555,0.55,0.56,-0.8562,-0.1527,0.1527
0.565,0.56,0.57,-0.9342,-0.1399,0.1399
0.575,0.57,0.58,-0.7929,-0.1277,0.1277
0.585,0.58,0.59,-1.151,-0.1569,0.1569
0.595,0.59,0.6,-1.002,-0.1465,0.1465
0.605,0.6,0.61,-0.9955,-0.1463,0.1463
0.615,0.61,0.62,-1.078,-0.1737,0.1737
0.625,0.62,0.63,-1.285,-0.1937,0.1937
0.635,0.63,0.64,-1.206,-0.213,0.213
0.645,0.64,0.65,-1.632,-0.2693,0.2693
0.655,0.65,0.66,-1.774,-0.3015,0.3015
0.665,0.66,0.67,-1.967,-0.291,0.291
0.675,0.67,0.68,-2.029,-0.2905,0.2905
0.685,0.68,0.69,-2.147,-0.3463,0.3463
0.695,0.69,0.7,-2.669,-0.3809,0.3809
0.705,0.7,0.71,-2.803,-0.4302,0.4302
0.715,0.71,0.72,-2.831,-0.4075,0.4075
0.725,0.72,0.73,-3.128,-0.4635,0.4635
0.735,0.73,0.74,-3.542,-0.5451,0.5451
0.745,0.74,0.75,-3.108,-0.5114,0.5114
0.755,0.75,0.76,-4.056,-0.6133,0.6133
0.765,0.76,0.77,-3.22,-0.582,0.582
0.775,0.77,0.78,-2.909,-0.5546,0.5546
0.785,0.78,0.79,-2.11,-0.3946,0.3946
0.795,0.79,0.8,-1.56,-0.3326,0.3326
0.805,0.8,0.81,-1.104,-0.2783,0.2783
0.815,0.81,0.82,-0.9564,-0.2873,0.2873
0.825,0.82,0.83,-0.7146,-0.1792,0.1792
0.835,0.83,0.84,-0.6126,-0.1967,0.1967
0.845,0.84,0.85,-0.5018,-0.1758,0.1758
0.855,0.85,0.86,-0.3917,-0.1798,0.1798
0.865,0.86,0.87,-0.3978,-0.1557,0.1557
0.875,0.87,0.88,-0.3622,-0.1299,0.1299
0.885,0.88,0.89,0.0741,0.1357,-0.1357
0.895,0.89,0.9,-0.2365,-0.1432,0.1432
0.905,0.9,0.91,-0.3816,-0.1597,0.1597
0.915,0.91,0.92,-0.4494,-0.1373,0.1373
0.925,0.92,0.93,-0.6086,-0.1544,0.1544
0.935,0.93,0.94,-0.4895,-0.1748,0.1748
0.945,0.94,0.95,-0.5713,-0.1458,0.1458
0.955,0.95,0.96,-0.5951,-0.1499,0.1499
0.965,0.96,0.97,-0.5734,-0.134,0.134
0.975,0.97,0.98,-0.6642,-0.1618,0.1618
0.985,0.98,0.99,-0.5143,-0.1489,0.1489
0.995,0.99,1.0,-0.4203,-0.1451,0.1451
1.005,1.0,1.01,-0.421,-0.1365,0.1365
1.0150000000000001,1.01,1.02,-0.5176,-0.1376,0.1376
1.025,1.02,1.03,-0.638,-0.1398,0.1398
1.0350000000000001,1.03,1.04,-0.4249,-0.1647,0.1647
1.045,1.04,1.05,-0.3961,-0.1529,0.1529
1.0550000000000002,1.05,1.06,-0.3592,-0.1293,0.1293
1.065,1.06,1.07,-0.2505,-0.1222,0.1222
1.0750000000000002,1.07,1.08,-0.5579,-0.2365,0.2365
1.085,1.08,1.09,-0.3541,-0.1455,0.1455
1.0950000000000002,1.09,1.1,-0.4234,-0.207,0.207
1.105,1.1,1.11,-0.4408,-0.1935,0.1935
1.1150000000000002,1.11,1.12,-0.4935,-0.2527,0.2527
1.125,1.12,1.13,-0.6576,-0.1899,0.1899
1.1349999999999998,1.13,1.14,-0.466,-0.1953,0.1953
1.145,1.14,1.15,-0.6952,-0.2832,0.2832
1.1549999999999998,1.15,1.16,-0.3389,-0.1867,0.1867
1.165,1.16,1.17,-0.569,-0.2284,0.2284
1.1749999999999998,1.17,1.18,-0.382,-0.2135,0.2135
1.185,1.18,1.19,-0.0444,-0.1574,0.1574
1.1949999999999998,1.19,1.2,-0.103,-0.1992,0.1992
1.205,1.2,1.21,-0.3242,-0.2122,0.2122
1.2149999999999999,1.21,1.22,-0.1294,-0.168,0.168
1.225,1.22,1.23,-0.4268,-0.2358,0.2358
1.2349999999999999,1.23,1.24,-0.2278,-0.1705,0.1705
1.245,1.24,1.25,-0.1235,-0.243,0.243
1.255,1.25,1.26,-0.1355,-0.2053,0.2053
1.2650000000000001,1.26,1.27,-0.0544,-0.1916,0.1916
1.275,1.27,1.28,-0.2428,-0.2302,0.2302
1.2850000000000001,1.28,1.29,0.0351,0.1651,-0.1651
1.295,1.29,1.3,0.0333,0.1854,-0.1854
1.3050000000000002,1.3,1.31,-0.2679,-0.2023,0.2023
1.315,1.31,1.32,-0.3207,-0.2966,0.2966
1.3250000000000002,1.32,1.33,-0.1879,-0.2008,0.2008
1.335,1.33,1.34,-0.2002,-0.1764,0.1764
1.3450000000000002,1.34,1.35,-0.1086,-0.1393,0.1393
1.355,1.35,1.36,-0.211,-0.1646,0.1646
1.3650000000000002,1.36,1.37,-0.3695,-0.1743,0.1743
1.375,1.37,1.38,-0.0038,-0.214,0.214
1.3849999999999998,1.38,1.39,-0.2483,-0.1542,0.1542
