#: table_doi: 10.17182/hepdata.74824.v1/t94
#: name: Table 94
#: description: S wave cross section for -T.

#: data_file: Table94.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2686,0.1263,-0.1263
0.415,0.41,0.42,0.293,0.1329,-0.1329
0.425,0.42,0.43,0.3195,0.1398,-0.1398
0.435,0.43,0.44,0.3475,0.1469,-0.1469
0.445,0.44,0.45,0.3761,0.1542,-0.1542
0.455,0.45,0.46,0.4042,0.1615,-0.1615
0.46499999999999997,0.46,0.47,0.431,0.1687,-0.1687
0.475,0.47,0.48,0.4554,0.1756,-0.1756
0.485,0.48,0.49,0.4767,0.1819,-0.1819
0.495,0.49,0.5,0.4941,0.1877,-0.1877
0.505,0.5,0.51,0.507,0.1925,-0.1925
0.515,0.51,0.52,0.5151,0.1965,-0.1965
0.525,0.52,0.53,0.5183,0.1993,-0.1993
0.535,0.53,0.54,0.5165,0.2011,-0.2011
0.545,0.54,0.55,0.51,0.2018,-0.2018
0.555,0.55,0.56,0.4991,0.2013,-0.2013
0.565,0.56,0.57,0.4844,0.1997,-0.1997
0.575,0.57,0.58,0.4663,0.1971,-0.1971
0.585,0.58,0.59,0.4454,0.1936,-0.1936
0.595,0.59,0.6,0.4224,0.1892,-0.1892
0.605,0.6,0.61,0.3979,0.184,-0.184
0.615,0.61,0.62,0.3724,0.178,-0.178
0.625,0.62,0.63,0.3464,0.1715,-0.1715
0.635,0.63,0.64,0.3206,0.1644,-0.1644
0.645,0.64,0.65,0.2953,0.1568,-0.1568
0.655,0.65,0.66,0.2708,0.1488,-0.1488
0.665,0.66,0.67,0.2476,0.1404,-0.1404
0.675,0.67,0.68,0.2258,0.1318,-0.1318
0.685,0.68,0.69,0.2057,0.123,-0.123
0.695,0.69,0.7,0.1875,0.114,-0.114
0.705,0.7,0.71,0.1714,0.105,-0.105
0.715,0.71,0.72,0.1573,0.0961,-0.0961
0.725,0.72,0.73,0.1454,0.0874,-0.0874
0.735,0.73,0.74,0.1358,0.0791,-0.0791
0.745,0.74,0.75,0.1284,0.0714,-0.0714
0.755,0.75,0.76,0.1232,0.0647,-0.0647
0.765,0.76,0.77,0.1203,0.0595,-0.0595
0.775,0.77,0.78,0.1195,0.0562,-0.0562
0.785,0.78,0.79,0.1209,0.0553,-0.0553
0.795,0.79,0.8,0.1243,0.057,-0.057
0.805,0.8,0.81,0.1298,0.0612,-0.0612
0.815,0.81,0.82,0.1373,0.0675,-0.0675
