Mpipi     YLM       dYLM      
0.405     -0.029    0.002     
0.415     -0.029    0.003     
0.425     -0.029    0.003     
0.435     -0.030    0.004     
0.445     -0.032    0.005     
0.455     -0.035    0.006     
0.465     -0.038    0.007     
0.475     -0.043    0.009     
0.485     -0.049    0.010     
0.495     -0.057    0.012     
0.505     -0.067    0.014     
0.515     -0.078    0.017     
0.525     -0.091    0.020     
0.535     -0.106    0.023     
0.545     -0.123    0.026     
0.555     -0.141    0.030     
0.565     -0.160    0.035     
0.575     -0.181    0.040     
0.585     -0.203    0.045     
0.595     -0.224    0.051     
0.605     -0.245    0.058     
0.615     -0.264    0.066     
0.625     -0.280    0.074     
0.635     -0.291    0.084     
0.645     -0.294    0.095     
0.655     -0.286    0.108     
0.665     -0.262    0.122     
0.675     -0.215    0.138     
0.685     -0.135    0.156     
0.695     -0.011    0.176     
0.705     0.171     0.198     
0.715     0.426     0.220     
0.725     0.766     0.241     
0.735     1.193     0.259     
0.745     1.693     0.271     
0.755     2.229     0.275     
0.765     2.743     0.268     
0.775     3.180     0.252     
0.785     3.501     0.230     
0.795     3.695     0.206     
0.805     3.775     0.181     
0.815     3.770     0.159     
0.825     3.705     0.139     
0.835     3.603     0.124     
0.845     3.483     0.111     
0.855     3.356     0.101     
0.865     3.229     0.093     
0.875     3.106     0.086     
0.885     2.991     0.081     
0.895     2.882     0.077     
0.905     2.782     0.073     
0.915     2.689     0.070     
0.925     2.604     0.067     
0.935     2.526     0.065     
0.945     2.454     0.063     
0.955     2.389     0.061     
0.965     2.328     0.059     
0.975     2.274     0.058     
0.985     2.226     0.057     
0.995     2.184     0.056     
1.005     2.143     0.055     
1.015     2.104     0.053     
1.025     2.066     0.052     
1.035     2.030     0.051     
1.045     1.998     0.050     
1.055     1.966     0.049     
1.065     1.938     0.049     
1.075     1.912     0.048     
1.085     1.887     0.048     
1.095     1.864     0.048     
1.105     1.842     0.048     
1.115     1.822     0.048     
1.125     1.802     0.049     
1.135     1.783     0.049     
1.145     1.766     0.050     
1.155     1.748     0.051     
1.165     1.731     0.053     
1.175     1.715     0.054     
1.185     1.699     0.056     
1.195     1.684     0.058     
1.205     1.668     0.059     
1.215     1.654     0.061     
1.225     1.640     0.062     
1.235     1.627     0.063     
1.245     1.616     0.064     
1.255     1.606     0.064     
1.265     1.599     0.064     
1.275     1.592     0.063     
1.285     1.587     0.062     
1.295     1.584     0.061     
1.305     1.581     0.061     
1.315     1.577     0.060     
1.325     1.572     0.060     
1.335     1.566     0.060     
1.345     1.559     0.059     
1.355     1.550     0.060     
1.365     1.539     0.060     
1.375     1.528     0.060     
1.385     1.515     0.061     
1.395     1.500     0.061     
