#: table_doi: 10.17182/hepdata.74824.v1/t108
#: name: Table 108
#: description: Pm wave cross section for -T.

#: data_file: Table108.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.024,0.0097,-0.0097
0.415,0.41,0.42,0.0253,0.0106,-0.0106
0.425,0.42,0.43,0.0267,0.0115,-0.0115
0.435,0.43,0.44,0.0281,0.0124,-0.0124
0.445,0.44,0.45,0.0295,0.0133,-0.0133
0.455,0.45,0.46,0.0311,0.0143,-0.0143
0.46499999999999997,0.46,0.47,0.0327,0.0152,-0.0152
0.475,0.47,0.48,0.0346,0.0163,-0.0163
0.485,0.48,0.49,0.0367,0.0174,-0.0174
0.495,0.49,0.5,0.039,0.0186,-0.0186
0.505,0.5,0.51,0.0416,0.0199,-0.0199
0.515,0.51,0.52,0.0447,0.0213,-0.0213
0.525,0.52,0.53,0.0482,0.0229,-0.0229
0.535,0.53,0.54,0.0522,0.0247,-0.0247
0.545,0.54,0.55,0.0569,0.0267,-0.0267
0.555,0.55,0.56,0.0625,0.0289,-0.0289
0.565,0.56,0.57,0.069,0.0315,-0.0315
0.575,0.57,0.58,0.0766,0.0343,-0.0343
0.585,0.58,0.59,0.0856,0.0376,-0.0376
0.595,0.59,0.6,0.0962,0.0414,-0.0414
0.605,0.6,0.61,0.1087,0.0457,-0.0457
0.615,0.61,0.62,0.1236,0.0507,-0.0507
0.625,0.62,0.63,0.1414,0.0565,-0.0565
0.635,0.63,0.64,0.1625,0.0634,-0.0634
0.645,0.64,0.65,0.1877,0.0715,-0.0715
0.655,0.65,0.66,0.2179,0.0811,-0.0811
0.665,0.66,0.67,0.2539,0.0925,-0.0925
0.675,0.67,0.68,0.2968,0.106,-0.106
0.685,0.68,0.69,0.3475,0.1217,-0.1217
0.695,0.69,0.7,0.4067,0.1398,-0.1398
0.705,0.7,0.71,0.4742,0.1602,-0.1602
0.715,0.71,0.72,0.5488,0.182,-0.182
0.725,0.72,0.73,0.627,0.2042,-0.2042
0.735,0.73,0.74,0.703,0.225,-0.225
0.745,0.74,0.75,0.7689,0.242,-0.242
0.755,0.75,0.76,0.8162,0.2536,-0.2536
0.765,0.76,0.77,0.839,0.259,-0.259
0.775,0.77,0.78,0.8357,0.2591,-0.2591
0.785,0.78,0.79,0.81,0.2561,-0.2561
0.795,0.79,0.8,0.7685,0.2524,-0.2524
0.805,0.8,0.81,0.7184,0.2497,-0.2497
0.815,0.81,0.82,0.6658,0.249,-0.249
0.825,0.82,0.83,0.615,0.2503,-0.2503
0.835,0.83,0.84,0.5683,0.2534,-0.2534
0.845,0.84,0.85,0.5268,0.2578,-0.2578
0.855,0.85,0.86,0.4909,0.263,-0.263
0.865,0.86,0.87,0.4602,0.2687,-0.2687
0.875,0.87,0.88,0.4343,0.2746,-0.2746
0.885,0.88,0.89,0.4127,0.2805,-0.2805
0.895,0.89,0.9,0.3948,0.2863,-0.2863
0.905,0.9,0.91,0.3802,0.2919,-0.2919
0.915,0.91,0.92,0.3683,0.2973,-0.2973
0.925,0.92,0.93,0.3588,0.3023,-0.3023
0.935,0.93,0.94,0.3514,0.307,-0.307
0.945,0.94,0.95,0.3456,0.3113,-0.3113
0.955,0.95,0.96,0.3413,0.3151,-0.3151
0.965,0.96,0.97,0.3383,0.3185,-0.3185
0.975,0.97,0.98,0.3363,0.3215,-0.3215
0.985,0.98,0.99,0.3352,0.3239,-0.3239
0.995,0.99,1.0,0.3347,0.3258,-0.3258
1.005,1.0,1.01,0.3349,0.3271,-0.3271
1.0150000000000001,1.01,1.02,0.3355,0.3278,-0.3278
1.025,1.02,1.03,0.3365,0.3279,-0.3279
1.0350000000000001,1.03,1.04,0.3377,0.3274,-0.3274
1.045,1.04,1.05,0.3391,0.3262,-0.3262
1.0550000000000002,1.05,1.06,0.3406,0.3244,-0.3244
1.065,1.06,1.07,0.3421,0.3219,-0.3219
1.0750000000000002,1.07,1.08,0.3435,0.3187,-0.3187
1.085,1.08,1.09,0.3448,0.3147,-0.3147
1.0950000000000002,1.09,1.1,0.346,0.3101,-0.3101
1.105,1.1,1.11,0.3469,0.3048,-0.3048
1.1150000000000002,1.11,1.12,0.3476,0.2989,-0.2989
1.125,1.12,1.13,0.348,0.2922,-0.2922
1.1349999999999998,1.13,1.14,0.348,0.285,-0.285
1.145,1.14,1.15,0.3477,0.2772,-0.2772
1.1549999999999998,1.15,1.16,0.3469,0.2689,-0.2689
1.165,1.16,1.17,0.3458,0.2601,-0.2601
1.1749999999999998,1.17,1.18,0.3443,0.251,-0.251
1.185,1.18,1.19,0.3424,0.2416,-0.2416
1.1949999999999998,1.19,1.2,0.3401,0.2321,-0.2321
1.205,1.2,1.21,0.3374,0.2227,-0.2227
1.2149999999999999,1.21,1.22,0.3344,0.2134,-0.2134
1.225,1.22,1.23,0.3311,0.2045,-0.2045
1.2349999999999999,1.23,1.24,0.3275,0.1962,-0.1962
1.245,1.24,1.25,0.3236,0.1887,-0.1887
1.255,1.25,1.26,0.3197,0.1822,-0.1822
1.2650000000000001,1.26,1.27,0.3157,0.177,-0.177
