#: table_doi: 10.17182/hepdata.74824.v1/t119
#: name: Table 119
#: description: Pp wave cross section for -T.

#: data_file: Table119.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1231,0.0465,-0.0465
0.415,0.41,0.42,0.1344,0.0501,-0.0501
0.425,0.42,0.43,0.1466,0.0539,-0.0539
0.435,0.43,0.44,0.1595,0.0578,-0.0578
0.445,0.44,0.45,0.1733,0.0619,-0.0619
0.455,0.45,0.46,0.1883,0.0662,-0.0662
0.46499999999999997,0.46,0.47,0.2044,0.0706,-0.0706
0.475,0.47,0.48,0.2218,0.0752,-0.0752
0.485,0.48,0.49,0.2409,0.08,-0.08
0.495,0.49,0.5,0.2617,0.085,-0.085
0.505,0.5,0.51,0.2845,0.0901,-0.0901
0.515,0.51,0.52,0.3096,0.0955,-0.0955
0.525,0.52,0.53,0.3374,0.101,-0.101
0.535,0.53,0.54,0.3682,0.1068,-0.1068
0.545,0.54,0.55,0.4026,0.1127,-0.1127
0.555,0.55,0.56,0.441,0.119,-0.119
0.565,0.56,0.57,0.4841,0.1254,-0.1254
0.575,0.57,0.58,0.5327,0.1322,-0.1322
0.585,0.58,0.59,0.5877,0.1394,-0.1394
0.595,0.59,0.6,0.6502,0.1469,-0.1469
0.605,0.6,0.61,0.7214,0.155,-0.155
0.615,0.61,0.62,0.8031,0.1636,-0.1636
0.625,0.62,0.63,0.8968,0.173,-0.173
0.635,0.63,0.64,1.0049,0.1833,-0.1833
0.645,0.64,0.65,1.1296,0.1948,-0.1948
0.655,0.65,0.66,1.2737,0.2077,-0.2077
0.665,0.66,0.67,1.4399,0.2225,-0.2225
0.675,0.67,0.68,1.6305,0.2394,-0.2394
0.685,0.68,0.69,1.8471,0.2588,-0.2588
0.695,0.69,0.7,2.0889,0.281,-0.281
0.705,0.7,0.71,2.3512,0.306,-0.306
0.715,0.71,0.72,2.6231,0.3329,-0.3329
0.725,0.72,0.73,2.8852,0.3602,-0.3602
0.735,0.73,0.74,3.1099,0.3852,-0.3852
0.745,0.74,0.75,3.2643,0.4044,-0.4044
0.755,0.75,0.76,3.32,0.4142,-0.4142
0.765,0.76,0.77,3.2633,0.4124,-0.4124
0.775,0.77,0.78,3.1022,0.3988,-0.3988
0.785,0.78,0.79,2.8632,0.3758,-0.3758
0.795,0.79,0.8,2.5808,0.3467,-0.3467
0.805,0.8,0.81,2.2869,0.3151,-0.3151
0.815,0.81,0.82,2.0047,0.2839,-0.2839
0.825,0.82,0.83,1.7474,0.2548,-0.2548
0.835,0.83,0.84,1.5207,0.2288,-0.2288
0.845,0.84,0.85,1.3254,0.2062,-0.2062
0.855,0.85,0.86,1.1592,0.1869,-0.1869
0.865,0.86,0.87,1.0189,0.1707,-0.1707
0.875,0.87,0.88,0.9011,0.1573,-0.1573
0.885,0.88,0.89,0.8021,0.1462,-0.1462
0.895,0.89,0.9,0.7191,0.1371,-0.1371
0.905,0.9,0.91,0.6494,0.1297,-0.1297
0.915,0.91,0.92,0.5908,0.1237,-0.1237
0.925,0.92,0.93,0.5414,0.1189,-0.1189
0.935,0.93,0.94,0.4998,0.115,-0.115
0.945,0.94,0.95,0.4646,0.1119,-0.1119
0.955,0.95,0.96,0.4347,0.1095,-0.1095
0.965,0.96,0.97,0.4095,0.1077,-0.1077
0.975,0.97,0.98,0.388,0.1064,-0.1064
0.985,0.98,0.99,0.3697,0.1055,-0.1055
0.995,0.99,1.0,0.3541,0.105,-0.105
1.005,1.0,1.01,0.3407,0.1048,-0.1048
1.0150000000000001,1.01,1.02,0.3292,0.105,-0.105
1.025,1.02,1.03,0.3193,0.1054,-0.1054
1.0350000000000001,1.03,1.04,0.3107,0.106,-0.106
1.045,1.04,1.05,0.3031,0.1068,-0.1068
1.0550000000000002,1.05,1.06,0.2963,0.1078,-0.1078
1.065,1.06,1.07,0.2903,0.1089,-0.1089
1.0750000000000002,1.07,1.08,0.2847,0.11,-0.11
1.085,1.08,1.09,0.2796,0.1112,-0.1112
1.0950000000000002,1.09,1.1,0.2747,0.1125,-0.1125
1.105,1.1,1.11,0.27,0.1137,-0.1137
1.1150000000000002,1.11,1.12,0.2654,0.1149,-0.1149
1.125,1.12,1.13,0.2608,0.1159,-0.1159
1.1349999999999998,1.13,1.14,0.2561,0.1169,-0.1169
1.145,1.14,1.15,0.2514,0.1177,-0.1177
1.1549999999999998,1.15,1.16,0.2466,0.1184,-0.1184
1.165,1.16,1.17,0.2416,0.1189,-0.1189
1.1749999999999998,1.17,1.18,0.2364,0.1192,-0.1192
1.185,1.18,1.19,0.2311,0.1194,-0.1194
1.1949999999999998,1.19,1.2,0.2257,0.1193,-0.1193
1.205,1.2,1.21,0.2201,0.1191,-0.1191
1.2149999999999999,1.21,1.22,0.2145,0.1187,-0.1187
1.225,1.22,1.23,0.2088,0.1182,-0.1182
1.2349999999999999,1.23,1.24,0.2032,0.1177,-0.1177
1.245,1.24,1.25,0.1976,0.1171,-0.1171
1.255,1.25,1.26,0.1923,0.1166,-0.1166
1.2650000000000001,1.26,1.27,0.1873,0.1163,-0.1163
1.275,1.27,1.28,0.1827,0.1162,-0.1162
1.2850000000000001,1.28,1.29,0.1787,0.1165,-0.1165
