#: table_doi: 10.17182/hepdata.74824.v1/t121
#: name: Table 121
#: description: D wave cross section for -T.

#: data_file: Table121.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.5285,0.1507,-0.1507
0.415,0.41,0.42,0.5038,0.1471,-0.1471
0.425,0.42,0.43,0.4831,0.1494,-0.1494
0.435,0.43,0.44,0.4663,0.1565,-0.1565
0.445,0.44,0.45,0.4532,0.1668,-0.1668
0.455,0.45,0.46,0.4437,0.1794,-0.1794
0.46499999999999997,0.46,0.47,0.4374,0.1932,-0.1932
0.475,0.47,0.48,0.4342,0.2076,-0.2076
0.485,0.48,0.49,0.4339,0.2224,-0.2224
0.495,0.49,0.5,0.4363,0.2371,-0.2371
0.505,0.5,0.51,0.4412,0.2517,-0.2517
0.515,0.51,0.52,0.4484,0.266,-0.266
0.525,0.52,0.53,0.4578,0.28,-0.28
0.535,0.53,0.54,0.4691,0.2936,-0.2936
0.545,0.54,0.55,0.4823,0.3067,-0.3067
0.555,0.55,0.56,0.4971,0.3193,-0.3193
0.565,0.56,0.57,0.5134,0.3313,-0.3313
0.575,0.57,0.58,0.5311,0.3429,-0.3429
0.585,0.58,0.59,0.55,0.3538,-0.3538
0.595,0.59,0.6,0.57,0.3642,-0.3642
0.605,0.6,0.61,0.591,0.3739,-0.3739
0.615,0.61,0.62,0.6128,0.383,-0.383
0.625,0.62,0.63,0.6354,0.3914,-0.3914
0.635,0.63,0.64,0.6586,0.399,-0.399
0.645,0.64,0.65,0.6823,0.406,-0.406
0.655,0.65,0.66,0.7066,0.4123,-0.4123
0.665,0.66,0.67,0.7312,0.4178,-0.4178
0.675,0.67,0.68,0.756,0.4226,-0.4226
0.685,0.68,0.69,0.7812,0.4267,-0.4267
0.695,0.69,0.7,0.8064,0.43,-0.43
0.705,0.7,0.71,0.8318,0.4327,-0.4327
0.715,0.71,0.72,0.8573,0.4347,-0.4347
0.725,0.72,0.73,0.8827,0.4361,-0.4361
0.735,0.73,0.74,0.9081,0.4368,-0.4368
0.745,0.74,0.75,0.9335,0.437,-0.437
0.755,0.75,0.76,0.9588,0.4366,-0.4366
0.765,0.76,0.77,0.9839,0.4358,-0.4358
0.775,0.77,0.78,1.0089,0.4346,-0.4346
0.785,0.78,0.79,1.0338,0.433,-0.433
0.795,0.79,0.8,1.0584,0.431,-0.431
0.805,0.8,0.81,1.0829,0.4289,-0.4289
0.815,0.81,0.82,1.1072,0.4266,-0.4266
0.825,0.82,0.83,1.1312,0.4242,-0.4242
0.835,0.83,0.84,1.1551,0.4217,-0.4217
0.845,0.84,0.85,1.1786,0.4192,-0.4192
0.855,0.85,0.86,1.2019,0.4168,-0.4168
0.865,0.86,0.87,1.2249,0.4145,-0.4145
0.875,0.87,0.88,1.2475,0.4124,-0.4124
0.885,0.88,0.89,1.2698,0.4105,-0.4105
0.895,0.89,0.9,1.2917,0.4089,-0.4089
0.905,0.9,0.91,1.3132,0.4076,-0.4076
0.915,0.91,0.92,1.3342,0.4066,-0.4066
0.925,0.92,0.93,1.3547,0.406,-0.406
0.935,0.93,0.94,1.3747,0.4057,-0.4057
0.945,0.94,0.95,1.394,0.4059,-0.4059
0.955,0.95,0.96,1.4126,0.4064,-0.4064
0.965,0.96,0.97,1.4304,0.4074,-0.4074
0.975,0.97,0.98,1.4474,0.4087,-0.4087
0.985,0.98,0.99,1.4635,0.4105,-0.4105
0.995,0.99,1.0,1.4786,0.4127,-0.4127
1.005,1.0,1.01,1.4926,0.4153,-0.4153
1.0150000000000001,1.01,1.02,1.5055,0.4183,-0.4183
1.025,1.02,1.03,1.5171,0.4218,-0.4218
1.0350000000000001,1.03,1.04,1.5275,0.4256,-0.4256
1.045,1.04,1.05,1.5365,0.4298,-0.4298
1.0550000000000002,1.05,1.06,1.544,0.4345,-0.4345
1.065,1.06,1.07,1.5502,0.4395,-0.4395
1.0750000000000002,1.07,1.08,1.5549,0.4449,-0.4449
1.085,1.08,1.09,1.5583,0.4506,-0.4506
1.0950000000000002,1.09,1.1,1.5603,0.4567,-0.4567
1.105,1.1,1.11,1.5612,0.4631,-0.4631
1.1150000000000002,1.11,1.12,1.5611,0.4697,-0.4697
1.125,1.12,1.13,1.5604,0.4766,-0.4766
1.1349999999999998,1.13,1.14,1.5593,0.4837,-0.4837
1.145,1.14,1.15,1.5586,0.4909,-0.4909
1.1549999999999998,1.15,1.16,1.5587,0.4981,-0.4981
1.165,1.16,1.17,1.5607,0.5051,-0.5051
1.1749999999999998,1.17,1.18,1.5653,0.5118,-0.5118
1.185,1.18,1.19,1.5739,0.5179,-0.5179
1.1949999999999998,1.19,1.2,1.5875,0.523,-0.523
1.205,1.2,1.21,1.6071,0.5268,-0.5268
1.2149999999999999,1.21,1.22,1.6337,0.5288,-0.5288
1.225,1.22,1.23,1.667,0.5284,-0.5284
1.2349999999999999,1.23,1.24,1.7061,0.5254,-0.5254
1.245,1.24,1.25,1.7481,0.5197,-0.5197
1.255,1.25,1.26,1.7888,0.5122,-0.5122
1.2650000000000001,1.26,1.27,1.8226,0.5042,-0.5042
1.275,1.27,1.28,1.8435,0.4976,-0.4976
1.2850000000000001,1.28,1.29,1.8467,0.4944,-0.4944
1.295,1.29,1.3,1.8295,0.496,-0.496
1.3050000000000002,1.3,1.31,1.7923,0.5025,-0.5025
1.315,1.31,1.32,1.7373,0.5129,-0.5129
1.3250000000000002,1.32,1.33,1.6688,0.5257,-0.5257
1.335,1.33,1.34,1.5914,0.5394,-0.5394
1.3450000000000002,1.34,1.35,1.5098,0.553,-0.553
1.355,1.35,1.36,1.428,0.5658,-0.5658
1.3650000000000002,1.36,1.37,1.3496,0.5776,-0.5776
1.375,1.37,1.38,1.2777,0.5886,-0.5886
1.3849999999999998,1.38,1.39,1.2147,0.5994,-0.5994
1.395,1.39,1.4,1.163,0.6107,-0.6107

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.4145,0.0883,-0.0883
0.415,0.41,0.42,0.3994,0.0818,-0.0818
0.425,0.42,0.43,0.389,0.0812,-0.0812
0.435,0.43,0.44,0.383,0.0833,-0.0833
0.445,0.44,0.45,0.3811,0.086,-0.086
0.455,0.45,0.46,0.3831,0.0879,-0.0879
0.46499999999999997,0.46,0.47,0.3886,0.0885,-0.0885
0.475,0.47,0.48,0.3975,0.088,-0.088
0.485,0.48,0.49,0.4095,0.0868,-0.0868
0.495,0.49,0.5,0.4242,0.0854,-0.0854
0.505,0.5,0.51,0.4415,0.0849,-0.0849
0.515,0.51,0.52,0.4611,0.086,-0.086
0.525,0.52,0.53,0.4829,0.0897,-0.0897
0.535,0.53,0.54,0.5064,0.0965,-0.0965
0.545,0.54,0.55,0.5316,0.1063,-0.1063
0.555,0.55,0.56,0.5582,0.1187,-0.1187
0.565,0.56,0.57,0.586,0.1335,-0.1335
0.575,0.57,0.58,0.6149,0.1498,-0.1498
0.585,0.58,0.59,0.6446,0.1674,-0.1674
0.595,0.59,0.6,0.6749,0.1858,-0.1858
0.605,0.6,0.61,0.7057,0.2046,-0.2046
0.615,0.61,0.62,0.7368,0.2236,-0.2236
0.625,0.62,0.63,0.7681,0.2424,-0.2424
0.635,0.63,0.64,0.7994,0.2609,-0.2609
0.645,0.64,0.65,0.8306,0.2788,-0.2788
0.655,0.65,0.66,0.8615,0.296,-0.296
0.665,0.66,0.67,0.892,0.3124,-0.3124
0.675,0.67,0.68,0.9221,0.3278,-0.3278
0.685,0.68,0.69,0.9516,0.3422,-0.3422
0.695,0.69,0.7,0.9804,0.3555,-0.3555
0.705,0.7,0.71,1.0085,0.3675,-0.3675
0.715,0.71,0.72,1.0357,0.3783,-0.3783
0.725,0.72,0.73,1.0621,0.3879,-0.3879
0.735,0.73,0.74,1.0876,0.3961,-0.3961
0.745,0.74,0.75,1.112,0.4031,-0.4031
0.755,0.75,0.76,1.1355,0.4089,-0.4089
0.765,0.76,0.77,1.158,0.4134,-0.4134
0.775,0.77,0.78,1.1793,0.4166,-0.4166
0.785,0.78,0.79,1.1997,0.4188,-0.4188
0.795,0.79,0.8,1.2189,0.4198,-0.4198
0.805,0.8,0.81,1.2371,0.4198,-0.4198
0.815,0.81,0.82,1.2543,0.4189,-0.4189
0.825,0.82,0.83,1.2703,0.4171,-0.4171
0.835,0.83,0.84,1.2854,0.4144,-0.4144
0.845,0.84,0.85,1.2994,0.4111,-0.4111
0.855,0.85,0.86,1.3124,0.4072,-0.4072
0.865,0.86,0.87,1.3244,0.4027,-0.4027
0.875,0.87,0.88,1.3354,0.3979,-0.3979
0.885,0.88,0.89,1.3455,0.3927,-0.3927
0.895,0.89,0.9,1.3547,0.3873,-0.3873
0.905,0.9,0.91,1.3631,0.3818,-0.3818
0.915,0.91,0.92,1.3705,0.3762,-0.3762
0.925,0.92,0.93,1.3772,0.3708,-0.3708
0.935,0.93,0.94,1.3831,0.3655,-0.3655
0.945,0.94,0.95,1.3882,0.3605,-0.3605
0.955,0.95,0.96,1.3927,0.3559,-0.3559
0.965,0.96,0.97,1.3965,0.3518,-0.3518
0.975,0.97,0.98,1.3997,0.3482,-0.3482
0.985,0.98,0.99,1.4024,0.3453,-0.3453
0.995,0.99,1.0,1.4046,0.3432,-0.3432
1.005,1.0,1.01,1.4064,0.3419,-0.3419
1.0150000000000001,1.01,1.02,1.408,0.3416,-0.3416
1.025,1.02,1.03,1.4095,0.3424,-0.3424
1.0350000000000001,1.03,1.04,1.4109,0.3444,-0.3444
1.045,1.04,1.05,1.4126,0.3477,-0.3477
1.0550000000000002,1.05,1.06,1.4147,0.3525,-0.3525
1.065,1.06,1.07,1.4175,0.3589,-0.3589
1.0750000000000002,1.07,1.08,1.4214,0.367,-0.367
1.085,1.08,1.09,1.4266,0.377,-0.377
1.0950000000000002,1.09,1.1,1.4338,0.389,-0.389
1.105,1.1,1.11,1.4435,0.4032,-0.4032
1.1150000000000002,1.11,1.12,1.4563,0.4197,-0.4197
1.125,1.12,1.13,1.4731,0.4387,-0.4387
1.1349999999999998,1.13,1.14,1.4947,0.4604,-0.4604
1.145,1.14,1.15,1.5222,0.4847,-0.4847
1.1549999999999998,1.15,1.16,1.5567,0.5118,-0.5118
1.165,1.16,1.17,1.5993,0.5416,-0.5416
1.1749999999999998,1.17,1.18,1.6513,0.574,-0.574
1.185,1.18,1.19,1.7135,0.6087,-0.6087
1.1949999999999998,1.19,1.2,1.7863,0.6453,-0.6453
1.205,1.2,1.21,1.8692,0.6829,-0.6829
1.2149999999999999,1.21,1.22,1.9604,0.7204,-0.7204
1.225,1.22,1.23,2.0561,0.7564,-0.7564
1.2349999999999999,1.23,1.24,2.15,0.7893,-0.7893
1.245,1.24,1.25,2.2337,0.8171,-0.8171
1.255,1.25,1.26,2.2969,0.8384,-0.8384
1.2650000000000001,1.26,1.27,2.3297,0.852,-0.852
1.275,1.27,1.28,2.3248,0.8579,-0.8579
1.2850000000000001,1.28,1.29,2.2796,0.8567,-0.8567
1.295,1.29,1.3,2.1971,0.8498,-0.8498
1.3050000000000002,1.3,1.31,2.085,0.839,-0.839
1.315,1.31,1.32,1.9538,0.8258,-0.8258
1.3250000000000002,1.32,1.33,1.8144,0.8115,-0.8115
1.335,1.33,1.34,1.6768,0.797,-0.797
1.3450000000000002,1.34,1.35,1.5485,0.783,-0.783
1.355,1.35,1.36,1.4353,0.7696,-0.7696
1.3650000000000002,1.36,1.37,1.3412,0.7572,-0.7572
1.375,1.37,1.38,1.2689,0.7459,-0.7459
1.3849999999999998,1.38,1.39,1.2204,0.7361,-0.7361
1.395,1.39,1.4,1.1972,0.7285,-0.7285

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.4583,0.1833,-0.1833
0.415,0.41,0.42,0.4274,0.1552,-0.1552
0.425,0.42,0.43,0.4009,0.1322,-0.1322
0.435,0.43,0.44,0.3788,0.1141,-0.1141
0.445,0.44,0.45,0.3609,0.1004,-0.1004
0.455,0.45,0.46,0.347,0.0908,-0.0908
0.46499999999999997,0.46,0.47,0.3369,0.0851,-0.0851
0.475,0.47,0.48,0.3304,0.0827,-0.0827
0.485,0.48,0.49,0.3272,0.0832,-0.0832
0.495,0.49,0.5,0.3273,0.0863,-0.0863
0.505,0.5,0.51,0.3303,0.0915,-0.0915
0.515,0.51,0.52,0.3361,0.0986,-0.0986
0.525,0.52,0.53,0.3445,0.1073,-0.1073
0.535,0.53,0.54,0.3553,0.1173,-0.1173
0.545,0.54,0.55,0.3683,0.1283,-0.1283
0.555,0.55,0.56,0.3834,0.1401,-0.1401
0.565,0.56,0.57,0.4003,0.1525,-0.1525
0.575,0.57,0.58,0.419,0.1653,-0.1653
0.585,0.58,0.59,0.4392,0.1781,-0.1781
0.595,0.59,0.6,0.4608,0.1909,-0.1909
0.605,0.6,0.61,0.4836,0.2035,-0.2035
0.615,0.61,0.62,0.5075,0.2156,-0.2156
0.625,0.62,0.63,0.5325,0.2271,-0.2271
0.635,0.63,0.64,0.5582,0.238,-0.238
0.645,0.64,0.65,0.5847,0.2479,-0.2479
0.655,0.65,0.66,0.6117,0.257,-0.257
0.665,0.66,0.67,0.6393,0.265,-0.265
0.675,0.67,0.68,0.6672,0.272,-0.272
0.685,0.68,0.69,0.6953,0.2779,-0.2779
0.695,0.69,0.7,0.7237,0.2827,-0.2827
0.705,0.7,0.71,0.7521,0.2864,-0.2864
0.715,0.71,0.72,0.7805,0.2892,-0.2892
0.725,0.72,0.73,0.8088,0.2909,-0.2909
0.735,0.73,0.74,0.837,0.2919,-0.2919
0.745,0.74,0.75,0.8649,0.2921,-0.2921
0.755,0.75,0.76,0.8925,0.2917,-0.2917
0.765,0.76,0.77,0.9197,0.2909,-0.2909
0.775,0.77,0.78,0.9465,0.29,-0.29
0.785,0.78,0.79,0.9727,0.2891,-0.2891
0.795,0.79,0.8,0.9984,0.2884,-0.2884
0.805,0.8,0.81,1.0234,0.2882,-0.2882
0.815,0.81,0.82,1.0478,0.2887,-0.2887
0.825,0.82,0.83,1.0714,0.2902,-0.2902
0.835,0.83,0.84,1.0942,0.2927,-0.2927
0.845,0.84,0.85,1.116,0.2964,-0.2964
0.855,0.85,0.86,1.137,0.3014,-0.3014
0.865,0.86,0.87,1.1569,0.3077,-0.3077
0.875,0.87,0.88,1.1757,0.3153,-0.3153
0.885,0.88,0.89,1.1934,0.324,-0.324
0.895,0.89,0.9,1.2098,0.3337,-0.3337
0.905,0.9,0.91,1.225,0.3443,-0.3443
0.915,0.91,0.92,1.2387,0.3556,-0.3556
0.925,0.92,0.93,1.251,0.3672,-0.3672
0.935,0.93,0.94,1.2617,0.3791,-0.3791
0.945,0.94,0.95,1.2709,0.3909,-0.3909
0.955,0.95,0.96,1.2783,0.4025,-0.4025
0.965,0.96,0.97,1.284,0.4136,-0.4136
0.975,0.97,0.98,1.2878,0.424,-0.424
0.985,0.98,0.99,1.2897,0.4336,-0.4336
0.995,0.99,1.0,1.2897,0.4422,-0.4422
1.005,1.0,1.01,1.2878,0.4495,-0.4495
1.0150000000000001,1.01,1.02,1.2838,0.4554,-0.4554
1.025,1.02,1.03,1.2778,0.4599,-0.4599
1.0350000000000001,1.03,1.04,1.2699,0.4626,-0.4626
1.045,1.04,1.05,1.2601,0.4637,-0.4637
1.0550000000000002,1.05,1.06,1.2485,0.4629,-0.4629
1.065,1.06,1.07,1.2353,0.4601,-0.4601
1.0750000000000002,1.07,1.08,1.2207,0.4555,-0.4555
1.085,1.08,1.09,1.205,0.4488,-0.4488
1.0950000000000002,1.09,1.1,1.1886,0.4402,-0.4402
1.105,1.1,1.11,1.172,0.4298,-0.4298
1.1150000000000002,1.11,1.12,1.1558,0.4176,-0.4176
1.125,1.12,1.13,1.1408,0.4039,-0.4039
1.1349999999999998,1.13,1.14,1.128,0.3889,-0.3889
1.145,1.14,1.15,1.1185,0.3732,-0.3732
1.1549999999999998,1.15,1.16,1.1135,0.3571,-0.3571
1.165,1.16,1.17,1.1145,0.3413,-0.3413
1.1749999999999998,1.17,1.18,1.1232,0.3267,-0.3267
1.185,1.18,1.19,1.1411,0.314,-0.314
1.1949999999999998,1.19,1.2,1.1696,0.3041,-0.3041
1.205,1.2,1.21,1.2096,0.2976,-0.2976
1.2149999999999999,1.21,1.22,1.2608,0.295,-0.295
1.225,1.22,1.23,1.3214,0.2966,-0.2966
1.2349999999999999,1.23,1.24,1.3874,0.303,-0.303
1.245,1.24,1.25,1.4523,0.3149,-0.3149
1.255,1.25,1.26,1.5072,0.3332,-0.3332
1.2650000000000001,1.26,1.27,1.5426,0.3582,-0.3582
1.275,1.27,1.28,1.5502,0.3886,-0.3886
1.2850000000000001,1.28,1.29,1.5251,0.4216,-0.4216
1.295,1.29,1.3,1.4672,0.4532,-0.4532
1.3050000000000002,1.3,1.31,1.3816,0.4802,-0.4802
1.315,1.31,1.32,1.2763,0.5002,-0.5002
1.3250000000000002,1.32,1.33,1.1613,0.513,-0.513
1.335,1.33,1.34,1.0463,0.5195,-0.5195
1.3450000000000002,1.34,1.35,0.9398,0.5223,-0.5223
1.355,1.35,1.36,0.8489,0.5245,-0.5245
1.3650000000000002,1.36,1.37,0.7791,0.5294,-0.5294
1.375,1.37,1.38,0.7352,0.5406,-0.5406
1.3849999999999998,1.38,1.39,0.7209,0.561,-0.561
1.395,1.39,1.4,0.7398,0.5931,-0.5931

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.4775,0.2581,-0.2581
0.415,0.41,0.42,0.4295,0.206,-0.206
0.425,0.42,0.43,0.3905,0.1653,-0.1653
0.435,0.43,0.44,0.36,0.1359,-0.1359
0.445,0.44,0.45,0.3375,0.1173,-0.1173
0.455,0.45,0.46,0.3226,0.1075,-0.1075
0.46499999999999997,0.46,0.47,0.3147,0.1036,-0.1036
0.475,0.47,0.48,0.3132,0.1026,-0.1026
0.485,0.48,0.49,0.3178,0.1026,-0.1026
0.495,0.49,0.5,0.3279,0.1025,-0.1025
0.505,0.5,0.51,0.343,0.1024,-0.1024
0.515,0.51,0.52,0.3627,0.1029,-0.1029
0.525,0.52,0.53,0.3864,0.1049,-0.1049
0.535,0.53,0.54,0.4137,0.1096,-0.1096
0.545,0.54,0.55,0.4441,0.1176,-0.1176
0.555,0.55,0.56,0.4774,0.1295,-0.1295
0.565,0.56,0.57,0.513,0.1449,-0.1449
0.575,0.57,0.58,0.5506,0.1635,-0.1635
0.585,0.58,0.59,0.5898,0.1845,-0.1845
0.595,0.59,0.6,0.6302,0.2073,-0.2073
0.605,0.6,0.61,0.6716,0.2313,-0.2313
0.615,0.61,0.62,0.7136,0.256,-0.256
0.625,0.62,0.63,0.7559,0.281,-0.281
0.635,0.63,0.64,0.7982,0.3058,-0.3058
0.645,0.64,0.65,0.8403,0.3301,-0.3301
0.655,0.65,0.66,0.8819,0.3536,-0.3536
0.665,0.66,0.67,0.9229,0.376,-0.376
0.675,0.67,0.68,0.963,0.3971,-0.3971
0.685,0.68,0.69,1.0021,0.4168,-0.4168
0.695,0.69,0.7,1.04,0.4348,-0.4348
0.705,0.7,0.71,1.0766,0.4511,-0.4511
0.715,0.71,0.72,1.1117,0.4655,-0.4655
0.725,0.72,0.73,1.1454,0.478,-0.478
0.735,0.73,0.74,1.1774,0.4885,-0.4885
0.745,0.74,0.75,1.2078,0.4971,-0.4971
0.755,0.75,0.76,1.2365,0.5037,-0.5037
0.765,0.76,0.77,1.2635,0.5084,-0.5084
0.775,0.77,0.78,1.2887,0.5112,-0.5112
0.785,0.78,0.79,1.3122,0.5123,-0.5123
0.795,0.79,0.8,1.3341,0.5117,-0.5117
0.805,0.8,0.81,1.3542,0.5095,-0.5095
0.815,0.81,0.82,1.3726,0.5059,-0.5059
