#: table_doi: 10.17182/hepdata.74824.v1/t128
#: name: Table 128
#: description: Dm wave cross section for -T.

#: data_file: Table128.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1705,0.1154,-0.1154
0.415,0.41,0.42,0.1669,0.1145,-0.1145
0.425,0.42,0.43,0.1633,0.113,-0.113
0.435,0.43,0.44,0.1598,0.1111,-0.1111
0.445,0.44,0.45,0.1565,0.1088,-0.1088
0.455,0.45,0.46,0.1532,0.106,-0.106
0.46499999999999997,0.46,0.47,0.1501,0.103,-0.103
0.475,0.47,0.48,0.147,0.0997,-0.0997
0.485,0.48,0.49,0.1441,0.0961,-0.0961
0.495,0.49,0.5,0.1412,0.0924,-0.0924
0.505,0.5,0.51,0.1385,0.0885,-0.0885
0.515,0.51,0.52,0.1359,0.0845,-0.0845
0.525,0.52,0.53,0.1333,0.0805,-0.0805
0.535,0.53,0.54,0.1309,0.0764,-0.0764
0.545,0.54,0.55,0.1286,0.0724,-0.0724
0.555,0.55,0.56,0.1265,0.0685,-0.0685
0.565,0.56,0.57,0.1244,0.0647,-0.0647
0.575,0.57,0.58,0.1225,0.0611,-0.0611
0.585,0.58,0.59,0.1207,0.0577,-0.0577
0.595,0.59,0.6,0.1191,0.0546,-0.0546
0.605,0.6,0.61,0.1176,0.0517,-0.0517
0.615,0.61,0.62,0.1162,0.0492,-0.0492
0.625,0.62,0.63,0.1151,0.0471,-0.0471
0.635,0.63,0.64,0.1141,0.0454,-0.0454
0.645,0.64,0.65,0.1133,0.0442,-0.0442
0.655,0.65,0.66,0.1127,0.0433,-0.0433
0.665,0.66,0.67,0.1123,0.0429,-0.0429
0.675,0.67,0.68,0.1121,0.043,-0.043
0.685,0.68,0.69,0.1121,0.0434,-0.0434
0.695,0.69,0.7,0.1124,0.0442,-0.0442
0.705,0.7,0.71,0.1129,0.0454,-0.0454
0.715,0.71,0.72,0.1137,0.0468,-0.0468
0.725,0.72,0.73,0.1148,0.0486,-0.0486
0.735,0.73,0.74,0.1161,0.0506,-0.0506
0.745,0.74,0.75,0.1177,0.0529,-0.0529
0.755,0.75,0.76,0.1196,0.0554,-0.0554
0.765,0.76,0.77,0.1218,0.0581,-0.0581
0.775,0.77,0.78,0.1244,0.0611,-0.0611
0.785,0.78,0.79,0.1272,0.0643,-0.0643
0.795,0.79,0.8,0.1304,0.0677,-0.0677
0.805,0.8,0.81,0.1339,0.0713,-0.0713
0.815,0.81,0.82,0.1378,0.0751,-0.0751
0.825,0.82,0.83,0.142,0.079,-0.079
0.835,0.83,0.84,0.1465,0.0832,-0.0832
0.845,0.84,0.85,0.1513,0.0875,-0.0875
0.855,0.85,0.86,0.1565,0.0919,-0.0919
0.865,0.86,0.87,0.162,0.0964,-0.0964
0.875,0.87,0.88,0.1678,0.1011,-0.1011
