#: table_doi: 10.17182/hepdata.74824.v1/t133
#: name: Table 133
#: description: D0 wave cross section for -T.

#: data_file: Table133.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1234,0.0624,-0.0624
0.415,0.41,0.42,0.1245,0.072,-0.072
0.425,0.42,0.43,0.1263,0.0828,-0.0828
0.435,0.43,0.44,0.1287,0.0938,-0.0938
0.445,0.44,0.45,0.1315,0.1046,-0.1046
0.455,0.45,0.46,0.1346,0.1148,-0.1148
0.46499999999999997,0.46,0.47,0.138,0.1243,-0.1243
0.475,0.47,0.48,0.1415,0.1329,-0.1329
0.485,0.48,0.49,0.145,0.1406,-0.1406
0.495,0.49,0.5,0.1486,0.1473,-0.1473
0.505,0.5,0.51,0.152,0.153,-0.153
0.515,0.51,0.52,0.1553,0.1578,-0.1578
0.525,0.52,0.53,0.1585,0.1615,-0.1615
0.535,0.53,0.54,0.1614,0.1643,-0.1643
0.545,0.54,0.55,0.164,0.1662,-0.1662
0.555,0.55,0.56,0.1664,0.1671,-0.1671
0.565,0.56,0.57,0.1684,0.1672,-0.1672
0.575,0.57,0.58,0.1702,0.1664,-0.1664
0.585,0.58,0.59,0.1715,0.1648,-0.1648
0.595,0.59,0.6,0.1725,0.1625,-0.1625
0.605,0.6,0.61,0.1732,0.1595,-0.1595
0.615,0.61,0.62,0.1735,0.1559,-0.1559
0.625,0.62,0.63,0.1734,0.1518,-0.1518
0.635,0.63,0.64,0.1731,0.1472,-0.1472
0.645,0.64,0.65,0.1723,0.1422,-0.1422
0.655,0.65,0.66,0.1713,0.137,-0.137
0.665,0.66,0.67,0.17,0.1316,-0.1316
0.675,0.67,0.68,0.1684,0.1262,-0.1262
0.685,0.68,0.69,0.1666,0.1209,-0.1209
0.695,0.69,0.7,0.1646,0.1158,-0.1158
0.705,0.7,0.71,0.1624,0.1112,-0.1112
0.715,0.71,0.72,0.16,0.1071,-0.1071
0.725,0.72,0.73,0.1575,0.1036,-0.1036
0.735,0.73,0.74,0.1549,0.1011,-0.1011
0.745,0.74,0.75,0.1523,0.0994,-0.0994
0.755,0.75,0.76,0.1497,0.0987,-0.0987
0.765,0.76,0.77,0.1471,0.099,-0.099
0.775,0.77,0.78,0.1445,0.1003,-0.1003
0.785,0.78,0.79,0.1421,0.1024,-0.1024
0.795,0.79,0.8,0.1397,0.1052,-0.1052
0.805,0.8,0.81,0.1376,0.1086,-0.1086
0.815,0.81,0.82,0.1356,0.1124,-0.1124
0.825,0.82,0.83,0.1338,0.1165,-0.1165
0.835,0.83,0.84,0.1323,0.1207,-0.1207
0.845,0.84,0.85,0.131,0.1249,-0.1249
0.855,0.85,0.86,0.13,0.129,-0.129
