#: table_doi: 10.17182/hepdata.74824.v1/t140
#: name: Table 140
#: description: Dp wave cross section for -T.

#: data_file: Table140.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1146,0.0798,-0.0798
0.415,0.41,0.42,0.1081,0.0805,-0.0805
0.425,0.42,0.43,0.1034,0.0823,-0.0823
0.435,0.43,0.44,0.1006,0.0842,-0.0842
0.445,0.44,0.45,0.0994,0.0859,-0.0859
0.455,0.45,0.46,0.0999,0.0872,-0.0872
0.46499999999999997,0.46,0.47,0.102,0.0879,-0.0879
0.475,0.47,0.48,0.1055,0.0882,-0.0882
0.485,0.48,0.49,0.1104,0.0884,-0.0884
0.495,0.49,0.5,0.1167,0.0888,-0.0888
0.505,0.5,0.51,0.1242,0.0898,-0.0898
0.515,0.51,0.52,0.1329,0.0919,-0.0919
0.525,0.52,0.53,0.1426,0.0953,-0.0953
0.535,0.53,0.54,0.1534,0.1003,-0.1003
0.545,0.54,0.55,0.1651,0.1072,-0.1072
0.555,0.55,0.56,0.1776,0.1158,-0.1158
0.565,0.56,0.57,0.1908,0.126,-0.126
0.575,0.57,0.58,0.2048,0.1376,-0.1376
0.585,0.58,0.59,0.2193,0.1504,-0.1504
0.595,0.59,0.6,0.2344,0.1641,-0.1641
0.605,0.6,0.61,0.2499,0.1784,-0.1784
0.615,0.61,0.62,0.2657,0.1933,-0.1933
0.625,0.62,0.63,0.2819,0.2084,-0.2084
0.635,0.63,0.64,0.2982,0.2237,-0.2237
0.645,0.64,0.65,0.3147,0.2389,-0.2389
0.655,0.65,0.66,0.3312,0.2539,-0.2539
0.665,0.66,0.67,0.3478,0.2685,-0.2685
0.675,0.67,0.68,0.3642,0.2827,-0.2827
0.685,0.68,0.69,0.3805,0.2964,-0.2964
0.695,0.69,0.7,0.3967,0.3094,-0.3094
0.705,0.7,0.71,0.4125,0.3217,-0.3217
0.715,0.71,0.72,0.4281,0.3331,-0.3331
0.725,0.72,0.73,0.4432,0.3437,-0.3437
0.735,0.73,0.74,0.458,0.3534,-0.3534
0.745,0.74,0.75,0.4722,0.3621,-0.3621
0.755,0.75,0.76,0.486,0.3698,-0.3698
0.765,0.76,0.77,0.4992,0.3765,-0.3765
0.775,0.77,0.78,0.5117,0.3821,-0.3821
0.785,0.78,0.79,0.5237,0.3867,-0.3867
0.795,0.79,0.8,0.535,0.3903,-0.3903
0.805,0.8,0.81,0.5456,0.3928,-0.3928
0.815,0.81,0.82,0.5554,0.3944,-0.3944
0.825,0.82,0.83,0.5645,0.3949,-0.3949
0.835,0.83,0.84,0.5728,0.3946,-0.3946
0.845,0.84,0.85,0.5803,0.3933,-0.3933
0.855,0.85,0.86,0.587,0.3912,-0.3912
0.865,0.86,0.87,0.5929,0.3883,-0.3883
0.875,0.87,0.88,0.5979,0.3847,-0.3847
0.885,0.88,0.89,0.6021,0.3805,-0.3805
0.895,0.89,0.9,0.6054,0.3756,-0.3756
0.905,0.9,0.91,0.6077,0.3703,-0.3703
0.915,0.91,0.92,0.6092,0.3646,-0.3646
0.925,0.92,0.93,0.6098,0.3585,-0.3585
0.935,0.93,0.94,0.6095,0.3521,-0.3521
0.945,0.94,0.95,0.6082,0.3455,-0.3455
0.955,0.95,0.96,0.606,0.3389,-0.3389
0.965,0.96,0.97,0.6029,0.3322,-0.3322
0.975,0.97,0.98,0.5988,0.3256,-0.3256
0.985,0.98,0.99,0.5938,0.319,-0.319
0.995,0.99,1.0,0.5878,0.3127,-0.3127
