#: table_doi: 10.17182/hepdata.74824.v1/t147
#: name: Table 147
#: description: F wave cross section for -T.

#: data_file: Table147.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0735,0.0143,-0.0143
0.415,0.41,0.42,0.0848,0.0166,-0.0166
0.425,0.42,0.43,0.0965,0.0189,-0.0189
0.435,0.43,0.44,0.1085,0.0213,-0.0213
0.445,0.44,0.45,0.1208,0.0237,-0.0237
0.455,0.45,0.46,0.1333,0.0262,-0.0262
0.46499999999999997,0.46,0.47,0.1459,0.0288,-0.0288
0.475,0.47,0.48,0.1585,0.0314,-0.0314
0.485,0.48,0.49,0.1711,0.034,-0.034
0.495,0.49,0.5,0.1837,0.0366,-0.0366
0.505,0.5,0.51,0.1961,0.0392,-0.0392
0.515,0.51,0.52,0.2084,0.0418,-0.0418
0.525,0.52,0.53,0.2206,0.0445,-0.0445
0.535,0.53,0.54,0.2325,0.0471,-0.0471
0.545,0.54,0.55,0.2442,0.0498,-0.0498
0.555,0.55,0.56,0.2557,0.0525,-0.0525
0.565,0.56,0.57,0.2668,0.0551,-0.0551
0.575,0.57,0.58,0.2777,0.0578,-0.0578
0.585,0.58,0.59,0.2882,0.0604,-0.0604
0.595,0.59,0.6,0.2984,0.0631,-0.0631
0.605,0.6,0.61,0.3082,0.0658,-0.0658
0.615,0.61,0.62,0.3177,0.0685,-0.0685
0.625,0.62,0.63,0.3268,0.0712,-0.0712
0.635,0.63,0.64,0.3355,0.0739,-0.0739
0.645,0.64,0.65,0.3438,0.0766,-0.0766
0.655,0.65,0.66,0.3517,0.0794,-0.0794
0.665,0.66,0.67,0.3592,0.0822,-0.0822
0.675,0.67,0.68,0.3664,0.085,-0.085
0.685,0.68,0.69,0.3731,0.0878,-0.0878
0.695,0.69,0.7,0.3794,0.0907,-0.0907
0.705,0.7,0.71,0.3854,0.0937,-0.0937
0.715,0.71,0.72,0.3909,0.0966,-0.0966
0.725,0.72,0.73,0.396,0.0997,-0.0997
0.735,0.73,0.74,0.4008,0.1027,-0.1027
0.745,0.74,0.75,0.4051,0.1059,-0.1059
0.755,0.75,0.76,0.4091,0.1091,-0.1091
0.765,0.76,0.77,0.4126,0.1123,-0.1123
0.775,0.77,0.78,0.4159,0.1156,-0.1156
0.785,0.78,0.79,0.4187,0.119,-0.119
0.795,0.79,0.8,0.4212,0.1225,-0.1225
0.805,0.8,0.81,0.4233,0.126,-0.126
0.815,0.81,0.82,0.4252,0.1296,-0.1296
0.825,0.82,0.83,0.4266,0.1332,-0.1332
0.835,0.83,0.84,0.4278,0.137,-0.137
0.845,0.84,0.85,0.4287,0.1408,-0.1408
0.855,0.85,0.86,0.4292,0.1446,-0.1446
0.865,0.86,0.87,0.4295,0.1486,-0.1486
0.875,0.87,0.88,0.4295,0.1526,-0.1526
0.885,0.88,0.89,0.4293,0.1566,-0.1566
0.895,0.89,0.9,0.4288,0.1608,-0.1608
0.905,0.9,0.91,0.4281,0.165,-0.165
0.915,0.91,0.92,0.4272,0.1692,-0.1692
0.925,0.92,0.93,0.4261,0.1735,-0.1735
0.935,0.93,0.94,0.4249,0.1779,-0.1779
0.945,0.94,0.95,0.4234,0.1824,-0.1824
0.955,0.95,0.96,0.4219,0.1868,-0.1868
0.965,0.96,0.97,0.4202,0.1914,-0.1914
0.975,0.97,0.98,0.4184,0.1959,-0.1959
0.985,0.98,0.99,0.4166,0.2005,-0.2005
0.995,0.99,1.0,0.4147,0.2052,-0.2052
1.005,1.0,1.01,0.4127,0.2099,-0.2099
1.0150000000000001,1.01,1.02,0.4108,0.2146,-0.2146
1.025,1.02,1.03,0.4088,0.2193,-0.2193
1.0350000000000001,1.03,1.04,0.4069,0.2241,-0.2241
1.045,1.04,1.05,0.405,0.2288,-0.2288
1.0550000000000002,1.05,1.06,0.4033,0.2336,-0.2336
1.065,1.06,1.07,0.4016,0.2384,-0.2384
1.0750000000000002,1.07,1.08,0.4001,0.2432,-0.2432
1.085,1.08,1.09,0.3987,0.248,-0.248
1.0950000000000002,1.09,1.1,0.3975,0.2528,-0.2528
1.105,1.1,1.11,0.3966,0.2575,-0.2575
1.1150000000000002,1.11,1.12,0.3958,0.2623,-0.2623
1.125,1.12,1.13,0.3954,0.267,-0.267
1.1349999999999998,1.13,1.14,0.3953,0.2718,-0.2718
1.145,1.14,1.15,0.3955,0.2765,-0.2765
1.1549999999999998,1.15,1.16,0.396,0.2812,-0.2812
1.165,1.16,1.17,0.397,0.2859,-0.2859
1.1749999999999998,1.17,1.18,0.3984,0.2905,-0.2905
1.185,1.18,1.19,0.4003,0.2951,-0.2951
1.1949999999999998,1.19,1.2,0.4027,0.2997,-0.2997
1.205,1.2,1.21,0.4056,0.3043,-0.3043
1.2149999999999999,1.21,1.22,0.4091,0.3088,-0.3088
1.225,1.22,1.23,0.4132,0.3133,-0.3133
1.2349999999999999,1.23,1.24,0.4179,0.3178,-0.3178
1.245,1.24,1.25,0.4234,0.3223,-0.3223
1.255,1.25,1.26,0.4296,0.3268,-0.3268
1.2650000000000001,1.26,1.27,0.4365,0.3313,-0.3313
1.275,1.27,1.28,0.4443,0.3357,-0.3357
1.2850000000000001,1.28,1.29,0.4529,0.3402,-0.3402
1.295,1.29,1.3,0.4624,0.3448,-0.3448
1.3050000000000002,1.3,1.31,0.4728,0.3493,-0.3493
1.315,1.31,1.32,0.4842,0.3539,-0.3539
1.3250000000000002,1.32,1.33,0.4967,0.3586,-0.3586
1.335,1.33,1.34,0.5102,0.3633,-0.3633
1.3450000000000002,1.34,1.35,0.5248,0.3682,-0.3682
1.355,1.35,1.36,0.5406,0.3732,-0.3732
1.3650000000000002,1.36,1.37,0.5576,0.3783,-0.3783
1.375,1.37,1.38,0.5759,0.3836,-0.3836
1.3849999999999998,1.38,1.39,0.5955,0.3891,-0.3891
1.395,1.39,1.4,0.6165,0.3948,-0.3948

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0949,0.0264,-0.0264
0.415,0.41,0.42,0.1095,0.0304,-0.0304
0.425,0.42,0.43,0.1246,0.0346,-0.0346
0.435,0.43,0.44,0.1401,0.0388,-0.0388
0.445,0.44,0.45,0.1559,0.0432,-0.0432
0.455,0.45,0.46,0.172,0.0476,-0.0476
0.46499999999999997,0.46,0.47,0.1882,0.052,-0.052
0.475,0.47,0.48,0.2045,0.0565,-0.0565
0.485,0.48,0.49,0.2207,0.0609,-0.0609
