#: table_doi: 10.17182/hepdata.74824.v1/t155
#: name: Table 155
#: description: Fm wave cross section for -T.

#: data_file: Table155.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.015,0.0056,-0.0056
0.415,0.41,0.42,0.0172,0.0065,-0.0065
0.425,0.42,0.43,0.0195,0.0073,-0.0073
0.435,0.43,0.44,0.0218,0.0081,-0.0081
0.445,0.44,0.45,0.0242,0.009,-0.009
0.455,0.45,0.46,0.0266,0.0099,-0.0099
0.46499999999999997,0.46,0.47,0.029,0.0107,-0.0107
0.475,0.47,0.48,0.0314,0.0116,-0.0116
0.485,0.48,0.49,0.0337,0.0124,-0.0124
0.495,0.49,0.5,0.036,0.0132,-0.0132
0.505,0.5,0.51,0.0383,0.014,-0.014
0.515,0.51,0.52,0.0405,0.0148,-0.0148
0.525,0.52,0.53,0.0427,0.0155,-0.0155
0.535,0.53,0.54,0.0448,0.0162,-0.0162
0.545,0.54,0.55,0.0468,0.017,-0.017
0.555,0.55,0.56,0.0487,0.0176,-0.0176
0.565,0.56,0.57,0.0506,0.0183,-0.0183
0.575,0.57,0.58,0.0524,0.0189,-0.0189
0.585,0.58,0.59,0.0541,0.0195,-0.0195
0.595,0.59,0.6,0.0557,0.0201,-0.0201
0.605,0.6,0.61,0.0572,0.0207,-0.0207
0.615,0.61,0.62,0.0587,0.0213,-0.0213
0.625,0.62,0.63,0.06,0.0218,-0.0218
0.635,0.63,0.64,0.0613,0.0223,-0.0223
0.645,0.64,0.65,0.0625,0.0228,-0.0228
0.655,0.65,0.66,0.0636,0.0234,-0.0234
0.665,0.66,0.67,0.0646,0.0239,-0.0239
0.675,0.67,0.68,0.0655,0.0244,-0.0244
0.685,0.68,0.69,0.0664,0.0249,-0.0249
0.695,0.69,0.7,0.0671,0.0254,-0.0254
0.705,0.7,0.71,0.0678,0.0259,-0.0259
0.715,0.71,0.72,0.0684,0.0264,-0.0264
0.725,0.72,0.73,0.069,0.0269,-0.0269
0.735,0.73,0.74,0.0695,0.0275,-0.0275
0.745,0.74,0.75,0.0699,0.028,-0.028
0.755,0.75,0.76,0.0703,0.0286,-0.0286
0.765,0.76,0.77,0.0706,0.0292,-0.0292
0.775,0.77,0.78,0.0709,0.0298,-0.0298
0.785,0.78,0.79,0.0711,0.0305,-0.0305
0.795,0.79,0.8,0.0714,0.0311,-0.0311
0.805,0.8,0.81,0.0715,0.0318,-0.0318
0.815,0.81,0.82,0.0717,0.0325,-0.0325
0.825,0.82,0.83,0.0718,0.0332,-0.0332
0.835,0.83,0.84,0.072,0.0339,-0.0339
0.845,0.84,0.85,0.0721,0.0347,-0.0347
0.855,0.85,0.86,0.0722,0.0354,-0.0354
0.865,0.86,0.87,0.0724,0.0362,-0.0362
0.875,0.87,0.88,0.0725,0.037,-0.037
0.885,0.88,0.89,0.0727,0.0378,-0.0378
0.895,0.89,0.9,0.073,0.0386,-0.0386
0.905,0.9,0.91,0.0732,0.0394,-0.0394
0.915,0.91,0.92,0.0736,0.0402,-0.0402
0.925,0.92,0.93,0.074,0.0411,-0.0411
0.935,0.93,0.94,0.0744,0.0419,-0.0419
0.945,0.94,0.95,0.075,0.0427,-0.0427
0.955,0.95,0.96,0.0756,0.0435,-0.0435
0.965,0.96,0.97,0.0764,0.0443,-0.0443
0.975,0.97,0.98,0.0773,0.0451,-0.0451
0.985,0.98,0.99,0.0782,0.0459,-0.0459
0.995,0.99,1.0,0.0794,0.0467,-0.0467
1.005,1.0,1.01,0.0806,0.0475,-0.0475
1.0150000000000001,1.01,1.02,0.0821,0.0483,-0.0483
1.025,1.02,1.03,0.0837,0.049,-0.049
1.0350000000000001,1.03,1.04,0.0855,0.0498,-0.0498
1.045,1.04,1.05,0.0875,0.0505,-0.0505
1.0550000000000002,1.05,1.06,0.0897,0.0513,-0.0513
1.065,1.06,1.07,0.0921,0.0521,-0.0521
1.0750000000000002,1.07,1.08,0.0947,0.0528,-0.0528
1.085,1.08,1.09,0.0976,0.0536,-0.0536
1.0950000000000002,1.09,1.1,0.1008,0.0545,-0.0545
1.105,1.1,1.11,0.1043,0.0554,-0.0554
1.1150000000000002,1.11,1.12,0.108,0.0563,-0.0563
1.125,1.12,1.13,0.1121,0.0573,-0.0573
1.1349999999999998,1.13,1.14,0.1165,0.0584,-0.0584
1.145,1.14,1.15,0.1212,0.0596,-0.0596
1.1549999999999998,1.15,1.16,0.1263,0.0609,-0.0609
1.165,1.16,1.17,0.1318,0.0623,-0.0623
