#: table_doi: 10.17182/hepdata.74824.v1/t157
#: name: Table 157
#: description: F0 wave cross section for -T.

#: data_file: Table157.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0837,0.0796,-0.0796
0.415,0.41,0.42,0.0963,0.0917,-0.0917
0.425,0.42,0.43,0.1094,0.1041,-0.1041
0.435,0.43,0.44,0.1228,0.1169,-0.1169
0.445,0.44,0.45,0.1363,0.1299,-0.1299
0.455,0.45,0.46,0.15,0.143,-0.143
0.46499999999999997,0.46,0.47,0.1637,0.1562,-0.1562
0.475,0.47,0.48,0.1774,0.1693,-0.1693
0.485,0.48,0.49,0.1909,0.1824,-0.1824
0.495,0.49,0.5,0.2043,0.1953,-0.1953
0.505,0.5,0.51,0.2175,0.2081,-0.2081
0.515,0.51,0.52,0.2305,0.2206,-0.2206
0.525,0.52,0.53,0.2431,0.2328,-0.2328
0.535,0.53,0.54,0.2554,0.2447,-0.2447
0.545,0.54,0.55,0.2673,0.2563,-0.2563
0.555,0.55,0.56,0.2788,0.2675,-0.2675
0.565,0.56,0.57,0.2899,0.2783,-0.2783
0.575,0.57,0.58,0.3006,0.2886,-0.2886
0.585,0.58,0.59,0.3107,0.2985,-0.2985
0.595,0.59,0.6,0.3204,0.308,-0.308
0.605,0.6,0.61,0.3296,0.317,-0.317
0.615,0.61,0.62,0.3383,0.3254,-0.3254
0.625,0.62,0.63,0.3464,0.3334,-0.3334
0.635,0.63,0.64,0.354,0.3409,-0.3409
0.645,0.64,0.65,0.3611,0.3478,-0.3478
0.655,0.65,0.66,0.3677,0.3542,-0.3542
0.665,0.66,0.67,0.3737,0.36,-0.36
0.675,0.67,0.68,0.3791,0.3653,-0.3653
0.685,0.68,0.69,0.3841,0.3701,-0.3701
0.695,0.69,0.7,0.3885,0.3743,-0.3743
0.705,0.7,0.71,0.3923,0.378,-0.378
0.715,0.71,0.72,0.3957,0.3812,-0.3812
0.725,0.72,0.73,0.3985,0.3838,-0.3838
0.735,0.73,0.74,0.4008,0.3858,-0.3858
0.745,0.74,0.75,0.4027,0.3873,-0.3873
0.755,0.75,0.76,0.404,0.3883,-0.3883
0.765,0.76,0.77,0.4049,0.3888,-0.3888
0.775,0.77,0.78,0.4053,0.3887,-0.3887
0.785,0.78,0.79,0.4052,0.3881,-0.3881
0.795,0.79,0.8,0.4048,0.3871,-0.3871
0.805,0.8,0.81,0.4039,0.3855,-0.3855
0.815,0.81,0.82,0.4026,0.3834,-0.3834
0.825,0.82,0.83,0.4009,0.3809,-0.3809
0.835,0.83,0.84,0.3989,0.3778,-0.3778
0.845,0.84,0.85,0.3966,0.3744,-0.3744
0.855,0.85,0.86,0.3939,0.3705,-0.3705
0.865,0.86,0.87,0.3909,0.3661,-0.3661
0.875,0.87,0.88,0.3877,0.3613,-0.3613
0.885,0.88,0.89,0.3842,0.3562,-0.3562
0.895,0.89,0.9,0.3804,0.3506,-0.3506
0.905,0.9,0.91,0.3765,0.3446,-0.3446
0.915,0.91,0.92,0.3725,0.3383,-0.3383
0.925,0.92,0.93,0.3682,0.3316,-0.3316
0.935,0.93,0.94,0.3639,0.3246,-0.3246
0.945,0.94,0.95,0.3595,0.3173,-0.3173
0.955,0.95,0.96,0.355,0.3097,-0.3097
0.965,0.96,0.97,0.3506,0.3018,-0.3018
0.975,0.97,0.98,0.3461,0.2937,-0.2937
0.985,0.98,0.99,0.3417,0.2853,-0.2853
0.995,0.99,1.0,0.3374,0.2767,-0.2767
1.005,1.0,1.01,0.3332,0.2679,-0.2679
1.0150000000000001,1.01,1.02,0.3292,0.259,-0.259
1.025,1.02,1.03,0.3254,0.2499,-0.2499
1.0350000000000001,1.03,1.04,0.3218,0.2407,-0.2407
1.045,1.04,1.05,0.3185,0.2314,-0.2314
1.0550000000000002,1.05,1.06,0.3155,0.2221,-0.2221
1.065,1.06,1.07,0.3129,0.2128,-0.2128
1.0750000000000002,1.07,1.08,0.3107,0.2035,-0.2035
1.085,1.08,1.09,0.309,0.1944,-0.1944
1.0950000000000002,1.09,1.1,0.3077,0.1854,-0.1854
1.105,1.1,1.11,0.307,0.1766,-0.1766
1.1150000000000002,1.11,1.12,0.3069,0.1682,-0.1682
1.125,1.12,1.13,0.3075,0.1602,-0.1602
1.1349999999999998,1.13,1.14,0.3088,0.1528,-0.1528
1.145,1.14,1.15,0.3108,0.1461,-0.1461
1.1549999999999998,1.15,1.16,0.3136,0.1403,-0.1403
1.165,1.16,1.17,0.3172,0.1355,-0.1355
1.1749999999999998,1.17,1.18,0.3218,0.132,-0.132
1.185,1.18,1.19,0.3274,0.1299,-0.1299
1.1949999999999998,1.19,1.2,0.334,0.1295,-0.1295
1.205,1.2,1.21,0.3417,0.1308,-0.1308
1.2149999999999999,1.21,1.22,0.3505,0.1339,-0.1339
1.225,1.22,1.23,0.3605,0.1387,-0.1387
1.2349999999999999,1.23,1.24,0.3718,0.1454,-0.1454
1.245,1.24,1.25,0.3845,0.1537,-0.1537
1.255,1.25,1.26,0.3985,0.1635,-0.1635
1.2650000000000001,1.26,1.27,0.4141,0.1749,-0.1749
1.275,1.27,1.28,0.4311,0.1876,-0.1876
1.2850000000000001,1.28,1.29,0.4498,0.2016,-0.2016
1.295,1.29,1.3,0.4702,0.2169,-0.2169
1.3050000000000002,1.3,1.31,0.4923,0.2334,-0.2334
1.315,1.31,1.32,0.5162,0.2511,-0.2511
1.3250000000000002,1.32,1.33,0.542,0.2699,-0.2699
1.335,1.33,1.34,0.5699,0.29,-0.29
1.3450000000000002,1.34,1.35,0.5997,0.3112,-0.3112
1.355,1.35,1.36,0.6317,0.3337,-0.3337
1.3650000000000002,1.36,1.37,0.6659,0.3575,-0.3575
1.375,1.37,1.38,0.7024,0.3827,-0.3827
1.3849999999999998,1.38,1.39,0.7413,0.4092,-0.4092
1.395,1.39,1.4,0.7827,0.4371,-0.4371

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1073,0.0604,-0.0604
0.415,0.41,0.42,0.1235,0.0695,-0.0695
0.425,0.42,0.43,0.1403,0.079,-0.079
0.435,0.43,0.44,0.1574,0.0887,-0.0887
0.445,0.44,0.45,0.1748,0.0986,-0.0986
0.455,0.45,0.46,0.1923,0.1085,-0.1085
0.46499999999999997,0.46,0.47,0.2098,0.1185,-0.1185
0.475,0.47,0.48,0.2273,0.1285,-0.1285
0.485,0.48,0.49,0.2447,0.1384,-0.1384
0.495,0.49,0.5,0.2619,0.1482,-0.1482
0.505,0.5,0.51,0.2788,0.1578,-0.1578
0.515,0.51,0.52,0.2953,0.1673,-0.1673
0.525,0.52,0.53,0.3114,0.1766,-0.1766
0.535,0.53,0.54,0.3272,0.1856,-0.1856
0.545,0.54,0.55,0.3424,0.1944,-0.1944
0.555,0.55,0.56,0.357,0.2029,-0.2029
0.565,0.56,0.57,0.3712,0.211,-0.211
0.575,0.57,0.58,0.3847,0.2189,-0.2189
0.585,0.58,0.59,0.3976,0.2263,-0.2263
0.595,0.59,0.6,0.4099,0.2335,-0.2335
0.605,0.6,0.61,0.4215,0.2402,-0.2402
0.615,0.61,0.62,0.4324,0.2466,-0.2466
0.625,0.62,0.63,0.4427,0.2526,-0.2526
0.635,0.63,0.64,0.4522,0.2582,-0.2582
0.645,0.64,0.65,0.4611,0.2633,-0.2633
0.655,0.65,0.66,0.4692,0.2681,-0.2681
0.665,0.66,0.67,0.4766,0.2724,-0.2724
0.675,0.67,0.68,0.4833,0.2763,-0.2763
0.685,0.68,0.69,0.4893,0.2798,-0.2798
0.695,0.69,0.7,0.4946,0.2828,-0.2828
0.705,0.7,0.71,0.4991,0.2855,-0.2855
0.715,0.71,0.72,0.503,0.2877,-0.2877
0.725,0.72,0.73,0.5061,0.2894,-0.2894
0.735,0.73,0.74,0.5086,0.2908,-0.2908
0.745,0.74,0.75,0.5104,0.2917,-0.2917
0.755,0.75,0.76,0.5116,0.2921,-0.2921
0.765,0.76,0.77,0.512,0.2922,-0.2922
0.775,0.77,0.78,0.5119,0.2919,-0.2919
0.785,0.78,0.79,0.5111,0.2911,-0.2911
0.795,0.79,0.8,0.5098,0.2899,-0.2899
0.805,0.8,0.81,0.5078,0.2883,-0.2883
0.815,0.81,0.82,0.5053,0.2863,-0.2863
0.825,0.82,0.83,0.5022,0.284,-0.284
0.835,0.83,0.84,0.4986,0.2812,-0.2812
0.845,0.84,0.85,0.4946,0.2781,-0.2781
0.855,0.85,0.86,0.49,0.2746,-0.2746
0.865,0.86,0.87,0.485,0.2707,-0.2707
0.875,0.87,0.88,0.4796,0.2665,-0.2665
0.885,0.88,0.89,0.4738,0.2619,-0.2619
0.895,0.89,0.9,0.4677,0.2571,-0.2571
0.905,0.9,0.91,0.4612,0.2518,-0.2518
0.915,0.91,0.92,0.4544,0.2463,-0.2463
0.925,0.92,0.93,0.4474,0.2405,-0.2405
0.935,0.93,0.94,0.4401,0.2344,-0.2344
0.945,0.94,0.95,0.4327,0.2281,-0.2281
0.955,0.95,0.96,0.4251,0.2215,-0.2215
0.965,0.96,0.97,0.4173,0.2146,-0.2146
