#: table_doi: 10.17182/hepdata.74824.v1/t16
#: name: Table 16
#: description: Moments YLM(LM=11) of the di-pion angular distribution for -T.

#: data_file: Table16.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=11,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0418,0.0228,-0.0228
0.415,0.41,0.42,0.0692,0.0265,-0.0265
0.425,0.42,0.43,0.0523,0.0369,-0.0369
0.435,0.43,0.44,0.1109,0.0387,-0.0387
0.445,0.44,0.45,0.0336,0.0337,-0.0337
0.455,0.45,0.46,0.114,0.0665,-0.0665
0.46499999999999997,0.46,0.47,0.091,0.065,-0.065
0.475,0.47,0.48,0.1824,0.0494,-0.0494
0.485,0.48,0.49,0.1916,0.0597,-0.0597
0.495,0.49,0.5,0.1679,0.0707,-0.0707
0.505,0.5,0.51,0.2385,0.0864,-0.0864
0.515,0.51,0.52,0.102,0.1157,-0.1157
0.525,0.52,0.53,0.0952,0.063,-0.063
0.535,0.53,0.54,0.1117,0.0929,-0.0929
0.545,0.54,0.55,0.2061,0.1006,-0.1006
0.555,0.55,0.56,0.1522,0.0944,-0.0944
0.565,0.56,0.57,0.1871,0.1082,-0.1082
0.575,0.57,0.58,0.2431,0.0768,-0.0768
0.585,0.58,0.59,0.2032,0.0832,-0.0832
0.595,0.59,0.6,0.3519,0.0936,-0.0936
0.605,0.6,0.61,0.2142,0.0866,-0.0866
0.615,0.61,0.62,0.123,0.0986,-0.0986
0.625,0.62,0.63,0.3224,0.1177,-0.1177
0.635,0.63,0.64,0.255,0.1075,-0.1075
0.645,0.64,0.65,0.1583,0.131,-0.131
0.655,0.65,0.66,0.2865,0.1269,-0.1269
0.665,0.66,0.67,0.1744,0.1535,-0.1535
0.675,0.67,0.68,0.1862,0.1123,-0.1123
0.685,0.68,0.69,0.2177,0.1214,-0.1214
0.695,0.69,0.7,0.1767,0.1282,-0.1282
0.705,0.7,0.71,0.04,0.1304,-0.1304
0.715,0.71,0.72,-0.0822,-0.1487,0.1487
0.725,0.72,0.73,-0.1766,-0.1553,0.1553
0.735,0.73,0.74,-0.1504,-0.1978,0.1978
0.745,0.74,0.75,0.1406,0.1584,-0.1584
0.755,0.75,0.76,-0.5097,-0.1524,0.1524
0.765,0.76,0.77,-0.3229,-0.1496,0.1496
0.775,0.77,0.78,-0.3629,-0.3067,0.3067
0.785,0.78,0.79,-0.1291,-0.1982,0.1982
0.795,0.79,0.8,-0.0429,-0.1466,0.1466
0.805,0.8,0.81,-0.2108,-0.1625,0.1625
0.815,0.81,0.82,-0.2653,-0.1487,0.1487
0.825,0.82,0.83,-0.2272,-0.1575,0.1575
0.835,0.83,0.84,-0.2179,-0.1725,0.1725
0.845,0.84,0.85,-0.1734,-0.1463,0.1463
0.855,0.85,0.86,-0.3562,-0.1214,0.1214
0.865,0.86,0.87,-0.2301,-0.1279,0.1279
0.875,0.87,0.88,-0.3284,-0.125,0.125
0.885,0.88,0.89,-0.1483,-0.1646,0.1646
0.895,0.89,0.9,-0.2574,-0.1227,0.1227
0.905,0.9,0.91,-0.1863,-0.123,0.123
0.915,0.91,0.92,-0.1287,-0.1341,0.1341
0.925,0.92,0.93,-0.1786,-0.1116,0.1116
0.935,0.93,0.94,-0.2934,-0.0826,0.0826
