#: table_doi: 10.17182/hepdata.74824.v1/t167
#: name: Table 167
#: description: Fp wave cross section for -T.

#: data_file: Table167.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.029,0.0249,-0.0249
0.415,0.41,0.42,0.0334,0.0287,-0.0287
0.425,0.42,0.43,0.038,0.0325,-0.0325
0.435,0.43,0.44,0.0427,0.0364,-0.0364
0.445,0.44,0.45,0.0475,0.0404,-0.0404
0.455,0.45,0.46,0.0524,0.0444,-0.0444
0.46499999999999997,0.46,0.47,0.0573,0.0484,-0.0484
0.475,0.47,0.48,0.0623,0.0524,-0.0524
0.485,0.48,0.49,0.0672,0.0563,-0.0563
0.495,0.49,0.5,0.0721,0.0602,-0.0602
0.505,0.5,0.51,0.0769,0.064,-0.064
0.515,0.51,0.52,0.0817,0.0677,-0.0677
0.525,0.52,0.53,0.0865,0.0713,-0.0713
0.535,0.53,0.54,0.0911,0.0748,-0.0748
0.545,0.54,0.55,0.0956,0.0781,-0.0781
0.555,0.55,0.56,0.1,0.0813,-0.0813
0.565,0.56,0.57,0.1044,0.0844,-0.0844
0.575,0.57,0.58,0.1086,0.0873,-0.0873
0.585,0.58,0.59,0.1126,0.09,-0.09
0.595,0.59,0.6,0.1166,0.0925,-0.0925
0.605,0.6,0.61,0.1203,0.0949,-0.0949
0.615,0.61,0.62,0.124,0.0972,-0.0972
0.625,0.62,0.63,0.1275,0.0992,-0.0992
0.635,0.63,0.64,0.1309,0.101,-0.101
0.645,0.64,0.65,0.1341,0.1027,-0.1027
0.655,0.65,0.66,0.1371,0.1042,-0.1042
0.665,0.66,0.67,0.1401,0.1055,-0.1055
0.675,0.67,0.68,0.1428,0.1066,-0.1066
0.685,0.68,0.69,0.1454,0.1075,-0.1075
0.695,0.69,0.7,0.1479,0.1082,-0.1082
0.705,0.7,0.71,0.1502,0.1087,-0.1087
0.715,0.71,0.72,0.1524,0.1091,-0.1091
0.725,0.72,0.73,0.1544,0.1092,-0.1092
0.735,0.73,0.74,0.1563,0.1092,-0.1092
0.745,0.74,0.75,0.1581,0.109,-0.109
0.755,0.75,0.76,0.1597,0.1086,-0.1086
0.765,0.76,0.77,0.1612,0.1081,-0.1081
0.775,0.77,0.78,0.1626,0.1074,-0.1074
0.785,0.78,0.79,0.1639,0.1065,-0.1065
0.795,0.79,0.8,0.165,0.1054,-0.1054
0.805,0.8,0.81,0.1661,0.1043,-0.1043
0.815,0.81,0.82,0.167,0.1029,-0.1029
0.825,0.82,0.83,0.1679,0.1015,-0.1015
0.835,0.83,0.84,0.1686,0.0999,-0.0999
0.845,0.84,0.85,0.1693,0.0982,-0.0982
0.855,0.85,0.86,0.1699,0.0963,-0.0963
0.865,0.86,0.87,0.1704,0.0944,-0.0944
0.875,0.87,0.88,0.1709,0.0924,-0.0924
0.885,0.88,0.89,0.1713,0.0904,-0.0904
0.895,0.89,0.9,0.1717,0.0882,-0.0882
0.905,0.9,0.91,0.172,0.0861,-0.0861
0.915,0.91,0.92,0.1723,0.0839,-0.0839
0.925,0.92,0.93,0.1726,0.0817,-0.0817
0.935,0.93,0.94,0.1729,0.0796,-0.0796
0.945,0.94,0.95,0.1732,0.0775,-0.0775
0.955,0.95,0.96,0.1735,0.0755,-0.0755
0.965,0.96,0.97,0.1738,0.0736,-0.0736
0.975,0.97,0.98,0.1742,0.0718,-0.0718
0.985,0.98,0.99,0.1746,0.0702,-0.0702
0.995,0.99,1.0,0.175,0.0688,-0.0688
1.005,1.0,1.01,0.1755,0.0677,-0.0677
1.0150000000000001,1.01,1.02,0.1761,0.0669,-0.0669
1.025,1.02,1.03,0.1768,0.0663,-0.0663
1.0350000000000001,1.03,1.04,0.1776,0.0661,-0.0661
1.045,1.04,1.05,0.1786,0.0663,-0.0663
1.0550000000000002,1.05,1.06,0.1796,0.0668,-0.0668
1.065,1.06,1.07,0.1808,0.0677,-0.0677
1.0750000000000002,1.07,1.08,0.1822,0.0689,-0.0689
1.085,1.08,1.09,0.1837,0.0705,-0.0705
1.0950000000000002,1.09,1.1,0.1854,0.0725,-0.0725
1.105,1.1,1.11,0.1873,0.0747,-0.0747
1.1150000000000002,1.11,1.12,0.1895,0.0773,-0.0773
1.125,1.12,1.13,0.1919,0.0801,-0.0801
1.1349999999999998,1.13,1.14,0.1945,0.0831,-0.0831
1.145,1.14,1.15,0.1974,0.0863,-0.0863
1.1549999999999998,1.15,1.16,0.2006,0.0897,-0.0897
1.165,1.16,1.17,0.2041,0.0933,-0.0933
1.1749999999999998,1.17,1.18,0.2079,0.097,-0.097
1.185,1.18,1.19,0.2121,0.1008,-0.1008
1.1949999999999998,1.19,1.2,0.2166,0.1046,-0.1046
1.205,1.2,1.21,0.2215,0.1086,-0.1086
1.2149999999999999,1.21,1.22,0.2267,0.1126,-0.1126
1.225,1.22,1.23,0.2325,0.1166,-0.1166
1.2349999999999999,1.23,1.24,0.2386,0.1207,-0.1207
1.245,1.24,1.25,0.2452,0.1248,-0.1248
1.255,1.25,1.26,0.2523,0.129,-0.129
1.2650000000000001,1.26,1.27,0.2598,0.1331,-0.1331
1.275,1.27,1.28,0.2679,0.1372,-0.1372
1.2850000000000001,1.28,1.29,0.2766,0.1413,-0.1413
1.295,1.29,1.3,0.2858,0.1455,-0.1455
1.3050000000000002,1.3,1.31,0.2956,0.1496,-0.1496
1.315,1.31,1.32,0.306,0.1537,-0.1537
1.3250000000000002,1.32,1.33,0.317,0.1579,-0.1579
