#: table_doi: 10.17182/hepdata.74824.v1/t177
#: name: Table 177
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table177.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,-0.0057,0.0226,-0.0226
0.415,0.41,0.42,-0.0118,0.0202,-0.0202
0.425,0.42,0.43,-0.0154,0.0217,-0.0217
0.435,0.43,0.44,-0.0171,0.0251,-0.0251
0.445,0.44,0.45,-0.0171,0.0289,-0.0289
0.455,0.45,0.46,-0.0159,0.0324,-0.0324
0.46499999999999997,0.46,0.47,-0.0138,0.0353,-0.0353
0.475,0.47,0.48,-0.0111,0.0377,-0.0377
0.485,0.48,0.49,-0.008,0.0394,-0.0394
0.495,0.49,0.5,-0.0047,0.0405,-0.0405
0.505,0.5,0.51,-0.0014,0.041,-0.041
0.515,0.51,0.52,0.0018,0.0409,-0.0409
0.525,0.52,0.53,0.0049,0.0403,-0.0403
0.535,0.53,0.54,0.0077,0.0391,-0.0391
0.545,0.54,0.55,0.0103,0.0375,-0.0375
0.555,0.55,0.56,0.0127,0.0354,-0.0354
0.565,0.56,0.57,0.0148,0.0329,-0.0329
0.575,0.57,0.58,0.0166,0.0302,-0.0302
0.585,0.58,0.59,0.0182,0.0272,-0.0272
0.595,0.59,0.6,0.0196,0.0242,-0.0242
0.605,0.6,0.61,0.0209,0.0212,-0.0212
0.615,0.61,0.62,0.0221,0.0183,-0.0183
0.625,0.62,0.63,0.0233,0.0156,-0.0156
0.635,0.63,0.64,0.0244,0.0133,-0.0133
0.645,0.64,0.65,0.0257,0.0114,-0.0114
0.655,0.65,0.66,0.027,0.01,-0.01
0.665,0.66,0.67,0.0285,0.0092,-0.0092
0.675,0.67,0.68,0.0302,0.0088,-0.0088
0.685,0.68,0.69,0.0321,0.0086,-0.0086
0.695,0.69,0.7,0.0343,0.0086,-0.0086
0.705,0.7,0.71,0.0368,0.0087,-0.0087
0.715,0.71,0.72,0.0395,0.0086,-0.0086
0.725,0.72,0.73,0.0426,0.0085,-0.0085
0.735,0.73,0.74,0.0459,0.0084,-0.0084
0.745,0.74,0.75,0.0495,0.0082,-0.0082
