#: table_doi: 10.17182/hepdata.74824.v1/t182
#: name: Table 182
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table182.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0459,0.0332,-0.0332
0.415,0.41,0.42,-0.0408,0.031,-0.031
0.425,0.42,0.43,-0.0357,0.0291,-0.0291
0.435,0.43,0.44,-0.0307,0.0274,-0.0274
0.445,0.44,0.45,-0.0258,0.0258,-0.0258
0.455,0.45,0.46,-0.0212,0.0245,-0.0245
0.46499999999999997,0.46,0.47,-0.0167,0.0233,-0.0233
0.475,0.47,0.48,-0.0126,0.0223,-0.0223
0.485,0.48,0.49,-0.0086,0.0213,-0.0213
0.495,0.49,0.5,-0.0049,0.0203,-0.0203
0.505,0.5,0.51,-0.0015,0.0194,-0.0194
0.515,0.51,0.52,0.0018,0.0184,-0.0184
0.525,0.52,0.53,0.0047,0.0174,-0.0174
0.535,0.53,0.54,0.0075,0.0164,-0.0164
0.545,0.54,0.55,0.0099,0.0154,-0.0154
0.555,0.55,0.56,0.0121,0.0144,-0.0144
0.565,0.56,0.57,0.0139,0.0134,-0.0134
0.575,0.57,0.58,0.0154,0.0125,-0.0125
0.585,0.58,0.59,0.0165,0.0117,-0.0117
0.595,0.59,0.6,0.0171,0.0112,-0.0112
0.605,0.6,0.61,0.0173,0.0109,-0.0109
0.615,0.61,0.62,0.0168,0.0109,-0.0109
0.625,0.62,0.63,0.0158,0.0111,-0.0111
0.635,0.63,0.64,0.0142,0.0114,-0.0114
0.645,0.64,0.65,0.0119,0.0119,-0.0119
0.655,0.65,0.66,0.0089,0.0124,-0.0124
0.665,0.66,0.67,0.0053,0.0128,-0.0128
0.675,0.67,0.68,0.001,0.0131,-0.0131
0.685,0.68,0.69,-0.0039,0.0133,-0.0133
0.695,0.69,0.7,-0.0094,0.0134,-0.0134
0.705,0.7,0.71,-0.0153,0.0133,-0.0133
0.715,0.71,0.72,-0.0217,0.013,-0.013
0.725,0.72,0.73,-0.0284,0.0127,-0.0127
0.735,0.73,0.74,-0.0353,0.0122,-0.0122
0.745,0.74,0.75,-0.0423,0.0116,-0.0116
0.755,0.75,0.76,-0.0491,0.011,-0.011
0.765,0.76,0.77,-0.0558,0.0103,-0.0103
0.775,0.77,0.78,-0.0621,0.0096,-0.0096
0.785,0.78,0.79,-0.068,0.009,-0.009
0.795,0.79,0.8,-0.0734,0.0085,-0.0085
0.805,0.8,0.81,-0.0781,0.008,-0.008
0.815,0.81,0.82,-0.0822,0.0077,-0.0077
0.825,0.82,0.83,-0.0856,0.0075,-0.0075
0.835,0.83,0.84,-0.0884,0.0075,-0.0075
0.845,0.84,0.85,-0.0905,0.0075,-0.0075
0.855,0.85,0.86,-0.092,0.0077,-0.0077
0.865,0.86,0.87,-0.093,0.008,-0.008
0.875,0.87,0.88,-0.0935,0.0084,-0.0084
0.885,0.88,0.89,-0.0937,0.0089,-0.0089
0.895,0.89,0.9,-0.0935,0.0094,-0.0094
0.905,0.9,0.91,-0.0932,0.0099,-0.0099
0.915,0.91,0.92,-0.0926,0.0105,-0.0105
0.925,0.92,0.93,-0.0921,0.0111,-0.0111
0.935,0.93,0.94,-0.0915,0.0117,-0.0117
0.945,0.94,0.95,-0.0911,0.0124,-0.0124
0.955,0.95,0.96,-0.091,0.0132,-0.0132
0.965,0.96,0.97,-0.0914,0.0141,-0.0141
0.975,0.97,0.98,-0.093,0.0152,-0.0152
0.985,0.98,0.99,-0.0982,0.017,-0.017
0.995,0.99,1.0,-0.1041,0.0176,-0.0176
1.005,1.0,1.01,-0.1085,0.0191,-0.0191
1.0150000000000001,1.01,1.02,-0.1116,0.0206,-0.0206
1.025,1.02,1.03,-0.1138,0.0221,-0.0221
1.0350000000000001,1.03,1.04,-0.1153,0.0234,-0.0234
1.045,1.04,1.05,-0.1162,0.0245,-0.0245
1.0550000000000002,1.05,1.06,-0.1166,0.0255,-0.0255
1.065,1.06,1.07,-0.1165,0.0264,-0.0264
1.0750000000000002,1.07,1.08,-0.116,0.027,-0.027
1.085,1.08,1.09,-0.1152,0.0275,-0.0275
1.0950000000000002,1.09,1.1,-0.1141,0.0278,-0.0278
1.105,1.1,1.11,-0.1127,0.0279,-0.0279
1.1150000000000002,1.11,1.12,-0.1112,0.0279,-0.0279
1.125,1.12,1.13,-0.1094,0.0277,-0.0277
1.1349999999999998,1.13,1.14,-0.1075,0.0274,-0.0274
1.145,1.14,1.15,-0.1053,0.0269,-0.0269
1.1549999999999998,1.15,1.16,-0.103,0.0263,-0.0263
1.165,1.16,1.17,-0.1005,0.0256,-0.0256
1.1749999999999998,1.17,1.18,-0.0978,0.0247,-0.0247
1.185,1.18,1.19,-0.0949,0.0237,-0.0237
1.1949999999999998,1.19,1.2,-0.0918,0.0226,-0.0226
1.205,1.2,1.21,-0.0887,0.0213,-0.0213
