#: table_doi: 10.17182/hepdata.74824.v1/t188
#: name: Table 188
#: description: Spin density matrix elements for the interference between the S- and P-waves for -T.

#: data_file: Table188.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.405,0.4,0.41,-0.0516,0.0262,-0.0262
0.415,0.41,0.42,-0.0667,0.0221,-0.0221
0.425,0.42,0.43,-0.0802,0.0195,-0.0195
0.435,0.43,0.44,-0.0921,0.0188,-0.0188
0.445,0.44,0.45,-0.1022,0.0193,-0.0193
0.455,0.45,0.46,-0.1107,0.0205,-0.0205
0.46499999999999997,0.46,0.47,-0.1176,0.0217,-0.0217
0.475,0.47,0.48,-0.123,0.0226,-0.0226
0.485,0.48,0.49,-0.127,0.0231,-0.0231
0.495,0.49,0.5,-0.1299,0.0231,-0.0231
0.505,0.5,0.51,-0.1317,0.0226,-0.0226
0.515,0.51,0.52,-0.1326,0.0216,-0.0216
0.525,0.52,0.53,-0.1329,0.0203,-0.0203
0.535,0.53,0.54,-0.1326,0.0188,-0.0188
0.545,0.54,0.55,-0.132,0.0172,-0.0172
0.555,0.55,0.56,-0.1311,0.0158,-0.0158
0.565,0.56,0.57,-0.1302,0.0146,-0.0146
0.575,0.57,0.58,-0.1293,0.0138,-0.0138
0.585,0.58,0.59,-0.1285,0.0136,-0.0136
0.595,0.59,0.6,-0.128,0.0137,-0.0137
0.605,0.6,0.61,-0.1276,0.0142,-0.0142
0.615,0.61,0.62,-0.1274,0.0148,-0.0148
0.625,0.62,0.63,-0.1274,0.0154,-0.0154
0.635,0.63,0.64,-0.1275,0.0159,-0.0159
0.645,0.64,0.65,-0.1276,0.0162,-0.0162
0.655,0.65,0.66,-0.1275,0.0163,-0.0163
0.665,0.66,0.67,-0.1271,0.0162,-0.0162
0.675,0.67,0.68,-0.1262,0.0159,-0.0159
0.685,0.68,0.69,-0.1248,0.0154,-0.0154
0.695,0.69,0.7,-0.1226,0.0148,-0.0148
0.705,0.7,0.71,-0.1196,0.0142,-0.0142
0.715,0.71,0.72,-0.1156,0.0135,-0.0135
0.725,0.72,0.73,-0.1107,0.013,-0.013
0.735,0.73,0.74,-0.1048,0.0125,-0.0125
0.745,0.74,0.75,-0.0981,0.0122,-0.0122
0.755,0.75,0.76,-0.0905,0.0119,-0.0119
0.765,0.76,0.77,-0.0824,0.0117,-0.0117
0.775,0.77,0.78,-0.0739,0.0115,-0.0115
0.785,0.78,0.79,-0.0652,0.0112,-0.0112
0.795,0.79,0.8,-0.0566,0.0109,-0.0109
0.805,0.8,0.81,-0.0483,0.0106,-0.0106
0.815,0.81,0.82,-0.0407,0.0103,-0.0103
0.825,0.82,0.83,-0.0338,0.01,-0.01
0.835,0.83,0.84,-0.028,0.0097,-0.0097
0.845,0.84,0.85,-0.0233,0.0095,-0.0095
0.855,0.85,0.86,-0.0198,0.0095,-0.0095
0.865,0.86,0.87,-0.0176,0.0095,-0.0095
0.875,0.87,0.88,-0.0167,0.0095,-0.0095
0.885,0.88,0.89,-0.0171,0.0095,-0.0095
0.895,0.89,0.9,-0.0187,0.0096,-0.0096
0.905,0.9,0.91,-0.0215,0.0096,-0.0096
0.915,0.91,0.92,-0.0253,0.0096,-0.0096
0.925,0.92,0.93,-0.03,0.0096,-0.0096
0.935,0.93,0.94,-0.0355,0.0097,-0.0097
0.945,0.94,0.95,-0.0417,0.01,-0.01
0.955,0.95,0.96,-0.0483,0.0104,-0.0104
0.965,0.96,0.97,-0.0545,0.0113,-0.0113
0.975,0.97,0.98,-0.0582,0.0134,-0.0134
0.985,0.98,0.99,-0.0489,0.0228,-0.0228
0.995,0.99,1.0,-0.0474,0.021,-0.021
1.005,1.0,1.01,-0.0513,0.0171,-0.0171
1.0150000000000001,1.01,1.02,-0.0531,0.0174,-0.0174
1.025,1.02,1.03,-0.0547,0.0182,-0.0182
1.0350000000000001,1.03,1.04,-0.0562,0.0191,-0.0191
1.045,1.04,1.05,-0.0577,0.0201,-0.0201
1.0550000000000002,1.05,1.06,-0.0591,0.0211,-0.0211
1.065,1.06,1.07,-0.0602,0.022,-0.022
1.0750000000000002,1.07,1.08,-0.0611,0.023,-0.023
1.085,1.08,1.09,-0.0615,0.0239,-0.0239
1.0950000000000002,1.09,1.1,-0.0616,0.0248,-0.0248
1.105,1.1,1.11,-0.0613,0.0257,-0.0257
1.1150000000000002,1.11,1.12,-0.0605,0.0266,-0.0266
1.125,1.12,1.13,-0.0592,0.0274,-0.0274
1.1349999999999998,1.13,1.14,-0.0574,0.0281,-0.0281
1.145,1.14,1.15,-0.0551,0.0287,-0.0287
1.1549999999999998,1.15,1.16,-0.0522,0.0292,-0.0292
1.165,1.16,1.17,-0.0489,0.0295,-0.0295
1.1749999999999998,1.17,1.18,-0.0451,0.0296,-0.0296
1.185,1.18,1.19,-0.0409,0.0295,-0.0295
1.1949999999999998,1.19,1.2,-0.0364,0.0292,-0.0292
1.205,1.2,1.21,-0.0318,0.0287,-0.0287
1.2149999999999999,1.21,1.22,-0.0272,0.0281,-0.0281
1.225,1.22,1.23,-0.023,0.0274,-0.0274
1.2349999999999999,1.23,1.24,-0.0194,0.0267,-0.0267
1.245,1.24,1.25,-0.0168,0.0262,-0.0262
1.255,1.25,1.26,-0.0152,0.0258,-0.0258
1.2650000000000001,1.26,1.27,-0.0148,0.0257,-0.0257
1.275,1.27,1.28,-0.0155,0.0259,-0.0259
1.2850000000000001,1.28,1.29,-0.017,0.0264,-0.0264
1.295,1.29,1.3,-0.0189,0.0272,-0.0272
1.3050000000000002,1.3,1.31,-0.0209,0.0283,-0.0283
1.315,1.31,1.32,-0.0227,0.0296,-0.0296
1.3250000000000002,1.32,1.33,-0.0241,0.0311,-0.0311
1.335,1.33,1.34,-0.0251,0.0325,-0.0325
1.3450000000000002,1.34,1.35,-0.0255,0.0339,-0.0339
1.355,1.35,1.36,-0.0256,0.0351,-0.0351
1.3650000000000002,1.36,1.37,-0.0254,0.0359,-0.0359
1.375,1.37,1.38,-0.0253,0.0364,-0.0364
1.3849999999999998,1.38,1.39,-0.0255,0.0365,-0.0365
1.395,1.39,1.4,-0.0264,0.0365,-0.0365

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.405,0.4,0.41,0.005,0.0232,-0.0232
0.415,0.41,0.42,-0.0195,0.0231,-0.0231
0.425,0.42,0.43,-0.0422,0.0232,-0.0232
0.435,0.43,0.44,-0.0623,0.0235,-0.0235
0.445,0.44,0.45,-0.0796,0.0239,-0.0239
0.455,0.45,0.46,-0.0937,0.0242,-0.0242
0.46499999999999997,0.46,0.47,-0.1049,0.0243,-0.0243
0.475,0.47,0.48,-0.1131,0.0241,-0.0241
0.485,0.48,0.49,-0.1187,0.0236,-0.0236
0.495,0.49,0.5,-0.1221,0.0228,-0.0228
0.505,0.5,0.51,-0.1236,0.0218,-0.0218
0.515,0.51,0.52,-0.1237,0.0206,-0.0206
0.525,0.52,0.53,-0.1226,0.0194,-0.0194
0.535,0.53,0.54,-0.1208,0.0182,-0.0182
0.545,0.54,0.55,-0.1186,0.017,-0.017
0.555,0.55,0.56,-0.1162,0.0159,-0.0159
0.565,0.56,0.57,-0.1138,0.0149,-0.0149
0.575,0.57,0.58,-0.1117,0.014,-0.014
0.585,0.58,0.59,-0.1101,0.0133,-0.0133
0.595,0.59,0.6,-0.1088,0.0129,-0.0129
0.605,0.6,0.61,-0.1081,0.0128,-0.0128
0.615,0.61,0.62,-0.1079,0.0129,-0.0129
0.625,0.62,0.63,-0.1082,0.0134,-0.0134
0.635,0.63,0.64,-0.1088,0.014,-0.014
0.645,0.64,0.65,-0.1096,0.0147,-0.0147
0.655,0.65,0.66,-0.1105,0.0155,-0.0155
0.665,0.66,0.67,-0.1112,0.0162,-0.0162
0.675,0.67,0.68,-0.1117,0.0167,-0.0167
0.685,0.68,0.69,-0.1117,0.0171,-0.0171
0.695,0.69,0.7,-0.1111,0.0172,-0.0172
0.705,0.7,0.71,-0.1097,0.0171,-0.0171
0.715,0.71,0.72,-0.1075,0.0167,-0.0167
0.725,0.72,0.73,-0.1043,0.0161,-0.0161
0.735,0.73,0.74,-0.1002,0.0153,-0.0153
0.745,0.74,0.75,-0.0951,0.0144,-0.0144
0.755,0.75,0.76,-0.0892,0.0136,-0.0136
0.765,0.76,0.77,-0.0826,0.0127,-0.0127
0.775,0.77,0.78,-0.0754,0.012,-0.012
0.785,0.78,0.79,-0.0678,0.0115,-0.0115
0.795,0.79,0.8,-0.06,0.0111,-0.0111
0.805,0.8,0.81,-0.0522,0.0109,-0.0109
