#: table_doi: 10.17182/hepdata.74824.v1/t96
#: name: Table 96
#: description: S wave cross section for -T.

#: data_file: Table96.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1413,0.1114,-0.1114
0.415,0.41,0.42,0.1536,0.1183,-0.1183
0.425,0.42,0.43,0.1686,0.126,-0.126
0.435,0.43,0.44,0.1857,0.1345,-0.1345
0.445,0.44,0.45,0.2043,0.1433,-0.1433
0.455,0.45,0.46,0.2238,0.1522,-0.1522
0.46499999999999997,0.46,0.47,0.2434,0.1608,-0.1608
0.475,0.47,0.48,0.2624,0.1688,-0.1688
0.485,0.48,0.49,0.2801,0.1759,-0.1759
0.495,0.49,0.5,0.2959,0.182,-0.182
0.505,0.5,0.51,0.3093,0.1869,-0.1869
0.515,0.51,0.52,0.32,0.1905,-0.1905
0.525,0.52,0.53,0.3276,0.193,-0.193
0.535,0.53,0.54,0.3321,0.1943,-0.1943
0.545,0.54,0.55,0.3337,0.1947,-0.1947
0.555,0.55,0.56,0.3324,0.1941,-0.1941
0.565,0.56,0.57,0.3286,0.1929,-0.1929
0.575,0.57,0.58,0.3226,0.1912,-0.1912
0.585,0.58,0.59,0.3149,0.1891,-0.1891
0.595,0.59,0.6,0.3058,0.1867,-0.1867
0.605,0.6,0.61,0.2959,0.1843,-0.1843
0.615,0.61,0.62,0.2854,0.1818,-0.1818
0.625,0.62,0.63,0.2749,0.1792,-0.1792
0.635,0.63,0.64,0.2647,0.1767,-0.1767
0.645,0.64,0.65,0.2551,0.1741,-0.1741
0.655,0.65,0.66,0.2464,0.1715,-0.1715
0.665,0.66,0.67,0.2388,0.1689,-0.1689
0.675,0.67,0.68,0.2326,0.1663,-0.1663
0.685,0.68,0.69,0.2278,0.1636,-0.1636
0.695,0.69,0.7,0.2247,0.1608,-0.1608
0.705,0.7,0.71,0.2232,0.158,-0.158
0.715,0.71,0.72,0.2234,0.1552,-0.1552
0.725,0.72,0.73,0.2254,0.1524,-0.1524
0.735,0.73,0.74,0.229,0.1497,-0.1497
0.745,0.74,0.75,0.2343,0.1471,-0.1471
0.755,0.75,0.76,0.2412,0.1448,-0.1448
0.765,0.76,0.77,0.2495,0.1428,-0.1428
0.775,0.77,0.78,0.2593,0.1412,-0.1412
0.785,0.78,0.79,0.2702,0.1401,-0.1401
0.795,0.79,0.8,0.2823,0.1396,-0.1396
0.805,0.8,0.81,0.2953,0.1397,-0.1397
0.815,0.81,0.82,0.309,0.1405,-0.1405
0.825,0.82,0.83,0.3232,0.142,-0.142
0.835,0.83,0.84,0.3378,0.1441,-0.1441
0.845,0.84,0.85,0.3524,0.147,-0.147
0.855,0.85,0.86,0.3669,0.1504,-0.1504
0.865,0.86,0.87,0.3809,0.1543,-0.1543
0.875,0.87,0.88,0.3942,0.1588,-0.1588
0.885,0.88,0.89,0.4064,0.1637,-0.1637
0.895,0.89,0.9,0.4171,0.1691,-0.1691
0.905,0.9,0.91,0.4259,0.1749,-0.1749
0.915,0.91,0.92,0.4324,0.1813,-0.1813
0.925,0.92,0.93,0.4358,0.1885,-0.1885
0.935,0.93,0.94,0.4353,0.197,-0.197
0.945,0.94,0.95,0.4297,0.2077,-0.2077
0.955,0.95,0.96,0.4169,0.2221,-0.2221
0.965,0.96,0.97,0.3928,0.2434,-0.2434
0.975,0.97,0.98,0.3467,0.2763,-0.2763
0.985,0.98,0.99,0.2438,0.3141,-0.3141
0.995,0.99,1.0,0.147,0.1904,-0.1904
1.005,1.0,1.01,0.0884,0.1159,-0.1159
1.0150000000000001,1.01,1.02,0.0619,0.0862,-0.0862
1.025,1.02,1.03,0.0552,0.0753,-0.0753
1.0350000000000001,1.03,1.04,0.0623,0.0762,-0.0762
1.045,1.04,1.05,0.0798,0.0841,-0.0841
1.0550000000000002,1.05,1.06,0.1053,0.0958,-0.0958
1.065,1.06,1.07,0.1368,0.1094,-0.1094
1.0750000000000002,1.07,1.08,0.173,0.124,-0.124
1.085,1.08,1.09,0.2125,0.1391,-0.1391
1.0950000000000002,1.09,1.1,0.2543,0.1546,-0.1546
1.105,1.1,1.11,0.2973,0.17,-0.17
1.1150000000000002,1.11,1.12,0.3408,0.1854,-0.1854
1.125,1.12,1.13,0.3839,0.2006,-0.2006
1.1349999999999998,1.13,1.14,0.4259,0.2154,-0.2154
1.145,1.14,1.15,0.4662,0.2297,-0.2297
1.1549999999999998,1.15,1.16,0.5043,0.2434,-0.2434
1.165,1.16,1.17,0.5394,0.2563,-0.2563
1.1749999999999998,1.17,1.18,0.5713,0.2683,-0.2683
1.185,1.18,1.19,0.5994,0.2793,-0.2793
1.1949999999999998,1.19,1.2,0.6234,0.2892,-0.2892
1.205,1.2,1.21,0.643,0.2979,-0.2979
1.2149999999999999,1.21,1.22,0.6578,0.3053,-0.3053
1.225,1.22,1.23,0.6678,0.3114,-0.3114
1.2349999999999999,1.23,1.24,0.6726,0.3162,-0.3162
1.245,1.24,1.25,0.6724,0.3195,-0.3195
1.255,1.25,1.26,0.6669,0.3214,-0.3214
1.2650000000000001,1.26,1.27,0.6564,0.3218,-0.3218
1.275,1.27,1.28,0.6408,0.3207,-0.3207
1.2850000000000001,1.28,1.29,0.6204,0.3182,-0.3182
1.295,1.29,1.3,0.5954,0.3143,-0.3143
1.3050000000000002,1.3,1.31,0.5663,0.3091,-0.3091
1.315,1.31,1.32,0.5334,0.3026,-0.3026
1.3250000000000002,1.32,1.33,0.4973,0.2948,-0.2948
1.335,1.33,1.34,0.4586,0.286,-0.286
1.3450000000000002,1.34,1.35,0.4181,0.2762,-0.2762
1.355,1.35,1.36,0.3767,0.2655,-0.2655
1.3650000000000002,1.36,1.37,0.3352,0.2541,-0.2541
1.375,1.37,1.38,0.295,0.2423,-0.2423
1.3849999999999998,1.38,1.39,0.2571,0.2305,-0.2305
1.395,1.39,1.4,0.223,0.2191,-0.2191

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0852,0.0862,-0.0862
0.415,0.41,0.42,0.0881,0.0881,-0.0881
0.425,0.42,0.43,0.0936,0.0914,-0.0914
0.435,0.43,0.44,0.1015,0.0957,-0.0957
0.445,0.44,0.45,0.1113,0.1003,-0.1003
0.455,0.45,0.46,0.1227,0.1051,-0.1051
0.46499999999999997,0.46,0.47,0.135,0.1099,-0.1099
0.475,0.47,0.48,0.1476,0.1147,-0.1147
0.485,0.48,0.49,0.16,0.1192,-0.1192
0.495,0.49,0.5,0.1716,0.1233,-0.1233
0.505,0.5,0.51,0.1818,0.1271,-0.1271
0.515,0.51,0.52,0.1904,0.1303,-0.1303
0.525,0.52,0.53,0.1968,0.1328,-0.1328
0.535,0.53,0.54,0.2011,0.1347,-0.1347
0.545,0.54,0.55,0.2031,0.1359,-0.1359
0.555,0.55,0.56,0.2028,0.1364,-0.1364
0.565,0.56,0.57,0.2004,0.1363,-0.1363
0.575,0.57,0.58,0.1961,0.1355,-0.1355
0.585,0.58,0.59,0.1902,0.1341,-0.1341
0.595,0.59,0.6,0.1829,0.1323,-0.1323
0.605,0.6,0.61,0.1747,0.13,-0.13
0.615,0.61,0.62,0.1658,0.1273,-0.1273
0.625,0.62,0.63,0.1567,0.1244,-0.1244
0.635,0.63,0.64,0.1475,0.1212,-0.1212
0.645,0.64,0.65,0.1387,0.1179,-0.1179
0.655,0.65,0.66,0.1306,0.1146,-0.1146
0.665,0.66,0.67,0.1232,0.1113,-0.1113
0.675,0.67,0.68,0.117,0.1081,-0.1081
0.685,0.68,0.69,0.112,0.1051,-0.1051
0.695,0.69,0.7,0.1084,0.1023,-0.1023
0.705,0.7,0.71,0.1064,0.0999,-0.0999
0.715,0.71,0.72,0.1061,0.0979,-0.0979
0.725,0.72,0.73,0.1074,0.0965,-0.0965
0.735,0.73,0.74,0.1105,0.0956,-0.0956
0.745,0.74,0.75,0.1154,0.0954,-0.0954
0.755,0.75,0.76,0.1221,0.0959,-0.0959
0.765,0.76,0.77,0.1305,0.0972,-0.0972
0.775,0.77,0.78,0.1407,0.0992,-0.0992
0.785,0.78,0.79,0.1526,0.102,-0.102
0.795,0.79,0.8,0.166,0.1056,-0.1056
0.805,0.8,0.81,0.1809,0.1099,-0.1099
0.815,0.81,0.82,0.1973,0.1149,-0.1149
0.825,0.82,0.83,0.2149,0.1206,-0.1206
0.835,0.83,0.84,0.2336,0.127,-0.127
0.845,0.84,0.85,0.2534,0.1341,-0.1341
0.855,0.85,0.86,0.2739,0.142,-0.142
0.865,0.86,0.87,0.295,0.1506,-0.1506
0.875,0.87,0.88,0.3166,0.1601,-0.1601
0.885,0.88,0.89,0.3383,0.1706,-0.1706
0.895,0.89,0.9,0.3599,0.1823,-0.1823
0.905,0.9,0.91,0.381,0.1955,-0.1955
0.915,0.91,0.92,0.4013,0.2107,-0.2107
0.925,0.92,0.93,0.4201,0.2286,-0.2286
0.935,0.93,0.94,0.4368,0.2504,-0.2504
