#: table_doi: 10.17182/hepdata.74824.v1/t98
#: name: Table 98
#: description: P wave cross section for -T.

#: data_file: Table98.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.484,0.1425,-0.1425
0.415,0.41,0.42,0.5267,0.1555,-0.1555
0.425,0.42,0.43,0.571,0.1687,-0.1687
0.435,0.43,0.44,0.6172,0.1821,-0.1821
0.445,0.44,0.45,0.6657,0.1956,-0.1956
0.455,0.45,0.46,0.717,0.2094,-0.2094
0.46499999999999997,0.46,0.47,0.7716,0.2234,-0.2234
0.475,0.47,0.48,0.8303,0.2377,-0.2377
0.485,0.48,0.49,0.8936,0.2523,-0.2523
0.495,0.49,0.5,0.9626,0.2675,-0.2675
0.505,0.5,0.51,1.0383,0.2831,-0.2831
0.515,0.51,0.52,1.1219,0.2994,-0.2994
0.525,0.52,0.53,1.2149,0.3166,-0.3166
0.535,0.53,0.54,1.319,0.3347,-0.3347
0.545,0.54,0.55,1.4361,0.3541,-0.3541
0.555,0.55,0.56,1.5688,0.375,-0.375
0.565,0.56,0.57,1.72,0.3978,-0.3978
0.575,0.57,0.58,1.8931,0.4229,-0.4229
0.585,0.58,0.59,2.0924,0.4509,-0.4509
0.595,0.59,0.6,2.3229,0.4823,-0.4823
0.605,0.6,0.61,2.5909,0.5181,-0.5181
0.615,0.61,0.62,2.9039,0.5591,-0.5591
0.625,0.62,0.63,3.2709,0.6065,-0.6065
0.635,0.63,0.64,3.7026,0.6618,-0.6618
0.645,0.64,0.65,4.2119,0.7265,-0.7265
0.655,0.65,0.66,4.8135,0.8025,-0.8025
0.665,0.66,0.67,5.5235,0.8919,-0.8919
0.675,0.67,0.68,6.3585,0.9968,-0.9968
0.685,0.68,0.69,7.3325,1.1187,-1.1187
0.695,0.69,0.7,8.452,1.2585,-1.2585
0.705,0.7,0.71,9.7078,1.4148,-1.4148
0.715,0.71,0.72,11.0636,1.5829,-1.5829
0.725,0.72,0.73,12.4433,1.7532,-1.7532
0.735,0.73,0.74,13.7255,1.9105,-1.9105
0.745,0.74,0.75,14.7541,2.0356,-2.0356
0.755,0.75,0.76,15.3758,2.11,-2.11
0.765,0.76,0.77,15.4925,2.1222,-2.1222
0.775,0.77,0.78,15.1012,2.0724,-2.0724
0.785,0.78,0.79,14.2923,1.9724,-1.9724
0.795,0.79,0.8,13.2093,1.8401,-1.8401
0.805,0.8,0.81,11.9985,1.6935,-1.6935
0.815,0.81,0.82,10.7758,1.5467,-1.5467
0.825,0.82,0.83,9.6165,1.4086,-1.4086
0.835,0.83,0.84,8.5605,1.2838,-1.2838
0.845,0.84,0.85,7.6224,1.1736,-1.1736
0.855,0.85,0.86,6.8016,1.078,-1.078
0.865,0.86,0.87,6.0898,0.9955,-0.9955
0.875,0.87,0.88,5.4751,0.9248,-0.9248
0.885,0.88,0.89,4.9452,0.8641,-0.8641
0.895,0.89,0.9,4.4881,0.812,-0.812
0.905,0.9,0.91,4.0932,0.7671,-0.7671
0.915,0.91,0.92,3.7513,0.7283,-0.7283
0.925,0.92,0.93,3.4544,0.6948,-0.6948
0.935,0.93,0.94,3.1957,0.6656,-0.6656
0.945,0.94,0.95,2.9696,0.6402,-0.6402
0.955,0.95,0.96,2.7715,0.6179,-0.6179
0.965,0.96,0.97,2.5971,0.5983,-0.5983
0.975,0.97,0.98,2.4432,0.581,-0.581
0.985,0.98,0.99,2.3069,0.5657,-0.5657
0.995,0.99,1.0,2.1857,0.5521,-0.5521
1.005,1.0,1.01,2.0776,0.54,-0.54
1.0150000000000001,1.01,1.02,1.9807,0.529,-0.529
1.025,1.02,1.03,1.8936,0.519,-0.519
1.0350000000000001,1.03,1.04,1.8148,0.5098,-0.5098
1.045,1.04,1.05,1.7432,0.5013,-0.5013
1.0550000000000002,1.05,1.06,1.6777,0.4932,-0.4932
1.065,1.06,1.07,1.6176,0.4854,-0.4854
1.0750000000000002,1.07,1.08,1.5619,0.4778,-0.4778
1.085,1.08,1.09,1.5099,0.4702,-0.4702
1.0950000000000002,1.09,1.1,1.4611,0.4625,-0.4625
1.105,1.1,1.11,1.4149,0.4546,-0.4546
1.1150000000000002,1.11,1.12,1.3707,0.4463,-0.4463
1.125,1.12,1.13,1.3282,0.4377,-0.4377
1.1349999999999998,1.13,1.14,1.2869,0.4286,-0.4286
1.145,1.14,1.15,1.2466,0.4189,-0.4189
1.1549999999999998,1.15,1.16,1.2069,0.4085,-0.4085
1.165,1.16,1.17,1.1675,0.3975,-0.3975
1.1749999999999998,1.17,1.18,1.1283,0.3859,-0.3859
1.185,1.18,1.19,1.0892,0.3735,-0.3735
1.1949999999999998,1.19,1.2,1.0499,0.3605,-0.3605
1.205,1.2,1.21,1.0105,0.3468,-0.3468
1.2149999999999999,1.21,1.22,0.9709,0.3327,-0.3327
1.225,1.22,1.23,0.9311,0.3181,-0.3181
1.2349999999999999,1.23,1.24,0.8912,0.3033,-0.3033
1.245,1.24,1.25,0.8513,0.2885,-0.2885
1.255,1.25,1.26,0.8115,0.274,-0.274
1.2650000000000001,1.26,1.27,0.7722,0.2601,-0.2601
1.275,1.27,1.28,0.7336,0.2472,-0.2472
